CaseID,Activity,CompleteTimestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber,CumTimeInterval
1,,,,,,,,,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 09:18:00+00:00,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,42.0
1,,,,,,,,,,,,
1,Request For Payment SUBMITTED by EMPLOYEE,2017-03-03 09:51:13+00:00,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,4581235.0
1,,,,,,,,,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 08:55:50+00:00,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,4837112.0
1,,,,,,,,,,,,
1,Payment Handled,2017-03-16 17:31:12+00:00,SYSTEM,UNDEFINED,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,5732034.0
2,,,,,,,,,,,,
2,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 10:31:42+00:00,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291,4464.0
2,,,,,,,,,,,,
2,Payment Handled,2017-01-12 17:31:32+00:00,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291,288854.0
3,,,,,,,,,,,,
3,Request For Payment REJECTED by SUPERVISOR,2017-01-09 11:42:10+00:00,STAFF MEMBER,SUPERVISOR,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217,8692.0
3,,,,,,,,,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 10:02:52+00:00,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217,89134.0
3,,,,,,,,,,,,
3,Request Payment,2017-01-10 13:34:59+00:00,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217,101861.0
3,,,,,,,,,,,,
4,,,,,,,,,,,,
4,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:23:17+00:00,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887,14759.0
4,,,,,,,,,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:03:33+00:00,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887,13315575.0
4,,,,,,,,,,,,
4,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:14:51+00:00,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887,13316253.0
4,,,,,,,,,,,,
4,Payment Handled,2017-06-15 17:31:12+00:00,SYSTEM,UNDEFINED,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887,13594434.0
5,,,,,,,,,,,,
5,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:26:22+00:00,STAFF MEMBER,SUPERVISOR,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146,14944.0
5,,,,,,,,,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:08:05+00:00,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146,13315847.0
5,,,,,,,,,,,,
