CaseID,Activity,CompleteTimestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber,CumTimeInterval
1,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 09:17:18+00:00,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,0.0
1,,,,,,,,,,,,
1,,,,,,,,,,,,
1,Request For Payment SUBMITTED by EMPLOYEE,2017-03-03 09:51:13+00:00,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,4581235.0
1,,,,,,,,,,,,
1,,,,,,,,,,,,
1,Request Payment,2017-03-08 11:22:42+00:00,SYSTEM,UNDEFINED,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215,5018724.0
1,,,,,,,,,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 10:30:48+00:00,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291,4410.0
2,,,,,,,,,,,,
2,,,,,,,,,,,,
2,Payment Handled,2017-01-12 17:31:32+00:00,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291,288854.0
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 11:41:36+00:00,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217,8658.0
3,,,,,,,,,,,,
3,,,,,,,,,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 10:02:52+00:00,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217,89134.0
3,,,,,,,,,,,,
3,,,,,,,,,,,,
