CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 09:17:18+00:00,0.0,0.0
1,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 09:18:00+00:00,42.0,8.682866787395727e-06
1,Request For Payment REJECTED by MISSING,2017-01-10 12:42:32+00:00,98714.0,0.020407631239309092
1,,,,
1,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 08:55:50+00:00,4837112.0,0.9999999793265077
1,,,,
1,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 10:30:48+00:00,4410.0,0.0
2,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 10:31:42+00:00,4464.0,0.0006159103325801738
2,Request Payment,2017-01-10 10:52:03+00:00,92085.0,0.99999885942531
2,,,,
3,,,,
3,Request For Payment REJECTED by SUPERVISOR,2017-01-09 11:42:10+00:00,8692.0,0.0
3,,,,
3,,,,
3,,,,
3,Request Payment,2017-01-10 13:34:59+00:00,101861.0,0.9999989266827736
3,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:21:51+00:00,14673.0,0.0
4,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:23:17+00:00,14759.0,6.465397295167963e-06
4,Request For Payment REJECTED by MISSING,2017-01-10 15:34:19+00:00,109021.0,0.0070929919070291505
4,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:03:33+00:00,13315575.0,0.999949021094118
4,,,,
4,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:14:51+00:00,13316253.0,0.9999999924820961
4,,,,
4,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:26:20+00:00,14942.0,0.0
5,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-09 13:26:22+00:00,14944.0,1.493604003055884e-07
5,Request For Payment REJECTED by MISSING,2017-01-10 15:33:09+00:00,108951.0,0.00702061093616403
5,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:08:05+00:00,13315847.0,0.9933142476133011
5,,,,
5,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-06-12 12:13:06+00:00,13316148.0,0.9933367263535471
5,Request Payment,2017-06-13 13:00:10+00:00,13405372.0,0.99999999253198
5,,,,
6,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 14:56:59+00:00,106781.0,0.0
6,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 14:57:53+00:00,106835.0,0.9981515711645101
6,,,,
6,,,,
7,,,,
7,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:02:53+00:00,107135.0,0.0
7,Request Payment,2017-01-25 11:34:47+00:00,1390649.0,0.9999999220888963
7,,,,
8,,,,
8,,,,
8,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:26:13+00:00,108535.0,0.0
8,,,,
8,Payment Handled,2017-01-12 17:31:32+00:00,288854.0,0.9999994454275781
9,,,,
9,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 09:54:26+00:00,175028.0,0.0
9,,,,
9,Payment Handled,2017-01-16 17:32:18+00:00,634500.0,0.999999782358929
10,Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 11:48:40+00:00,181882.0,0.0
10,,,,
10,,,,
