CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 09:17:18+00:00,0.0,0.0
1,,,,
1,,,,
1,Request For Payment SUBMITTED by EMPLOYEE,2017-03-03 09:51:13+00:00,4581235.0,0.9128286211230461
1,,,,
1,,,,
1,Request Payment,2017-03-08 11:22:42+00:00,5018724.0,0.9999999800746171
1,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 10:30:48+00:00,4410.0,0.0
2,,,,
2,,,,
2,Payment Handled,2017-01-12 17:31:32+00:00,288854.0,0.9999996484370743
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 11:41:36+00:00,8658.0,0.0
3,,,,
3,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 10:02:52+00:00,89134.0,0.2872131339444054
3,,,,
3,,,,
3,Payment Handled,2017-01-12 17:31:32+00:00,288854.0,0.9999996431070954
4,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:21:51+00:00,14673.0,0.0
4,,,,
4,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:03:33+00:00,13315575.0,0.9932853163979067
4,,,,
4,,,,
4,Request Payment,2017-06-13 13:02:08+00:00,13405490.0,0.9999999925321958
4,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:26:20+00:00,14942.0,0.0
5,,,,
5,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,2017-06-12 12:08:05+00:00,13315847.0,0.9933142476133011
5,,,,
5,,,,
5,Request Payment,2017-06-13 13:00:10+00:00,13405372.0,0.99999999253198
5,,,,
6,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 14:56:59+00:00,106781.0,0.0
6,,,,
6,,,,
6,Payment Handled,2017-01-30 17:31:40+00:00,1844062.0,0.9999999424387912
7,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 15:02:39+00:00,107121.0,0.0
7,,,,
7,,,,
