CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
1,Request For Payment SUBMITTED by EMPLOYEE,0.0,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment FINAL_APPROVED by SUPERVISOR,3.7376696182833684,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment REJECTED by MISSING,11.499982059334299,STAFF MEMBER,MISSING,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,15.391828406385097,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,8.391629968440892,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,Request For Payment FINAL_APPROVED by SUPERVISOR,8.403800504061147,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,Request Payment,11.430467342529706,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,,,,,,,,,,,
3,,,,,,,,,,,
3,Request For Payment REJECTED by SUPERVISOR,9.07015834137632,STAFF MEMBER,SUPERVISOR,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,,,,,,,,,,,
3,,,,,,,,,,,
3,Request Payment,11.531364417786833,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,9.593764349207467,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,Request For Payment FINAL_APPROVED by SUPERVISOR,9.599608345181776,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,Request For Payment REJECTED by MISSING,11.599295803205079,STAFF MEMBER,MISSING,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,Request For Payment SUBMITTED by EMPLOYEE,16.404444960676273,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,Request For Payment FINAL_APPROVED by SUPERVISOR,16.40449587719617,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,,,,,,,,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,9.611931318535747,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,Request For Payment FINAL_APPROVED by SUPERVISOR,9.612065160468624,STAFF MEMBER,SUPERVISOR,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,Request For Payment REJECTED by MISSING,11.5986535188529,STAFF MEMBER,MISSING,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,Request For Payment SUBMITTED by EMPLOYEE,16.404465387674126,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,Request For Payment FINAL_APPROVED by SUPERVISOR,16.40448799206407,STAFF MEMBER,SUPERVISOR,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,Request Payment,16.411166080106387,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
6,Request For Payment SUBMITTED by EMPLOYEE,11.57853528705996,STAFF MEMBER,EMPLOYEE,project 503,task 147599,organizational unit 65458,0.0,53.99955609576994,activity 505,request for payment number 147598
6,Request For Payment FINAL_APPROVED by SUPERVISOR,11.579040867177088,STAFF MEMBER,SUPERVISOR,project 503,task 147599,organizational unit 65458,0.0,53.99955609576994,activity 505,request for payment number 147598
6,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
7,Request For Payment FINAL_APPROVED by SUPERVISOR,11.581845000434827,STAFF MEMBER,SUPERVISOR,project 147582,task 147599,organizational unit 65458,0.0,430.9164576442441,activity 505,request for payment number 149370
7,Request Payment,14.145281102614783,SYSTEM,UNDEFINED,project 147582,task 147599,organizational unit 65458,0.0,430.9164576442441,activity 505,request for payment number 149370
7,,,,,,,,,,,
8,,,,,,,,,,,
8,,,,,,,,,,,
8,Request For Payment FINAL_APPROVED by SUPERVISOR,11.594827980589862,STAFF MEMBER,SUPERVISOR,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224
8,,,,,,,,,,,
8,Payment Handled,12.573676649131531,SYSTEM,UNDEFINED,project 147582,UNKNOWN,organizational unit 65463,0.0,31.71504266521492,UNKNOWN,request for payment number 148224
9,,,,,,,,,,,
9,Request For Payment FINAL_APPROVED by SUPERVISOR,12.072701240107016,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65463,0.0,246.8039601180534,UNKNOWN,request for payment number 149831
9,,,,,,,,,,,
9,Payment Handled,13.36059256613658,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65463,0.0,246.8039601180534,UNKNOWN,request for payment number 149831
10,Request For Payment SUBMITTED by EMPLOYEE,12.11111340413976,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65458,0.0,248.33579089019588,UNKNOWN,request for payment number 148630
10,,,,,,,,,,,
10,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
11,,,,,,,,,,,
11,Request Payment,12.803240172238045,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,325.2739525493613,UNKNOWN,request for payment number 147895
11,,,,,,,,,,,
12,Request For Payment SUBMITTED by EMPLOYEE,12.491683825162859,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,96.47232713406254,UNKNOWN,request for payment number 147899
12,Request For Payment FINAL_APPROVED by SUPERVISOR,12.491751462805487,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65458,0.0,96.47232713406254,UNKNOWN,request for payment number 147899
12,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
13,Request For Payment APPROVED by PRE_APPROVER,12.497693201961823,STAFF MEMBER,PRE_APPROVER,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634
13,,,,,,,,,,,
13,,,,,,,,,,,
13,Payment Handled,14.030058068959764,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,460.89001284125504,UNKNOWN,request for payment number 148634
