CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
1,Request For Payment SUBMITTED by EMPLOYEE,0.0,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Request For Payment SUBMITTED by EMPLOYEE,15.337479170396186,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Request Payment,15.428686276090938,SYSTEM,UNDEFINED,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,8.391629968440892,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,,,,,,,,,,,
2,,,,,,,,,,,
2,Payment Handled,12.573676649131531,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
3,Request For Payment SUBMITTED by EMPLOYEE,9.066239028001926,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,,,,,,,,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,11.397896134385462,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,,,,,,,,,,,
3,Payment Handled,12.573676649131531,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
4,Request For Payment SUBMITTED by EMPLOYEE,9.593764349207467,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,,,,,,,,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,16.404444960676273,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,,,,,,,,,,,
4,Request Payment,16.411174882508938,SYSTEM,UNDEFINED,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,9.611931318535747,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,,,,,,,,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,16.404465387674126,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,,,,,,,,,,,
5,Request Payment,16.411166080106387,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
