CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087575577418246,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087580263836152,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,17.07014580493094,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,18.997473682019667,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Completed-Closed,Value 3,19.0628526058809,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,,,,,,,,,,,,
3,Accepted-Wait,Value 2,18.625817452823156,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,Accepted-In Progress,Value 3,19.06191432725039,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,,,,,,,,,,,,
4,,,,,,,,,,,,
4,Accepted-Wait,Value 2,18.625817469113876,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,Accepted-In Progress,Value 3,19.06190427886356,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Accepted-Wait,Value 4,18.625817460968516,Accepted,Medium,Wait,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,18.998489298226573,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,19.055115879117515,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.27345249041599,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.99685293230087,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 3,19.062805277706925,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
6,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Accepted-Wait,Value 2,18.625817477259233,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,18.99749155505459,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,19.056081834495128,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.06739858190935,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.075135712477707,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.07514115398629,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Completed-Closed,Value 5,19.0893026741661,Completed,High,Closed,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
9,,,,,,,,,,,,
9,Accepted-Wait,Value 2,18.625817485404593,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 3,19.061941043460735,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
9,,,,,,,,,,,,
10,,,,,,,,,,,,
10,Accepted-In Progress,Value 7,19.09331115767918,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
10,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.54271366935378,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.7368363527732,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-Wait,Value 9,19.011280370986405,Accepted,Medium,Wait,Org line C,C_6,se,G152 3rd,PROD425,Sweden
11,,,,,,,,,,,,
