CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,Accepted-Assigned,Value 1,19.08757632170295,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,Completed-Closed,Value 1,19.087581023516282,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
2,Accepted-In Progress,Value 2,17.069717000906184,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-Wait,Value 2,18.625817460968516,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 3,19.062852590096448,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
2,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,17.436833688619014,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,18.99747426618425,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,Completed-Closed,Value 3,19.061914337783236,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Accepted-In Progress,Value 2,17.54870187790743,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,Accepted-In Progress,Value 2,18.99747429988604,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,Completed-Closed,Value 3,19.06190436839366,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
5,Accepted-In Progress,Value 4,17.694421003828865,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Queued-Awaiting Assignment,Value 4,18.79728673145136,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Accepted-Assigned,Value 4,19.032034418001217,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Completed-Closed,Value 4,19.055116292700664,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.10850034303583,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-Wait,Value 2,18.625817477259233,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.996852960403153,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Completed-Closed,Value 3,19.062805293492126,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
7,Accepted-In Progress,Value 2,18.140691088847877,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Queued-Awaiting Assignment,Value 2,18.797284151387217,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-Assigned,Value 4,19.032034103283976,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Completed-Closed,Value 2,19.056082056978752,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
8,Accepted-In Progress,Value 5,18.310584923302528,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.067403510497915,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.075141018858453,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.075141294311337,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
9,Accepted-In Progress,Value 2,18.310636856185962,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 2,19.03203019644102,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Completed-Closed,Value 3,19.061941712278447,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
10,Accepted-In Progress,Value 7,18.506137905441232,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
10,,,,,,,,,,,,
10,Completed-Closed,Value 7,19.093311627214266,Completed,Medium,Closed,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
11,Accepted-In Progress,Value 8,18.542708172748288,Accepted,Medium,In Progress,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-Assigned,Value 8,18.542812558835077,Accepted,Medium,Assigned,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-In Progress,Value 9,18.754920848361863,Accepted,Medium,In Progress,Org line C,C_6,se,G152 3rd,PROD425,Sweden
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 9,19.04269210498004,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
