CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087580263836152,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,17.069717000906184,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,18.997473682019667,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,17.436833688619014,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,,,,,,,,,,,,
3,Accepted-In Progress,Value 3,19.06191432725039,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,,,,,,,,,,,,
4,Accepted-In Progress,Value 2,17.54870187790743,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,,,,,,,,,,,,
4,Accepted-In Progress,Value 3,19.06190427886356,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,17.694421003828865,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,18.998489298226573,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Completed-Closed,Value 4,19.055116292700664,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.10850034303583,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.99685293230087,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,Completed-Closed,Value 3,19.062805293492126,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
7,Accepted-In Progress,Value 2,18.140691088847877,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,18.99749155505459,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Completed-Closed,Value 2,19.056082056978752,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
8,Accepted-In Progress,Value 5,18.310584923302528,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.075135712477707,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.075141294311337,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
9,Accepted-In Progress,Value 2,18.310636856185962,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 3,19.061941043460735,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
9,,,,,,,,,,,,
10,Accepted-In Progress,Value 7,18.506137905441232,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
10,,,,,,,,,,,,
10,,,,,,,,,,,,
11,Accepted-In Progress,Value 8,18.542708172748288,Accepted,Medium,In Progress,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.7368363527732,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 9,19.04269210498004,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,,,,,,,,,,,,
12,Accepted-In Progress,Value 11,18.563327408469313,Accepted,Low,In Progress,Org line C,C_6,se,G237 3rd,PROD498,Sweden
12,,,,,,,,,,,,
12,,,,,,,,,,,,
13,Queued-Awaiting Assignment,Value 12,18.570299599128166,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Queued-Awaiting Assignment,Value 12,18.711309321192232,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Accepted-Wait,Value 12,18.7138371200243,Accepted,Medium,Wait,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Completed-Closed,Value 12,19.118096944266814,Completed,Medium,Closed,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
14,Accepted-In Progress,Value 13,18.5714808454273,Accepted,Low,In Progress,Org line C,E_3,se,L54 2nd,PROD385,Sweden
14,,,,,,,,,,,,
14,,,,,,,,,,,,
