CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-In Progress,Value 1,19.087575577418246,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-Assigned,Value 1,19.08757632170295,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-In Progress,Value 1,19.087580263836152,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Completed-Closed,Value 1,19.087581023516282,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
2,Accepted-In Progress,Value 2,17.069717000906184,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-In Progress,Value 2,17.07014580493094,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-Wait,Value 2,18.625817460968516,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-In Progress,Value 2,18.997473682019667,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-In Progress,Value 3,19.062852590096448,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
2,Completed-Closed,Value 3,19.0628526058809,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,Accepted-In Progress,Value 2,17.436833688619014,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,Accepted-Wait,Value 2,18.625817452823156,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,Accepted-In Progress,Value 2,18.99747426618425,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,Accepted-In Progress,Value 3,19.06191432725039,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,Completed-Closed,Value 3,19.061914337783236,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Accepted-In Progress,Value 2,17.54870187790743,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-Wait,Value 2,18.625817469113876,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-In Progress,Value 2,18.99747429988604,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-In Progress,Value 3,19.06190427886356,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Completed-Closed,Value 3,19.06190436839366,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
5,Accepted-In Progress,Value 4,17.694421003828865,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Accepted-Wait,Value 4,18.625817460968516,Accepted,Medium,Wait,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Queued-Awaiting Assignment,Value 4,18.79728673145136,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Accepted-In Progress,Value 4,18.998489298226573,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
5,Accepted-Assigned,Value 4,19.032034418001217,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Accepted-In Progress,Value 4,19.055115879117515,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Completed-Closed,Value 4,19.055116292700664,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.10850034303583,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 2,18.27345249041599,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-Wait,Value 2,18.625817477259233,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 2,18.99685293230087,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 2,18.996852960403153,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 3,19.062805277706925,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
6,Completed-Closed,Value 3,19.062805293492126,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
7,Accepted-In Progress,Value 2,18.140691088847877,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,Accepted-Wait,Value 2,18.625817477259233,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,Queued-Awaiting Assignment,Value 2,18.797284151387217,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,Accepted-In Progress,Value 2,18.99749155505459,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,Accepted-Assigned,Value 4,19.032034103283976,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,Accepted-In Progress,Value 2,19.056081834495128,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,Completed-Closed,Value 2,19.056082056978752,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
8,Accepted-In Progress,Value 5,18.310584923302528,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,Accepted-In Progress,Value 5,19.06739858190935,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,Accepted-In Progress,Value 5,19.067403510497915,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,Queued-Awaiting Assignment,Value 6,19.075135712477707,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,Accepted-In Progress,Value 5,19.075141018858453,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,Queued-Awaiting Assignment,Value 6,19.07514115398629,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,Accepted-In Progress,Value 5,19.075141294311337,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,Completed-Closed,Value 5,19.0893026741661,Completed,High,Closed,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
9,Accepted-In Progress,Value 2,18.310636856185962,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,Accepted-Wait,Value 2,18.625817485404593,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
