CaseID,Activity,Resource,CompleteTimestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country,CumTimeInterval
1,Queued-Awaiting Assignment,Value 1,2006-01-11 23:49:42,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,0.0
1,Accepted-In Progress,Value 1,2012-03-15 19:53:52,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,194817850.0
1,Accepted-Assigned,Value 1,2012-03-15 19:56:17,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,194817995.0
1,Accepted-In Progress,Value 1,2012-03-15 20:09:05,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,194818763.0
1,Completed-Closed,Value 1,2012-03-15 20:11:33,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,194818911.0
2,Accepted-In Progress,Value 2,2006-11-07 18:00:36,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,25899054.0
2,Accepted-In Progress,Value 2,2006-11-07 21:05:44,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,25910162.0
2,Accepted-Wait,Value 2,2009-12-02 22:24:32,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,122769290.0
2,Accepted-In Progress,Value 2,2011-09-03 14:09:09,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,178035567.0
2,Accepted-In Progress,Value 3,2012-01-20 18:23:24,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China,190060422.0
2,Completed-Closed,Value 3,2012-01-20 18:23:27,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China,190060425.0
3,Accepted-In Progress,Value 2,2007-03-20 17:06:25,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,37387003.0
3,Accepted-Wait,Value 2,2009-12-02 22:24:31,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,122769289.0
3,Accepted-In Progress,Value 2,2011-09-03 14:10:53,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,178035671.0
3,Accepted-In Progress,Value 3,2012-01-18 16:52:41,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China,189882179.0
3,Completed-Closed,Value 3,2012-01-18 16:52:43,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China,189882181.0
4,Accepted-In Progress,Value 2,2007-05-10 23:21:54,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,41815932.0
4,Accepted-Wait,Value 2,2009-12-02 22:24:33,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,122769291.0
4,Accepted-In Progress,Value 2,2011-09-03 14:10:59,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,178035677.0
4,Accepted-In Progress,Value 3,2012-01-18 16:20:53,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China,189880271.0
4,Completed-Closed,Value 3,2012-01-18 16:21:10,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China,189880288.0
5,Accepted-In Progress,Value 4,2007-07-25 21:21:05,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,48375083.0
5,Accepted-Wait,Value 4,2009-12-02 22:24:32,Accepted,Medium,Wait,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,122769290.0
5,Queued-Awaiting Assignment,Value 4,2010-08-25 18:13:01,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,145736599.0
5,Accepted-In Progress,Value 4,2011-09-05 16:24:13,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden,178216471.0
5,Accepted-Assigned,Value 4,2011-11-15 00:10:25,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,184292443.0
5,Accepted-In Progress,Value 4,2012-01-03 19:30:35,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,188595653.0
5,Completed-Closed,Value 4,2012-01-03 19:31:53,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,188595731.0
6,Accepted-In Progress,Value 2,2008-05-08 01:58:51,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,73188549.0
6,Accepted-In Progress,Value 2,2008-10-06 23:44:37,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,86313295.0
6,Accepted-Wait,Value 2,2009-12-02 22:24:34,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,122769292.0
6,Accepted-In Progress,Value 2,2011-09-02 07:27:50,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,177925088.0
6,Accepted-In Progress,Value 2,2011-09-02 07:27:55,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,177925093.0
6,Accepted-In Progress,Value 3,2012-01-20 15:53:32,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China,190051430.0
6,Completed-Closed,Value 3,2012-01-20 15:53:35,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China,190051433.0
7,Accepted-In Progress,Value 2,2008-06-04 19:02:18,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden,75582756.0
7,Accepted-Wait,Value 2,2009-12-02 22:24:34,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden,122769292.0
7,Queued-Awaiting Assignment,Value 2,2010-08-25 18:06:45,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden,145736223.0
7,Accepted-In Progress,Value 2,2011-09-03 15:02:11,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden,178038749.0
7,Accepted-Assigned,Value 4,2011-11-15 00:09:27,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden,184292385.0
7,Accepted-In Progress,Value 2,2012-01-05 22:08:18,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden,188777916.0
7,Completed-Closed,Value 2,2012-01-05 22:09:00,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden,188777958.0
8,Accepted-In Progress,Value 5,2008-11-13 17:43:32,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands,89574830.0
8,Accepted-In Progress,Value 5,2012-01-30 18:56:24,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands,190926402.0
8,Accepted-In Progress,Value 5,2012-01-30 19:12:05,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands,190927343.0
8,Queued-Awaiting Assignment,Value 6,2012-02-16 22:52:16,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands,192409354.0
