CaseID,Activity,Resource,CompleteTimestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country,CumTimeInterval
1,Queued-Awaiting Assignment,Value 1,2006-01-11 23:49:42,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,0.0
1,,,,,,,,,,,,,
1,Accepted-Assigned,Value 1,2012-03-15 19:56:17,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,194817995.0
1,,,,,,,,,,,,,
1,Completed-Closed,Value 1,2012-03-15 20:11:33,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA,194818911.0
2,Accepted-In Progress,Value 2,2006-11-07 18:00:36,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,25899054.0
2,,,,,,,,,,,,,
2,Accepted-Wait,Value 2,2009-12-02 22:24:32,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,122769290.0
2,,,,,,,,,,,,,
2,Accepted-In Progress,Value 3,2012-01-20 18:23:24,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China,190060422.0
2,,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,2007-03-20 17:06:25,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,37387003.0
3,,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,2011-09-03 14:10:53,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,178035671.0
3,,,,,,,,,,,,,
3,Completed-Closed,Value 3,2012-01-18 16:52:43,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China,189882181.0
4,Accepted-In Progress,Value 2,2007-05-10 23:21:54,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,41815932.0
4,,,,,,,,,,,,,
4,Accepted-In Progress,Value 2,2011-09-03 14:10:59,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden,178035677.0
4,,,,,,,,,,,,,
4,Completed-Closed,Value 3,2012-01-18 16:21:10,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China,189880288.0
5,Accepted-In Progress,Value 4,2007-07-25 21:21:05,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden,48375083.0
5,,,,,,,,,,,,,
