CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,,,,
1,Accepted-In Progress,2012-03-15 19:53:52,194817850.0,0.0
1,Accepted-Assigned,2012-03-15 19:56:17,194817995.0,0.13665064555649797
1,Accepted-In Progress,2012-03-15 20:09:05,194818763.0,0.8604278578833287
1,Completed-Closed,2012-03-15 20:11:33,194818911.0,0.9999057581754783
2,Accepted-In Progress,2006-11-07 18:00:36,25899054.0,0.0
2,,,,
2,Accepted-Wait,2009-12-02 22:24:32,122769290.0,0.5900915382888149
2,,,,
2,Accepted-In Progress,2012-01-20 18:23:24,190060422.0,0.9999999811161422
2,Completed-Closed,2012-01-20 18:23:27,190060425.0,0.9999999993908434
3,Accepted-In Progress,2007-03-20 17:06:25,37387003.0,0.0
3,,,,
3,,,,
3,,,,
3,Completed-Closed,2012-01-18 16:52:43,189882181.0,0.9999999993442416
4,Accepted-In Progress,2007-05-10 23:21:54,41815932.0,0.0
4,Accepted-Wait,2009-12-02 22:24:33,122769291.0,0.5467444726533751
4,Accepted-In Progress,2011-09-03 14:10:59,178035677.0,0.9200037350519603
4,Accepted-In Progress,2012-01-18 16:20:53,189880271.0,0.9999999993246179
4,,,,
5,Accepted-In Progress,2007-07-25 21:21:05,48375083.0,0.0
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,Completed-Closed,2012-01-03 19:31:53,188595731.0,0.9999999992868384
6,Accepted-In Progress,2008-05-08 01:58:51,73188549.0,0.0
6,,,,
6,,,,
6,,,,
6,,,,
6,,,,
6,,,,
7,,,,
7,Accepted-Wait,2009-12-02 22:24:34,122769292.0,0.0
7,,,,
7,Accepted-In Progress,2011-09-03 15:02:11,178038749.0,0.8983530283525358
7,Accepted-Assigned,2011-11-15 00:09:27,184292385.0,0.9999999983745941
7,,,,
7,,,,
8,Accepted-In Progress,2008-11-13 17:43:32,89574830.0,0.0
8,,,,
8,,,,
8,Queued-Awaiting Assignment,2012-02-16 22:52:16,192409354.0,0.9739982779145796
8,Accepted-In Progress,2012-02-16 23:09:17,192410375.0,0.9740079483268407
8,,,,
8,Accepted-In Progress,2012-02-16 23:10:10,192410428.0,0.9740084503168993
8,Completed-Closed,2012-03-19 17:26:32,195154610.0,0.999999999052849
9,,,,
9,Accepted-Wait,2009-12-02 22:24:35,122769293.0,0.0
9,,,,
9,Accepted-In Progress,2012-01-18 18:17:14,189887252.0,0.9999999985100859
9,,,,
10,,,,
10,,,,
10,Completed-Closed,2012-03-28 20:12:08,195942146.0,0.0
11,,,,
11,Queued-Awaiting Assignment,2009-08-11 15:55:12,112982730.0,0.0
11,,,,
11,,,,
11,Accepted-In Progress,2010-06-16 19:00:32,139691450.0,0.3350680549623404
11,,,,
11,,,,
11,,,,
11,Completed-Closed,2012-02-20 05:57:21,192694059.0,0.9999999987454733
12,Accepted-In Progress,2009-09-07 21:33:24,115335822.0,0.0
12,,,,
12,Completed-Closed,2012-04-30 19:21:43,198790321.0,0.9999999988017423
13,Queued-Awaiting Assignment,2009-09-17 05:42:12,116142750.0,0.0
13,Accepted-In Progress,2009-09-28 18:26:19,117138997.0,0.011759778151592234
13,,,,
13,,,,
13,,,,
13,,,,
13,,,,
13,,,,
13,Accepted-Wait,2012-05-24 17:02:19,200855557.0,0.99995665424202
13,Completed-Closed,2012-05-24 18:03:31,200859229.0,0.9999999988195922
14,,,,
14,Unmatched-Unmatched,2009-11-17 22:07:38,121472276.0,0.0
14,,,,
15,,,,
15,Completed-Closed,2012-02-07 21:22:11,191626349.0,0.0
16,Accepted-In Progress,2009-09-22 21:22:05,116631143.0,0.0
16,Accepted-Assigned,2009-09-22 21:25:17,116631335.0,0.9994794377928162
16,,,,
17,Accepted-In Progress,2009-09-23 18:52:27,116708565.0,0.0
17,Accepted-Assigned,2010-01-04 17:00:17,125601035.0,0.10961719068920805
17,Accepted-In Progress,2010-03-18 00:36:20,131849198.0,0.18663809433333103
17,,,,
17,Accepted-In Progress,2010-11-09 22:20:48,152317866.0,0.43895470415153576
17,,,,
17,Accepted-Assigned,2012-03-30 15:05:44,196096562.0,0.9786132768042262
17,Accepted-In Progress,2012-04-19 17:01:14,197831492.0,0.9999997029200779
17,Completed-Closed,2012-04-19 17:01:38,197831516.0,0.9999999987673033
18,,,,
18,Accepted-Wait,2009-12-02 22:24:37,122769295.0,0.0
18,Accepted-In Progress,2011-09-02 07:22:08,177924746.0,0.8072426781035049
18,Accepted-In Progress,2012-02-01 17:46:54,191095032.0,0.9999999985364227
18,,,,
19,,,,
19,,,,
19,Queued-Awaiting Assignment,2010-03-02 21:44:22,130542880.0,0.0
19,,,,
19,,,,
19,Accepted-Assigned,2011-04-11 16:10:20,165514838.0,0.5334036986167198
19,Accepted-Assigned,2011-04-11 16:11:48,165514926.0,0.5334050408213935
19,Accepted-Wait,2011-11-28 16:21:27,185473905.0,0.8378258919276838
19,,,,
19,Completed-Closed,2012-03-30 17:53:53,196106651.0,0.9999999984747674
20,Accepted-In Progress,2009-10-27 17:42:40,119641978.0,0.0
20,,,,
20,,,,
20,,,,
20,,,,
20,Accepted-Wait,2010-06-14 05:32:03,139470141.0,0.28194327523402035
20,,,,
20,,,,
20,Completed-Closed,2012-01-19 16:55:41,189968759.0,0.9999999985780667
21,,,,
21,Accepted-Assigned,2009-10-30 21:57:13,119916451.0,0.0
21,Queued-Awaiting Assignment,2010-03-02 21:43:50,130542848.0,0.13947189829653386
21,,,,
21,Accepted-Wait,2010-03-02 21:45:37,130542955.0,0.13947330267594088
21,Completed-Closed,2012-03-30 17:54:30,196106688.0,0.999999998687496
22,,,,
22,Accepted-In Progress,2010-03-03 23:51:55,130636933.0,0.0
22,Accepted-Assigned,2010-03-03 23:52:18,130636956.0,3.49933067161158e-07
22,Accepted-Assigned,2010-05-25 00:04:58,137722516.0,0.10780346920934605
22,,,,
22,,,,
22,Completed-Closed,2012-04-02 17:19:30,196363788.0,0.9999999984785518
23,,,,
