CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Queued-Awaiting Assignment,2006-01-11 23:49:42,0.0,0.0
1,,,,
1,,,,
1,Accepted-In Progress,2012-03-15 20:09:05,194818763.0,0.9999999994867025
1,,,,
2,Accepted-In Progress,2006-11-07 18:00:36,25899054.0,0.0
2,,,,
2,,,,
2,Accepted-In Progress,2011-09-03 14:09:09,178035567.0,0.9999999993426957
2,,,,
2,,,,
3,Accepted-In Progress,2007-03-20 17:06:25,37387003.0,0.0
3,,,,
3,,,,
3,Accepted-In Progress,2012-01-18 16:52:41,189882179.0,0.9999999993442416
3,,,,
4,Accepted-In Progress,2007-05-10 23:21:54,41815932.0,0.0
4,,,,
4,,,,
4,Accepted-In Progress,2012-01-18 16:20:53,189880271.0,0.9999999993246179
4,,,,
5,Accepted-In Progress,2007-07-25 21:21:05,48375083.0,0.0
5,,,,
5,,,,
5,Accepted-In Progress,2011-09-05 16:24:13,178216471.0,0.925979089095367
5,,,,
5,,,,
5,Completed-Closed,2012-01-03 19:31:53,188595731.0,0.9999999992868384
6,Accepted-In Progress,2008-05-08 01:58:51,73188549.0,0.0
6,,,,
6,,,,
6,Accepted-In Progress,2011-09-02 07:27:50,177925088.0,0.8962344187088226
6,,,,
6,,,,
6,Completed-Closed,2012-01-20 15:53:35,190051433.0,0.9999999991442964
7,Accepted-In Progress,2008-06-04 19:02:18,75582756.0,0.0
7,,,,
7,,,,
7,Accepted-In Progress,2011-09-03 15:02:11,178038749.0,0.9051266405221605
7,,,,
7,,,,
7,Completed-Closed,2012-01-05 22:09:00,188777958.0,0.9999999991165703
8,Accepted-In Progress,2008-11-13 17:43:32,89574830.0,0.0
8,,,,
8,,,,
8,Queued-Awaiting Assignment,2012-02-16 22:52:16,192409354.0,0.9999895551733073
8,,,,
8,,,,
8,Accepted-In Progress,2012-02-16 23:10:10,192410428.0,0.9999999990275742
8,,,,
9,Accepted-In Progress,2008-11-13 19:01:04,89579482.0,0.0
9,,,,
9,,,,
9,Accepted-In Progress,2012-01-18 18:17:14,189887252.0,0.9999999990030684
9,,,,
10,Accepted-In Progress,2009-06-25 16:47:52,108925090.0,0.0
10,,,,
10,,,,
11,Accepted-In Progress,2009-08-11 15:44:51,112982109.0,0.0
11,,,,
11,,,,
11,Queued-Awaiting Assignment,2010-05-18 19:35:53,137187971.0,0.3302977717977915
11,,,,
11,,,,
11,Queued-Awaiting Assignment,2011-12-07 20:41:00,186267078.0,0.9999999986354637
11,,,,
11,,,,
12,Accepted-In Progress,2009-09-07 21:33:24,115335822.0,0.0
12,,,,
12,,,,
13,Queued-Awaiting Assignment,2009-09-17 05:42:12,116142750.0,0.0
13,,,,
13,,,,
13,Queued-Awaiting Assignment,2010-04-08 19:09:22,133730380.0,0.20760577147262488
13,,,,
13,,,,
13,Accepted-Wait,2010-04-12 17:10:24,134068842.0,0.2116010036115866
13,,,,
13,,,,
13,Completed-Closed,2012-05-24 18:03:31,200859229.0,0.9999999988195922
14,Accepted-In Progress,2009-09-18 19:50:02,116280020.0,0.0
14,,,,
14,,,,
15,Accepted-In Progress,2009-09-21 21:13:43,116544241.0,0.0
15,,,,
16,Accepted-In Progress,2009-09-22 21:22:05,116631143.0,0.0
16,,,,
16,,,,
17,Accepted-In Progress,2009-09-23 18:52:27,116708565.0,0.0
17,,,,
17,,,,
17,Accepted-Assigned,2010-11-09 20:35:55,152311573.0,0.4484683995132559
17,,,,
17,,,,
17,Accepted-Assigned,2012-03-30 15:05:44,196096562.0,0.9999999987403638
17,,,,
17,,,,
18,Accepted-In Progress,2009-10-15 01:12:54,118545792.0,0.0
18,,,,
18,,,,
18,Accepted-In Progress,2012-02-01 17:46:54,191095032.0,0.9999999986216259
18,,,,
19,Accepted-Wait,2009-10-26 22:47:10,119573848.0,0.0
19,,,,
19,,,,
19,Accepted-In Progress,2010-03-02 21:46:10,130542988.0,0.14332599298195575
19,,,,
19,,,,
19,Accepted-Assigned,2011-04-11 16:11:48,165514926.0,0.6002795682260853
19,,,,
19,,,,
19,Completed-Closed,2012-03-30 17:53:53,196106651.0,0.9999999986933709
20,Accepted-In Progress,2009-10-27 17:42:40,119641978.0,0.0
20,,,,
20,,,,
20,Accepted-In Progress,2010-03-02 21:44:26,130542884.0,0.23763247511620902
20,,,,
20,,,,
20,Accepted-Assigned,2011-04-11 16:12:04,165514942.0,0.9999999978200668
20,,,,
20,,,,
21,Accepted-In Progress,2009-10-30 21:49:04,119915962.0,0.0
21,,,,
21,,,,
21,Accepted-In Progress,2010-03-02 21:45:25,130542943.0,0.9999999905899899
21,,,,
21,,,,
22,Accepted-In Progress,2009-11-04 16:07:28,120327466.0,0.0
22,,,,
22,,,,
22,Accepted-Assigned,2010-05-25 00:04:58,137722516.0,0.22877290115535456
22,,,,
22,,,,
22,Completed-Closed,2012-04-02 17:19:30,196363788.0,0.9999999986848391
23,Queued-Awaiting Assignment,2009-11-10 00:38:14,120790112.0,0.0
23,,,,
23,,,,
23,Accepted-In Progress,2011-03-28 18:52:46,164314984.0,0.9999999977024631
23,,,,
23,,,,
24,Accepted-In Progress,2009-11-12 21:41:27,121038705.0,0.0
24,,,,
24,,,,
24,Accepted-Assigned,2010-11-23 23:10:22,153530440.0,0.43281321247729043
24,,,,
24,,,,
24,Accepted-In Progress,2011-05-19 22:45:16,168821734.0,0.6365042150991792
24,,,,
24,,,,
24,Queued-Awaiting Assignment,2011-08-25 22:24:43,177287701.0,0.749276967123555
24,,,,
24,,,,
24,Completed-Closed,2012-03-30 18:45:20,196109738.0,0.9999999986679283
25,Accepted-In Progress,2009-11-24 17:44:43,122061301.0,0.0
25,,,,
25,,,,
25,Unmatched-Unmatched,2010-03-14 21:40:36,131579454.0,0.9999999894937601
25,,,,
26,Unmatched-Unmatched,2009-12-04 20:10:14,122934032.0,0.0
26,,,,
26,,,,
26,Completed-Closed,2012-04-15 00:22:21,197425959.0,0.9999999986575727
27,Accepted-In Progress,2009-12-14 22:29:17,123806375.0,0.0
27,,,,
27,,,,
28,Accepted-In Progress,2009-12-16 20:59:24,123973782.0,0.0
28,,,,
28,,,,
29,Accepted-In Progress,2009-12-17 04:47:26,124001864.0,0.0
29,,,,
29,,,,
30,Accepted-In Progress,2009-12-22 17:09:31,124478389.0,0.0
30,,,,
30,,,,
31,Accepted-Wait,2009-12-22 18:56:03,124484781.0,0.0
31,,,,
31,,,,
32,Accepted-In Progress,2010-01-06 00:42:20,125715158.0,0.0
32,,,,
33,Accepted-In Progress,2010-01-14 18:34:54,126470712.0,0.0
33,,,,
33,,,,
33,Accepted-Wait,2010-02-22 16:33:08,129833006.0,0.05202646796620917
33,,,,
33,,,,
33,Completed-Closed,2012-02-01 18:24:59,191097317.0,0.9999999984526496
34,Accepted-In Progress,2010-01-14 23:02:21,126486759.0,0.0
34,,,,
34,,,,
34,Accepted-In Progress,2012-02-08 16:11:21,191694099.0,0.9999999984664303
34,,,,
35,Accepted-In Progress,2010-01-22 00:42:26,127097564.0,0.0
35,,,,
35,,,,
36,Accepted-In Progress,2010-01-25 17:19:08,127416566.0,0.0
36,,,,
36,,,,
36,Accepted-Assigned,2010-03-03 23:54:25,130637083.0,0.9999999689490858
36,,,,
36,,,,
37,Accepted-In Progress,2010-01-25 15:44:36,127410894.0,0.0
37,,,,
37,,,,
37,Completed-Closed,2012-03-30 20:24:18,196115676.0,0.9999999985444973
38,Accepted-In Progress,2010-01-27 21:58:09,127606107.0,0.0
38,,,,
39,Accepted-In Progress,2010-02-02 23:50:20,128131238.0,0.0
39,,,,
39,,,,
40,Accepted-In Progress,2010-02-03 17:34:32,128195090.0,0.0
40,,,,
40,,,,
40,Accepted-Assigned,2010-02-03 18:40:58,128199076.0,0.9999749128220566
40,,,,
40,,,,
