CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
1,Request For Payment SUBMITTED by EMPLOYEE,0.0,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment FINAL_APPROVED by SUPERVISOR,3.7612001156935624,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment REJECTED by MISSING,11.499992189558329,STAFF MEMBER,MISSING,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment SUBMITTED by EMPLOYEE,15.337479388677913,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment APPROVED by PRE_APPROVER,15.33748571882729,STAFF MEMBER,PRE_APPROVER,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,15.391828613120003,STAFF MEMBER,,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,,
1,,15.428686475344753,SYSTEM,UNDEFINED,,,organizational unit 65463,0.0,34.33634285099345,,request for payment number 148215
1,,,,UNDEFINED,,,organizational unit 65463,,,UNKNOWN,request for payment number 148215
2,,,STAFF MEMBER,,,UNKNOWN,organizational unit 65458,0.0,,UNKNOWN,
2,,8.4040244933106,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,Request Payment,11.430478202002696,,,,UNKNOWN,,,,,
2,,,SYSTEM,UNDEFINED,,UNKNOWN,organizational unit 65458,,,UNKNOWN,request for payment number 149291
