CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
1,,,,,,,,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,3.7612001156935624,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,Request For Payment SUBMITTED by EMPLOYEE,15.337479388677913,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,15.391828613120003,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,Payment Handled,15.561581173982736,SYSTEM,UNDEFINED,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
2,,,,,,,,,,,
2,Request For Payment FINAL_APPROVED by SUPERVISOR,8.4040244933106,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,,,,,,,,,,,
2,Payment Handled,12.573680111082098,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
3,,,,,,,,,,,
3,Request For Payment REJECTED by SUPERVISOR,9.070273383079064,STAFF MEMBER,SUPERVISOR,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,11.397907353385962,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,Request Payment,11.531374235038689,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
4,,,,,,,,,,,
4,Request For Payment FINAL_APPROVED by SUPERVISOR,9.599676098154463,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,16.40444503577629,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,Request For Payment FINAL_APPROVED by SUPERVISOR,16.40449595229237,STAFF MEMBER,SUPERVISOR,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,Payment Handled,16.425171075788256,SYSTEM,UNDEFINED,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
5,,,,,,,,,,,
