CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
1,Request For Payment SUBMITTED by EMPLOYEE,0.0,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment FINAL_APPROVED by SUPERVISOR,3.7612001156935624,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,Request For Payment REJECTED by MISSING,11.499992189558329,STAFF MEMBER,MISSING,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Request For Payment FINAL_APPROVED by SUPERVISOR,15.391828613120003,STAFF MEMBER,SUPERVISOR,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,8.39185670010494,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,Request For Payment FINAL_APPROVED by SUPERVISOR,8.4040244933106,STAFF MEMBER,SUPERVISOR,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,Request Payment,11.430478202002696,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,,,,,,,,,,,
3,,,,,,,,,,,
3,Request For Payment REJECTED by SUPERVISOR,9.070273383079064,STAFF MEMBER,SUPERVISOR,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,,,,,,,,,,,
3,,,,,,,,,,,
