CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
1,Request For Payment SUBMITTED by EMPLOYEE,0.0,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Request For Payment SUBMITTED by EMPLOYEE,15.337479388677913,STAFF MEMBER,EMPLOYEE,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Request Payment,15.428686475344753,SYSTEM,UNDEFINED,project 148216,UNKNOWN,organizational unit 65463,0.0,34.33634285099345,UNKNOWN,request for payment number 148215
1,,,,,,,,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,8.39185670010494,STAFF MEMBER,EMPLOYEE,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
2,,,,,,,,,,,
2,,,,,,,,,,,
2,Payment Handled,12.573680111082098,SYSTEM,UNDEFINED,project 147843,UNKNOWN,organizational unit 65458,0.0,15.182427838036624,UNKNOWN,request for payment number 149291
3,Request For Payment SUBMITTED by EMPLOYEE,9.066354521447801,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,,,,,,,,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,11.397907353385962,STAFF MEMBER,EMPLOYEE,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
3,,,,,,,,,,,
3,,,,,,,,,,,
3,Payment Handled,12.573680111082098,SYSTEM,UNDEFINED,project 147556,task 147557,organizational unit 65463,0.0,34.25224607843211,activity 505,request for payment number 149217
4,Request For Payment SUBMITTED by EMPLOYEE,9.59383249927394,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,,,,,,,,,,,
4,Request For Payment SUBMITTED by EMPLOYEE,16.40444503577629,STAFF MEMBER,EMPLOYEE,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
4,,,,,,,,,,,
4,Request Payment,16.41117495710524,SYSTEM,UNDEFINED,project 147649,task 82614,organizational unit 65463,0.0,437.6275839171305,activity 505,request for payment number 147887
4,,,,,,,,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,9.611998241741393,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,,,,,,,,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,16.404465462772613,STAFF MEMBER,EMPLOYEE,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
5,,,,,,,,,,,
5,Request Payment,16.411166154703345,SYSTEM,UNDEFINED,project 149147,task 82614,organizational unit 65463,0.0,32.550812026894,activity 505,request for payment number 149146
5,,,,,,,,,,,
