CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,,Value 1,0.0,,A_SUBMITTED,
1,,,,9.90353755128617,A_PARTLYSUBMITTED,
1,,Value 1,,9.90353755128617,A_PREACCEPTED,COMPLETE
1,,Value 1,,,W_Completeren aanvraag,
1,,Value 2,,9.90353755128617,W_Completeren aanvraag,
1,A_ACCEPTED-COMPLETE,,,9.90353755128617,A_ACCEPTED,
1,O_SELECTED-COMPLETE,,,9.90353755128617,,
1,A_FINALIZED-COMPLETE,,10.596277094151556,,,COMPLETE
1,O_CREATED-COMPLETE,Value 3,,9.90353755128617,,
1,,Value 3,10.596330536835847,9.90353755128617,,COMPLETE
1,W_Nabellen offertes-SCHEDULE,,,9.90353755128617,,SCHEDULE
1,W_Completeren aanvraag-COMPLETE,,,9.90353755128617,W_Completeren aanvraag,COMPLETE
1,,,,,,
1,,Value 2,10.643169450896117,9.90353755128617,W_Nabellen offertes,COMPLETE
1,W_Nabellen offertes-START,Value 4,,9.90353755128617,W_Nabellen offertes,
1,,Value 4,,,,COMPLETE
1,,,,9.90353755128617,W_Nabellen offertes,
1,,Value 5,,,,
1,W_Valideren aanvraag-SCHEDULE,Value 5,,9.90353755128617,W_Valideren aanvraag,
1,,Value 5,13.613225748854491,,,
1,,Value 6,13.883919746207917,,,
1,,Value 6,,9.90353755128617,A_REGISTERED,
1,,,13.88571333189072,9.90353755128617,A_APPROVED,
1,,Value 6,,9.90353755128617,O_ACCEPTED,COMPLETE
1,,Value 6,,,A_ACTIVATED,
1,W_Valideren aanvraag-COMPLETE,,,,W_Valideren aanvraag,
2,A_SUBMITTED-COMPLETE,,,,A_SUBMITTED,
2,A_PARTLYSUBMITTED-COMPLETE,Value 1,,8.517393171418904,,COMPLETE
2,,Value 1,10.206295967842177,,A_PREACCEPTED,COMPLETE
2,,,10.206404187488667,,W_Completeren aanvraag,
2,W_Completeren aanvraag-START,Value 2,,8.517393171418904,W_Completeren aanvraag,START
2,,Value 2,,,W_Completeren aanvraag,
2,W_Completeren aanvraag-START,,,8.517393171418904,,START
2,,,,8.517393171418904,,
2,A_FINALIZED-COMPLETE,,10.824217815094867,,,
2,O_SELECTED-COMPLETE,,,,O_SELECTED,COMPLETE
2,,Value 3,10.824247124252944,8.517393171418904,,
2,O_SENT-COMPLETE,,10.824249015779872,8.517393171418904,O_SENT,
2,W_Nabellen offertes-SCHEDULE,,10.824250986945184,,,
2,,,10.824273067717739,,,COMPLETE
2,,Value 2,,,W_Nabellen offertes,
2,,Value 2,,,,
2,W_Nabellen offertes-START,,12.351728968816062,,W_Nabellen offertes,START
2,,,12.352137227954804,,,COMPLETE
2,O_CANCELLED-COMPLETE,Value 7,,8.517393171418904,O_CANCELLED,
2,,Value 7,,8.517393171418904,O_CREATED,COMPLETE
2,,,,8.517393171418904,O_SENT,COMPLETE
2,W_Nabellen offertes-SCHEDULE,Value 2,,8.517393171418904,W_Nabellen offertes,SCHEDULE
2,W_Nabellen offertes-COMPLETE,Value 2,12.352152194087585,8.517393171418904,W_Nabellen offertes,
2,,Value 2,12.352210937450865,8.517393171418904,W_Nabellen offertes,
2,,,,8.517393171418904,,COMPLETE
2,W_Nabellen offertes-START,Value 5,13.60738034166108,,W_Nabellen offertes,START
2,O_SENT_BACK-COMPLETE,Value 5,,,O_SENT_BACK,
2,,,13.607453267097908,8.517393171418904,W_Valideren aanvraag,SCHEDULE
2,W_Nabellen offertes-COMPLETE,,13.607455067232939,8.517393171418904,,
2,,Value 8,13.611719858792936,,W_Valideren aanvraag,START
2,,Value 8,,8.517393171418904,,COMPLETE
2,,Value 8,,,,START
2,W_Valideren aanvraag-COMPLETE,,13.624991309323798,8.517393171418904,W_Valideren aanvraag,
2,W_Valideren aanvraag-START,Value 8,,8.517393171418904,,
2,O_ACCEPTED-COMPLETE,Value 8,,8.517393171418904,,COMPLETE
2,,,13.625224683219226,,,COMPLETE
2,,,13.625224683219226,8.517393171418904,,COMPLETE
2,,,13.625224683219226,,A_ACTIVATED,
2,,,,8.517393171418904,W_Valideren aanvraag,COMPLETE
3,A_SUBMITTED-COMPLETE,,10.20753772132092,8.853808274977197,A_SUBMITTED,
3,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.207548936185686,8.853808274977197,A_PARTLYSUBMITTED,COMPLETE
3,,,,,A_PREACCEPTED,
3,,,,8.853808274977197,W_Completeren aanvraag,SCHEDULE
3,W_Completeren aanvraag-START,Value 9,,,W_Completeren aanvraag,START
3,W_Completeren aanvraag-COMPLETE,Value 9,10.582436691230562,,,
3,,Value 2,,8.853808274977197,,START
3,,,12.261312778144855,,,
3,,,12.294738436554862,,W_Completeren aanvraag,START
3,,,,8.853808274977197,,COMPLETE
3,,Value 10,12.297964589818767,8.853808274977197,,START
3,,Value 10,,8.853808274977197,A_ACCEPTED,
3,A_FINALIZED-COMPLETE,,,8.853808274977197,A_FINALIZED,
3,O_SELECTED-COMPLETE,Value 10,12.299977684040087,,O_SELECTED,
3,,Value 10,12.299982112976704,8.853808274977197,O_CREATED,COMPLETE
3,O_SENT-COMPLETE,,,,,
3,,Value 10,12.299983296450689,8.853808274977197,,
3,W_Completeren aanvraag-COMPLETE,,12.299988744965098,8.853808274977197,W_Completeren aanvraag,COMPLETE
3,,Value 10,12.300104385751922,8.853808274977197,,START
3,,,,8.853808274977197,,
3,O_CANCELLED-COMPLETE,,,8.853808274977197,O_CANCELLED,
3,,Value 10,12.301092442268326,8.853808274977197,,
3,O_SENT-COMPLETE,,12.301092660513929,8.853808274977197,O_SENT,COMPLETE
3,,,,,,SCHEDULE
3,,,,,,
3,W_Nabellen offertes-START,,13.636020556929772,8.853808274977197,,START
3,,,,8.853808274977197,W_Nabellen offertes,
3,,Value 11,,,,START
3,W_Nabellen offertes-COMPLETE,,,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,8.853808274977197,,START
3,W_Nabellen offertes-COMPLETE,,,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,14.187739306211052,8.853808274977197,W_Nabellen offertes,START
3,,Value 12,14.187839367033419,,O_SELECTED,
3,,,,,,COMPLETE
3,,Value 12,,8.853808274977197,,COMPLETE
3,,,,,O_SENT,COMPLETE
3,W_Nabellen offertes-SCHEDULE,Value 12,14.18784130692581,8.853808274977197,W_Nabellen offertes,
3,W_Nabellen offertes-COMPLETE,,,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,Value 2,,,,START
3,W_Nabellen offertes-COMPLETE,,,,,
3,,Value 13,14.615453339454374,8.853808274977197,,START
3,,,14.615491474559777,8.853808274977197,,
3,,,,,W_Nabellen offertes,START
3,W_Nabellen offertes-COMPLETE,,,,,COMPLETE
3,,Value 15,,8.853808274977197,W_Nabellen offertes,START
3,,,14.822377180195241,8.853808274977197,W_Nabellen offertes,
3,,,,,W_Nabellen offertes,START
3,,Value 11,,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,14.846122591267552,,,
3,,Value 5,,,,COMPLETE
3,,Value 5,14.846198275737638,8.853808274977197,,
3,,Value 5,,,,
3,,,14.913435413070731,8.853808274977197,W_Valideren aanvraag,START
3,O_ACCEPTED-COMPLETE,,14.914245860732525,,O_ACCEPTED,
3,A_APPROVED-COMPLETE,Value 16,14.914245861065792,,,COMPLETE
3,A_REGISTERED-COMPLETE,Value 16,14.914245861065792,,A_REGISTERED,COMPLETE
3,,Value 16,,8.853808274977197,,
3,W_Valideren aanvraag-COMPLETE,,,,,
3,W_Wijzigen contractgegevens-SCHEDULE,Value 9,,,,
4,,,,,,
4,,Value 1,,9.61587214452889,,COMPLETE
4,A_DECLINED-COMPLETE,,10.210342421632122,9.61587214452889,,COMPLETE
5,,,,,A_SUBMITTED,
5,A_PARTLYSUBMITTED-COMPLETE,,10.218902343476989,8.517393171418904,,
5,,,10.220394305880859,,,COMPLETE
6,A_SUBMITTED-COMPLETE,Value 1,,,A_SUBMITTED,
6,,Value 1,10.39825802941988,9.510519035757246,,
6,,,10.399849022961673,9.510519035757246,,COMPLETE
6,,,,,,
6,W_Completeren aanvraag-START,,,,W_Completeren aanvraag,
6,,Value 9,10.589121453969234,,W_Completeren aanvraag,COMPLETE
6,W_Completeren aanvraag-START,Value 9,,,W_Completeren aanvraag,
6,A_CANCELLED-COMPLETE,,,9.510519035757246,,
6,,Value 9,,9.510519035757246,,
7,,Value 1,10.398602243393329,9.798182590890704,A_SUBMITTED,COMPLETE
7,,,10.39860495566869,,,COMPLETE
7,,,10.399861562957367,9.798182590890704,W_Afhandelen leads,SCHEDULE
7,,,,,,
7,A_PREACCEPTED-COMPLETE,,,9.798182590890704,,
7,W_Completeren aanvraag-SCHEDULE,,10.454075425488671,,W_Completeren aanvraag,SCHEDULE
7,,,10.454099988804327,,,COMPLETE
7,,,,9.798182590890704,W_Completeren aanvraag,
7,W_Completeren aanvraag-COMPLETE,,,9.798182590890704,,COMPLETE
7,,Value 9,10.60405476147113,,W_Completeren aanvraag,
7,W_Completeren aanvraag-COMPLETE,,,9.798182590890704,,COMPLETE
7,,Value 2,,,,
7,,Value 17,,,,
7,,Value 2,10.852806614270861,9.798182590890704,W_Completeren aanvraag,
8,A_SUBMITTED-COMPLETE,Value 1,,9.305741456739435,A_SUBMITTED,COMPLETE
8,,,10.420483182602686,,,COMPLETE
8,A_PREACCEPTED-COMPLETE,Value 1,10.421789915698483,,,
8,W_Completeren aanvraag-SCHEDULE,,,9.305741456739435,,
8,,,10.471033442504579,9.305741456739435,W_Completeren aanvraag,START
8,W_Completeren aanvraag-COMPLETE,,,9.305741456739435,W_Completeren aanvraag,
8,W_Completeren aanvraag-START,,10.589524389409696,,W_Completeren aanvraag,START
8,W_Completeren aanvraag-COMPLETE,,,9.305741456739435,W_Completeren aanvraag,COMPLETE
8,W_Completeren aanvraag-START,Value 18,,9.305741456739435,,
8,W_Completeren aanvraag-COMPLETE,Value 18,,9.305741456739435,,COMPLETE
8,W_Completeren aanvraag-COMPLETE,Value 18,14.814886055603935,,W_Completeren aanvraag,COMPLETE
8,A_CANCELLED-COMPLETE,,14.814886076218052,,,
9,,,10.421893979267502,10.308985993422082,A_SUBMITTED,
9,,,10.4218982964058,,A_PARTLYSUBMITTED,
9,,Value 1,,,W_Afhandelen leads,
9,W_Afhandelen leads-START,,,10.308985993422082,,START
9,A_PREACCEPTED-COMPLETE,Value 9,10.442935355582826,,,
9,W_Completeren aanvraag-SCHEDULE,,10.442936609182325,,,
9,,,,10.308985993422082,,
9,,,,,W_Completeren aanvraag,
9,,Value 19,10.707542409769841,10.308985993422082,,
9,,,,10.308985993422082,,
9,W_Completeren aanvraag-COMPLETE,Value 20,,,,COMPLETE
9,W_Completeren aanvraag-START,,,,,
9,A_CANCELLED-COMPLETE,,,10.308985993422082,,
9,,,,10.308985993422082,,COMPLETE
10,,,10.423083256475675,,,COMPLETE
10,,,,10.714439990727769,,
10,,,,,,
10,,,10.424051623320974,10.714439990727769,W_Completeren aanvraag,
10,,Value 2,,,,START
10,,Value 2,10.59770406116107,10.714439990727769,,
10,,,10.645619045083583,10.714439990727769,W_Completeren aanvraag,
10,,,10.65370577784019,10.714439990727769,,COMPLETE
10,O_SELECTED-COMPLETE,Value 9,,,,
10,A_FINALIZED-COMPLETE,Value 9,10.661884173345534,,,COMPLETE
10,,Value 9,,10.714439990727769,,
10,,,,,,
10,,,,10.714439990727769,W_Nabellen offertes,SCHEDULE
10,W_Completeren aanvraag-COMPLETE,Value 9,10.661968461409334,,,COMPLETE
10,,,,,,
10,W_Nabellen offertes-COMPLETE,,13.403585367383567,10.714439990727769,,COMPLETE
10,W_Nabellen offertes-START,,,10.714439990727769,,START
10,O_SENT_BACK-COMPLETE,,13.619154806947321,,O_SENT_BACK,COMPLETE
10,W_Valideren aanvraag-SCHEDULE,Value 21,13.619155168384221,10.714439990727769,,SCHEDULE
10,W_Nabellen offertes-COMPLETE,,,10.714439990727769,W_Nabellen offertes,
10,,,,10.714439990727769,W_Valideren aanvraag,
10,A_DECLINED-COMPLETE,Value 22,,10.714439990727769,,
10,O_DECLINED-COMPLETE,,13.887273923818254,10.714439990727769,O_DECLINED,
10,W_Valideren aanvraag-COMPLETE,Value 22,,,,
11,A_SUBMITTED-COMPLETE,,,,A_SUBMITTED,COMPLETE
11,A_PARTLYSUBMITTED-COMPLETE,Value 1,,,A_PARTLYSUBMITTED,
11,A_PREACCEPTED-COMPLETE,Value 1,10.490646826225193,9.61587214452889,A_PREACCEPTED,
11,W_Completeren aanvraag-SCHEDULE,Value 1,,9.61587214452889,,SCHEDULE
11,W_Completeren aanvraag-START,Value 2,10.491410541478825,9.61587214452889,W_Completeren aanvraag,START
11,,Value 3,10.497323411890465,9.61587214452889,,
11,,,,9.61587214452889,A_FINALIZED,COMPLETE
