CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,A_SUBMITTED-COMPLETE,Value 1,0.0,9.90353755128617,A_SUBMITTED,COMPLETE
1,,,,,,
1,A_PREACCEPTED-COMPLETE,Value 1,3.9956285873531385,9.90353755128617,A_PREACCEPTED,COMPLETE
1,,,,,,
1,W_Completeren aanvraag-START,Value 2,10.583622717817631,9.90353755128617,W_Completeren aanvraag,START
1,,,,,,
1,O_SELECTED-COMPLETE,Value 3,10.596277094151556,9.90353755128617,O_SELECTED,COMPLETE
1,,,,,,
1,O_CREATED-COMPLETE,Value 3,10.596325960431273,9.90353755128617,O_CREATED,COMPLETE
1,,,,,,
1,W_Nabellen offertes-SCHEDULE,Value 2,10.596334888144494,9.90353755128617,W_Nabellen offertes,SCHEDULE
1,,,,,,
1,W_Nabellen offertes-START,Value 2,10.64107602604588,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,W_Nabellen offertes-START,Value 4,13.4025587553672,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,W_Nabellen offertes-START,Value 5,13.613172744632893,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,W_Valideren aanvraag-SCHEDULE,Value 5,13.613224241867382,9.90353755128617,W_Valideren aanvraag,SCHEDULE
1,,,,,,
1,W_Valideren aanvraag-START,Value 6,13.883919746207917,9.90353755128617,W_Valideren aanvraag,START
1,,,,,,
1,A_APPROVED-COMPLETE,Value 6,13.88571333189072,9.90353755128617,A_APPROVED,COMPLETE
1,,,,,,
1,A_ACTIVATED-COMPLETE,Value 6,13.88571333189072,9.90353755128617,A_ACTIVATED,COMPLETE
1,,,,,,
2,A_SUBMITTED-COMPLETE,Value 1,10.204136811444984,8.517393171418904,A_SUBMITTED,COMPLETE
2,,,,,,
2,A_PREACCEPTED-COMPLETE,Value 1,10.206295967842177,8.517393171418904,A_PREACCEPTED,COMPLETE
2,,,,,,
2,W_Completeren aanvraag-START,Value 2,10.584785988141682,8.517393171418904,W_Completeren aanvraag,START
2,,,,,,
2,W_Completeren aanvraag-START,Value 2,10.814850744000982,8.517393171418904,W_Completeren aanvraag,START
2,,,,,,
2,A_FINALIZED-COMPLETE,Value 3,10.824217815094867,8.517393171418904,A_FINALIZED,COMPLETE
2,,,,,,
2,O_CREATED-COMPLETE,Value 3,10.824247124252944,8.517393171418904,O_CREATED,COMPLETE
2,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,10.824250986945184,8.517393171418904,W_Nabellen offertes,SCHEDULE
2,,,,,,
