CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,W_Completeren aanvraag-START,Value 2,10.583622717817631,9.90353755128617,W_Completeren aanvraag,START
1,A_ACCEPTED-COMPLETE,Value 3,10.592620737787215,9.90353755128617,A_ACCEPTED,COMPLETE
1,,,,,,
1,,,,,,
1,,,,,,
1,O_SENT-COMPLETE,Value 3,10.596330536835847,9.90353755128617,O_SENT,COMPLETE
1,W_Nabellen offertes-SCHEDULE,Value 2,10.596334888144494,9.90353755128617,W_Nabellen offertes,SCHEDULE
1,,,,,,
1,W_Nabellen offertes-START,Value 2,10.64107602604588,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,W_Nabellen offertes-START,Value 4,13.4025587553672,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,W_Nabellen offertes-START,Value 5,13.613172744632893,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 5,13.613225748854491,9.90353755128617,W_Nabellen offertes,COMPLETE
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,W_Valideren aanvraag-COMPLETE,Value 6,13.885720603061477,9.90353755128617,W_Valideren aanvraag,COMPLETE
2,A_SUBMITTED-COMPLETE,Value 1,10.204136811444984,8.517393171418904,A_SUBMITTED,COMPLETE
2,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.204282610261536,8.517393171418904,A_PARTLYSUBMITTED,COMPLETE
2,,,,,,
2,,,,,,
2,W_Completeren aanvraag-START,Value 2,10.584785988141682,8.517393171418904,W_Completeren aanvraag,START
2,,,,,,
2,,,,,,
2,A_ACCEPTED-COMPLETE,Value 3,10.821997180839364,8.517393171418904,A_ACCEPTED,COMPLETE
2,A_FINALIZED-COMPLETE,Value 3,10.824217815094867,8.517393171418904,A_FINALIZED,COMPLETE
2,O_SELECTED-COMPLETE,Value 3,10.824217815094867,8.517393171418904,O_SELECTED,COMPLETE
2,O_CREATED-COMPLETE,Value 3,10.824247124252944,8.517393171418904,O_CREATED,COMPLETE
2,,,,,,
2,,,,,,
2,W_Completeren aanvraag-COMPLETE,Value 2,10.824273067717739,8.517393171418904,W_Completeren aanvraag,COMPLETE
2,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,10.825009537512912,8.517393171418904,W_Nabellen offertes,COMPLETE
2,W_Nabellen offertes-START,Value 2,12.351728968816062,8.517393171418904,W_Nabellen offertes,START
2,O_SELECTED-COMPLETE,Value 7,12.352137227954804,8.517393171418904,O_SELECTED,COMPLETE
2,,,,,,
2,O_CREATED-COMPLETE,Value 7,12.35214535912045,8.517393171418904,O_CREATED,COMPLETE
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,12.35239137986915,8.517393171418904,W_Nabellen offertes,COMPLETE
