CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-In Progress,Value 1,19.087575582551246,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,Value 1,,Accepted,High,Assigned,,,,J11 2nd,PROD191,INDIA
1,,Value 1,19.087580268969127,Accepted,,In Progress,,A2_2,,J11 2nd,,INDIA
1,,,19.087581028649257,Completed,High,Closed,,A2_2,,,,
2,Accepted-In Progress,Value 2,17.06971703951763,,Medium,In Progress,Org line A2,A2_2,cn,,,Sweden
2,Accepted-In Progress,Value 2,17.070145843525836,Accepted,Medium,In Progress,,,,,,Sweden
2,,,18.625817469113876,,,,,A2_2,,,PROD753,
2,Accepted-In Progress,Value 2,,,,,Org line A2,,cn,M1 2nd,,
2,Accepted-In Progress,Value 3,19.06285259535793,,,,,,cn,,PROD753,China
2,Completed-Closed,Value 3,,Completed,Medium,,Org line A2,A2_2,cn,,,China
3,Accepted-In Progress,Value 2,,,,,Org line A2,,,M1 2nd,PROD753,
3,Accepted-Wait,,18.625817460968516,,,,,A2_2,cn,,,Sweden
3,,,18.997474271801213,,,In Progress,,A2_2,,,,
3,,Value 3,19.061914332516814,,,In Progress,,A2_2,,,PROD753,China
3,Completed-Closed,Value 3,19.06191434304966,Completed,Medium,,Org line A2,A2_2,cn,,,
4,Accepted-In Progress,,,Accepted,,,Org line A2,A2_2,cn,,,Sweden
4,Accepted-Wait,Value 2,18.625817477259233,,,Wait,Org line A2,A2_2,,,,Sweden
4,,,,,,,,A2_2,cn,M1 2nd,PROD753,
4,,Value 3,19.06190428413004,,,In Progress,Org line A2,,cn,M1 2nd,,China
4,,,,,Low,Closed,Org line A2,A2_2,cn,,PROD753,China
5,,Value 4,,Accepted,Medium,,,,,,,Sweden
5,Accepted-Wait,Value 4,,Accepted,,Wait,,,se,,PROD681,Sweden
5,Queued-Awaiting Assignment,,,,Medium,,Org line A2,A2_2,se,,,
5,,Value 4,18.99848930383784,,,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,
5,Accepted-Assigned,,,,Medium,Assigned,,A2_2,se,G167 2nd,PROD681,
5,Accepted-In Progress,Value 4,19.055115884419866,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,,
5,Completed-Closed,Value 4,19.05511629800301,Completed,,,Org line A2,A2_2,,G167 2nd,PROD681,
6,Accepted-In Progress,,,,High,,,,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,,,,,In Progress,,,,,,Sweden
6,Accepted-Wait,,18.625817485404593,,High,Wait,,A2_2,,,,
6,,,,,,,Org line A2,A2_2,,M1 2nd,,Sweden
6,Accepted-In Progress,,,Accepted,,In Progress,,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 3,19.062805282968657,,High,In Progress,Org line A2,A2_2,,,PROD753,China
6,,Value 3,,Completed,High,Closed,,,,M1 2nd,,
7,Accepted-In Progress,,,,Medium,,,,cn,,PROD681,
7,,Value 2,,Accepted,,,Org line A2,,,G167 2nd,,
7,Queued-Awaiting Assignment,,18.7972841582491,Queued,,,Org line A2,A2_2,cn,G167 2nd,PROD681,
7,Accepted-In Progress,,,,Medium,In Progress,,A2_2,,M1 2nd,,Sweden
7,,,,Accepted,,,Org line A2,A2_2,cn,,PROD681,Sweden
7,Accepted-In Progress,Value 2,19.05608183979236,Accepted,Medium,,Org line A2,A2_2,cn,,PROD681,
7,Completed-Closed,Value 2,,Completed,Medium,,,A2_2,cn,M1 2nd,PROD681,
8,,,,Accepted,High,,Org line V7n,,,,PROD542,Netherlands
8,Accepted-In Progress,Value 5,19.067398587146972,Accepted,High,,Org line V7n,,nl,,,Netherlands
8,Accepted-In Progress,Value 5,19.067403515735506,Accepted,,,Org line V7n,,nl,,,Netherlands
8,Queued-Awaiting Assignment,,19.07513571767496,,,Awaiting Assignment,Org line V7n,,nl,,PROD542,Netherlands
8,,Value 5,19.075141024055675,Accepted,,In Progress,,,,V37 2nd,PROD542,
8,Queued-Awaiting Assignment,Value 6,19.075141159183516,,High,Awaiting Assignment,,,,V32 2nd,PROD542,Netherlands
8,,,19.07514129950856,,,,,,,,,Netherlands
8,,,19.08930267929024,Completed,,,Org line V7n,,nl,,PROD542,Netherlands
9,,,,Accepted,Low,In Progress,Org line A2,,cn,M1 2nd,PROD753,
9,,Value 2,,Accepted,,Wait,,A2_2,,,PROD753,
9,Accepted-In Progress,,19.0320302018672,,Low,In Progress,,A2_2,,M1 2nd,PROD753,Sweden
9,Accepted-In Progress,,19.061941048727018,,Low,In Progress,Org line A2,,cn,,PROD753,
9,,,19.061941717544727,Completed,Low,Closed,,A2_2,,M1 2nd,,
10,,,,Accepted,,,Org line A2,,,M18 2nd,PROD38,
