CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087575582551246,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087580268969127,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,17.070145843525836,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,18.997473687636635,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Completed-Closed,Value 3,19.062852611142386,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,,,,,,,,,,,,
3,Accepted-Wait,Value 2,18.625817460968516,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,Accepted-In Progress,Value 3,19.061914332516814,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,,,,,,,,,,,,
4,,,,,,,,,,,,
4,Accepted-Wait,Value 2,18.625817477259233,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,Accepted-In Progress,Value 3,19.06190428413004,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Accepted-Wait,Value 4,18.625817469113876,Accepted,Medium,Wait,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,18.99848930383784,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,19.055115884419866,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.273452502002172,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.99685293792133,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 3,19.062805282968657,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
6,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Accepted-Wait,Value 2,18.625817485404593,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,18.99749156067146,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,19.05608183979236,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.067398587146972,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.07513571767496,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.075141159183516,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Completed-Closed,Value 5,19.08930267929024,Completed,High,Closed,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
9,,,,,,,,,,,,
9,Accepted-Wait,Value 2,18.625817493549953,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 3,19.061941048727018,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
9,,,,,,,,,,,,
10,,,,,,,,,,,,
10,Accepted-In Progress,Value 7,19.093311162782825,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
10,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.542713678204972,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.736836360062657,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-Wait,Value 9,19.011280376526354,Accepted,Medium,Wait,Org line C,C_6,se,G152 3rd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-In Progress,Value 10,19.07463324582013,Accepted,Medium,In Progress,Org line C,E_10,se,G150 2nd,PROD425,Sweden
11,,,,,,,,,,,,
12,,,,,,,,,,,,
12,Unmatched-Unmatched,Value 11,18.568466832670847,Unmatched,Low,Unmatched,Org line C,C_6,se,G237 3rd,PROD498,Sweden
12,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Accepted-In Progress,Value 12,18.578841071530125,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,Queued-Awaiting Assignment,Value 12,18.711309328670165,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,Accepted-In Progress,Value 12,18.713835143372798,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
13,,,,,,,,,,,,
