CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,Accepted-Assigned,Value 1,19.087576326835947,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,Completed-Closed,Value 1,19.087581028649257,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
2,Accepted-In Progress,Value 2,17.06971703951763,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-Wait,Value 2,18.625817469113876,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 3,19.06285259535793,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
2,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,17.436833715366276,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,18.997474271801213,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,Completed-Closed,Value 3,19.06191434304966,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Accepted-In Progress,Value 2,17.54870190182382,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,Accepted-In Progress,Value 2,18.997474305503005,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,Completed-Closed,Value 3,19.061904373660138,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
5,Accepted-In Progress,Value 4,17.6944210245022,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Queued-Awaiting Assignment,Value 4,18.797286738313225,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Accepted-Assigned,Value 4,19.032034423427376,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,Completed-Closed,Value 4,19.05511629800301,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.108500356699842,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-Wait,Value 2,18.625817485404593,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.99685296602361,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,Completed-Closed,Value 3,19.062805298753858,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
7,Accepted-In Progress,Value 2,18.140691102079035,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Queued-Awaiting Assignment,Value 2,18.7972841582491,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-Assigned,Value 4,19.03203410871014,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Completed-Closed,Value 2,19.056082062275983,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
8,Accepted-In Progress,Value 5,18.310584934466377,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.067403515735506,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.075141024055675,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.07514129950856,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
9,Accepted-In Progress,Value 2,18.310636867349235,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 2,19.0320302018672,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Completed-Closed,Value 3,19.061941717544727,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
10,Accepted-In Progress,Value 7,18.506137914622155,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
10,,,,,,,,,,,,
10,Completed-Closed,Value 7,19.093311632317906,Completed,Medium,Closed,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
11,Accepted-In Progress,Value 8,18.542708181599526,Accepted,Medium,In Progress,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-Assigned,Value 8,18.542812567685395,Accepted,Medium,Assigned,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,Accepted-In Progress,Value 9,18.754920855520684,Accepted,Medium,In Progress,Org line C,C_6,se,G152 3rd,PROD425,Sweden
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 9,19.042692110348675,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
