CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087575582551246,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-Assigned,Value 1,19.087576326835947,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-In Progress,Value 1,19.087580268969127,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Completed-Closed,Value 1,19.087581028649257,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
2,Accepted-In Progress,Value 2,17.06971703951763,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-Wait,Value 2,18.625817469113876,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 3,19.06285259535793,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
2,Completed-Closed,Value 3,19.062852611142386,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,Accepted-In Progress,Value 2,17.436833715366276,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,,,,,,,,,,,,
3,,,,,,,,,,,,
3,Completed-Closed,Value 3,19.06191434304966,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Accepted-In Progress,Value 2,17.54870190182382,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-Wait,Value 2,18.625817477259233,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-In Progress,Value 2,18.997474305503005,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-In Progress,Value 3,19.06190428413004,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,17.6944210245022,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Completed-Closed,Value 4,19.05511629800301,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.108500356699842,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Accepted-Wait,Value 2,18.625817485404593,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,18.99749156067146,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,Accepted-Assigned,Value 4,19.03203410871014,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,18.310584934466377,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.07513571767496,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,Accepted-In Progress,Value 5,19.075141024055675,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.07514129950856,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,Completed-Closed,Value 5,19.08930267929024,Completed,High,Closed,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
9,,,,,,,,,,,,
9,Accepted-Wait,Value 2,18.625817493549953,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 3,19.061941048727018,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
9,,,,,,,,,,,,
10,,,,,,,,,,,,
10,,,,,,,,,,,,
10,Completed-Closed,Value 7,19.093311632317906,Completed,Medium,Closed,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.542713678204972,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Accepted-In Progress,Value 9,18.754920855520684,Accepted,Medium,In Progress,Org line C,C_6,se,G152 3rd,PROD425,Sweden
11,,,,,,,,,,,,
11,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Completed-Closed,Value 10,19.07661430779273,Completed,Medium,Closed,Org line C,E_10,se,G150 2nd,PROD425,Sweden
12,Accepted-In Progress,Value 11,18.563327417139917,Accepted,Low,In Progress,Org line C,C_6,se,G237 3rd,PROD498,Sweden
12,,,,,,,,,,,,
12,Completed-Closed,Value 11,19.10774305921168,Completed,Low,Closed,Org line C,C_6,se,G237 3rd,PROD498,Sweden
13,Queued-Awaiting Assignment,Value 12,18.570299607738527,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,Accepted-In Progress,Value 12,18.578841071530125,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,,,,,,,,,,,,
