CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
1,,,,,,,,,,,,
1,Accepted-In Progress,Value 1,19.087580268969127,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,17.06971703951763,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,,,,,,,,,,,,
2,Accepted-In Progress,Value 2,18.997473687636635,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,,,,,,,,,,,,
2,,,,,,,,,,,,
3,Accepted-In Progress,Value 2,17.436833715366276,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,,,,,,,,,,,,
3,,,,,,,,,,,,
3,Accepted-In Progress,Value 3,19.061914332516814,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,,,,,,,,,,,,
4,Accepted-In Progress,Value 2,17.54870190182382,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,,,,,,,,,,,,
4,,,,,,,,,,,,
4,Accepted-In Progress,Value 3,19.06190428413004,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,17.6944210245022,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Accepted-In Progress,Value 4,18.99848930383784,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
5,,,,,,,,,,,,
5,,,,,,,,,,,,
5,Completed-Closed,Value 4,19.05511629800301,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.108500356699842,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,Accepted-In Progress,Value 2,18.99685293792133,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,,,,,,,,,,,,
6,,,,,,,,,,,,
6,Completed-Closed,Value 3,19.062805298753858,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
7,Accepted-In Progress,Value 2,18.140691102079035,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Accepted-In Progress,Value 2,18.99749156067146,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
7,,,,,,,,,,,,
7,,,,,,,,,,,,
7,Completed-Closed,Value 2,19.056082062275983,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
8,Accepted-In Progress,Value 5,18.310584934466377,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Queued-Awaiting Assignment,Value 6,19.07513571767496,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
8,,,,,,,,,,,,
8,Accepted-In Progress,Value 5,19.07514129950856,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
8,,,,,,,,,,,,
9,Accepted-In Progress,Value 2,18.310636867349235,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
9,,,,,,,,,,,,
9,,,,,,,,,,,,
9,Accepted-In Progress,Value 3,19.061941048727018,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
9,,,,,,,,,,,,
10,Accepted-In Progress,Value 7,18.506137914622155,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
10,,,,,,,,,,,,
10,,,,,,,,,,,,
11,Accepted-In Progress,Value 8,18.542708181599526,Accepted,Medium,In Progress,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,,,
11,,,,,,,,,,,,
11,Queued-Awaiting Assignment,Value 8,18.736836360062657,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,,,,,,,,,G152 3rd,,
11,,,,,,,,,,G152 3rd,,
11,Queued-Awaiting Assignment,Value 9,19.042692110348675,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
11,,Value 10,,,,,,,,G150 2nd,,
11,,Value 10,,,,,,,,G150 2nd,,
12,Accepted-In Progress,Value 11,18.563327417139917,Accepted,Low,In Progress,Org line C,C_6,se,G237 3rd,PROD498,Sweden
12,,,,,,,,,,,,
12,,,,,,,,,,,,
13,Queued-Awaiting Assignment,Value 12,18.570299607738527,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Queued-Awaiting Assignment,Value 12,18.711309328670165,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Accepted-Wait,Value 12,18.713837127483355,Accepted,Medium,Wait,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
13,,,,,,,,,,,,
13,,,,,,,,,,,,
13,Completed-Closed,Value 12,19.118096949245516,Completed,Medium,Closed,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
14,Accepted-In Progress,Value 13,18.571480854027495,Accepted,Low,In Progress,Org line C,E_3,se,L54 2nd,PROD385,Sweden
