CaseID,Activity,org:resource,time:timestamp,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1,Queued-Awaiting Assignment,Value 1,0.0,Queued,High,Awaiting Assignment,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-In Progress,Value 1,19.087575582551246,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-Assigned,Value 1,19.087576326835947,Accepted,High,Assigned,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Accepted-In Progress,Value 1,19.087580268969127,Accepted,High,In Progress,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
1,Completed-Closed,Value 1,19.087581028649257,Completed,High,Closed,Org line A2,A2_2,se,J11 2nd,PROD191,INDIA
2,Accepted-In Progress,Value 2,17.06971703951763,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-In Progress,Value 2,17.070145843525836,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-Wait,Value 2,18.625817469113876,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-In Progress,Value 2,18.997473687636635,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
2,Accepted-In Progress,Value 3,19.06285259535793,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
2,Completed-Closed,Value 3,19.062852611142386,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,Accepted-In Progress,Value 2,17.436833715366276,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,Accepted-Wait,Value 2,18.625817460968516,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,Accepted-In Progress,Value 2,18.997474271801213,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
3,Accepted-In Progress,Value 3,19.061914332516814,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
3,Completed-Closed,Value 3,19.06191434304966,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Accepted-In Progress,Value 2,17.54870190182382,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-Wait,Value 2,18.625817477259233,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-In Progress,Value 2,18.997474305503005,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
4,Accepted-In Progress,Value 3,19.06190428413004,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
4,Completed-Closed,Value 3,19.061904373660138,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
5,Accepted-In Progress,Value 4,17.6944210245022,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Accepted-Wait,Value 4,18.625817469113876,Accepted,Medium,Wait,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Queued-Awaiting Assignment,Value 4,18.797286738313225,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Accepted-In Progress,Value 4,18.99848930383784,Accepted,Medium,In Progress,Org line A2,A2_2,se,M1 2nd,PROD681,Sweden
5,Accepted-Assigned,Value 4,19.032034423427376,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Accepted-In Progress,Value 4,19.055115884419866,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
5,Completed-Closed,Value 4,19.05511629800301,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
6,Accepted-In Progress,Value 2,18.108500356699842,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 2,18.273452502002172,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-Wait,Value 2,18.625817485404593,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 2,18.99685293792133,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 2,18.99685296602361,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
6,Accepted-In Progress,Value 3,19.062805282968657,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
6,Completed-Closed,Value 3,19.062805298753858,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
7,Accepted-In Progress,Value 2,18.140691102079035,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
