CaseID,Activity,time:timestamp
1,,
1,Activity D,8.188966863648876
1,,
1,,8.881975184248867
1,Activity E,9.287394001418473
1,,9.575052927597383
1,Activity F,
1,,9.980494888896912
2,,0.0
2,,
2,Activity D,8.188966863648876
2,Activity B,8.881975184248867
2,,
2,,
2,Activity F,9.798182590890704
2,,9.980494888896912
3,,
3,Activity D,8.188966863648876
3,Activity C,
3,Activity B,
3,,
3,Activity I,
3,,
3,Activity J,9.980494888896912
4,,0.0
4,Activity D,
4,Activity C,
4,Activity B,8.881975184248867
4,,
4,Activity G,9.575052927597383
4,,9.798182590890704
4,,9.980494888896912
5,Activity A,0.0
5,,8.188966863648876
5,Activity C,
5,Activity B,8.881975184248867
5,Activity E,9.287394001418473
5,Activity H,9.575052927597383
5,,
5,,9.980494888896912
6,Activity A,0.0
6,Activity C,8.188966863648876
6,Activity D,8.188966863648876
6,,8.881975184248867
6,,9.287394001418473
6,Activity H,9.575052927597383
6,Activity F,9.798182590890704
6,,9.980494888896912
7,Activity A,
7,Activity C,8.188966863648876
7,Activity D,8.188966863648876
7,Activity B,
7,,9.287394001418473
7,,
7,,9.798182590890704
7,,
8,Activity A,
8,Activity C,
8,,
8,,8.881975184248867
8,Activity E,
8,,9.575052927597383
8,,
8,Activity J,
9,Activity A,0.0
9,,8.188966863648876
9,,8.188966863648876
9,,8.881975184248867
9,Activity E,
9,Activity G,
9,,
9,Activity J,9.980494888896912
10,Activity A,0.0
10,Activity D,8.188966863648876
10,,8.188966863648876
10,Activity B,8.881975184248867
10,Activity E,
10,Activity H,
10,Activity F,9.798182590890704
10,,
11,,0.0
11,,
11,,8.188966863648876
11,,8.881975184248867
11,Activity E,
11,Activity G,9.575052927597383
11,,
11,,
12,Activity A,0.0
12,,
12,,
12,Activity B,8.881975184248867
12,,
12,,
12,,
12,Activity J,9.980494888896912
13,,0.0
13,Activity C,
13,Activity D,
13,,8.881975184248867
13,,9.287394001418473
13,Activity G,9.575052927597383
13,Activity F,
13,,
14,,0.0
14,Activity C,8.188966863648876
14,Activity D,8.188966863648876
14,Activity B,
14,,9.287394001418473
14,Activity H,9.575052927597383
14,Activity F,
14,,9.980494888896912
15,,0.0
15,Activity D,
15,,8.188966863648876
15,,
15,Activity E,9.287394001418473
15,Activity G,
15,,9.798182590890704
15,Activity J,
16,Activity A,0.0
16,Activity D,
16,Activity C,
16,Activity B,8.881975184248867
16,,
16,Activity I,9.575052927597383
16,Activity F,
16,,9.980494888896912
17,,0.0
17,,8.188966863648876
17,,8.188966863648876
17,Activity B,8.881975184248867
17,Activity E,
17,,
17,,
17,Activity J,
18,Activity A,0.0
18,,
18,,8.188966863648876
18,Activity B,
18,,9.287394001418473
18,,
18,,9.798182590890704
18,,
19,,0.0
19,,8.188966863648876
19,,
19,Activity B,
19,,
19,,
19,,
19,Activity J,9.980494888896912
20,,
20,Activity C,8.188966863648876
20,,
20,Activity B,8.881975184248867
20,Activity E,
20,Activity G,
20,,9.798182590890704
20,,9.980494888896912
21,Activity A,0.0
21,Activity C,8.188966863648876
21,,8.188966863648876
21,,8.881975184248867
21,Activity E,
21,,
21,,
21,Activity J,
22,Activity A,
22,,
22,,
22,,8.881975184248867
