CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796956003547187,0.0,AB52,E
1,Letter,18.79839652280154,0.0,AB52,E
1,DeviceReceived,18.798809981807246,0.0,AB52,E
1,,18.8054778800616,,,
1,InDelivery,18.8054778800616,,AB52,E
1,NoteWorkshop,,0.0,AB52,E
1,Completed,18.805712465077278,,,E
2,,18.797007078261355,,AB41,E
2,NoteHotline,18.797007442041792,,AB41,
2,Letter,18.80017156881444,0.0,AB41,E
2,,18.80049908057197,,,E
2,StatusRequest,,0.0,,E
2,,18.80606573586787,,,E
2,,18.80606573586787,,,E
2,,,0.0,AB41,E
2,Completed,18.80631645600607,,AB41,
3,Creation,,,,
3,Letter,,0.0,,G
3,,,0.0,,
3,NoteWorkshop,18.809813183886742,0.0,AB47,G
3,InDelivery,18.81017107877432,,,G
3,,,,AB47,G
4,Creation,,,,J
4,NoteHotline,18.888666563789275,0.0,,
4,DeviceReceived,18.890379783065235,,,
4,,,0.0,AB22,J
4,,,0.0,,J
4,,,,,J
5,Creation,,,,E
5,,18.89160408763109,,AB49,E
5,DeviceReceived,18.891835079631434,1.0,AB49,E
5,,,1.0,AB49,E
5,,,1.0,AB49,
5,,18.892682513086314,1.0,,
5,,,1.0,,E
5,,,,,
6,Creation,,0.0,,L
6,,,0.0,,
6,,18.892447436837617,0.0,,L
6,,18.895373499540998,,AB62,L
6,,18.895568420547836,0.0,,L
6,,18.895620893507083,,AB62,L
6,NoteHotline,,0.0,AB62,
6,Completed,18.895633953789627,,,
7,,,0.0,,L
7,NoteHotline,18.888727785327823,,,L
7,DeviceReceived,18.890206721640755,0.0,,
7,NoteWorkshop,,,AB62,L
7,InDelivery,,,,
7,,18.908418778638357,,,
8,Creation,,,,E
8,NoteHotline,,,AB29,E
8,,,0.0,AB29,
8,,18.89859315368298,,AB29,E
8,,,0.0,,E
8,NoteWorkshop,,0.0,AB29,
8,,,0.0,AB29,E
9,Creation,,1.0,,
9,,18.88858115673815,1.0,AB63,
9,,,,AB63,G
9,,,1.0,AB63,
9,,,,AB63,G
9,NoteWorkshop,18.891862241738515,1.0,,G
9,,18.891864108286928,1.0,,
10,Creation,,0.0,AB52,L
10,DeviceReceived,18.806317673237913,,AB52,
10,,18.80899984242867,,,
10,,18.81342931859425,,,L
10,,,0.0,AB52,L
10,,18.814064498857963,,AB52,L
10,,18.814064613568814,0.0,,
10,Completed,,,AB52,L
11,Creation,18.888563024728647,,AB20,G
11,NoteHotline,,,,G
11,Letter,,,AB20,G
11,InDelivery,,,,
11,DeviceReceived,18.8913837285921,1.0,AB20,
11,,18.891384696664367,1.0,,G
11,,,1.0,,
12,,,0.0,,
12,Letter,18.893221290001698,,,E
12,,18.893488151435825,,AB62,E
12,Transmission,18.899399386905685,,,E
12,,18.89994927736838,0.0,,E
12,,,,,
12,NoteWorkshop,,,AB62,
12,,18.907128560871456,,AB62,
12,,,,AB62,E
12,Completed,,,,E
13,Creation,,,AB49,E
13,NoteHotline,18.888632450694278,1.0,AB49,
13,DeviceReceived,18.891342643990335,,AB49,E
13,,,1.0,AB49,E
13,NoteWorkshop,,1.0,,
13,Completed,18.891796048807734,1.0,AB49,
14,Creation,,,,
14,Letter,,1.0,,G
14,InDelivery,18.888902924860847,,AB53,G
14,,18.8892116079616,1.0,AB53,
14,,,,AB53,
14,Completed,,1.0,,
15,Creation,,0.0,,L
15,Letter,,,,L
15,,18.88971216325513,0.0,,L
15,,18.892427347086215,,,L
15,InDelivery,18.909781003788225,,AB50,L
15,Completed,18.909964842134507,,AB50,L
16,Creation,18.88857475576923,,,
16,Letter,,0.0,,L
16,,,0.0,,L
16,,18.88970103988433,,AB50,
16,,,,,L
16,Completed,18.908379290637523,,AB50,
17,,,,,L
17,,18.88944374143267,0.0,AB44,
17,DeviceReceived,18.889713358165558,,AB44,
17,InDelivery,,,AB44,L
17,,,0.0,AB44,
18,Creation,18.888695045797796,,,
18,Letter,18.88944374143267,0.0,AB45,E
18,DeviceReceived,18.88971190049977,0.0,AB45,
18,,,,,E
18,InDelivery,18.89591082895293,,,E
18,,18.89613066518844,0.0,,
19,Letter,,0.0,AB36,
19,,,,,
19,DeviceReceived,18.80516194172419,0.0,,
19,NoteHotline,18.805161962148304,0.0,AB36,
19,,18.808413709430877,,AB36,
19,NoteWorkshop,,,,
19,Completed,18.80875486162908,0.0,,
20,,18.889109089339744,,,E
20,,18.892428819516486,0.0,AB61,E
20,,18.897245141712446,,,
20,,18.897245551514903,0.0,AB61,E
20,,18.907128560871456,,AB61,
20,,,0.0,AB61,
20,Completed,,,AB61,
21,Creation,,,,L
21,Letter,18.899664072249504,,,L
21,DeviceReceived,18.899860481150725,,,
21,,,,,L
21,,,0.0,,L
21,,18.90305699689013,,AB52,L
21,,18.903057046275308,,AB52,
21,Completed,18.903068713455475,0.0,,
22,,,0.0,AB62,
22,,18.90315535498533,0.0,AB62,
22,Letter,,0.0,AB62,E
22,,,0.0,AB62,
22,,18.911579467260587,0.0,AB62,E
22,NoteHotline,,,,E
22,,18.92502796007849,,AB62,E
22,InDelivery,18.92502796007849,0.0,AB62,
22,Completed,18.925325354553262,0.0,AB62,E
23,Creation,18.889137734018103,,,E
23,,,1.0,,E
23,Letter,18.89106443846415,,,E
23,,18.891349170921117,1.0,,
23,,,1.0,AB16,
23,,18.89160408763109,1.0,AB16,E
23,,18.89178971208593,,AB16,
24,,18.889157044925856,0.0,AB36,E
24,,,0.0,,
24,StockEntry,18.89591082895293,0.0,,E
24,InDelivery,18.89591082895293,0.0,AB36,
24,,,0.0,,
24,Completed,,0.0,AB36,
25,Creation,,,,L
25,DeviceReceived,18.89293120343356,0.0,,
25,,,0.0,AB62,L
25,,18.895566299679334,,,
25,Approved,,0.0,AB62,L
25,NoteHotline,,,AB62,
25,InDelivery,,,,L
25,Completed,,,AB62,
26,Creation,,,,L
26,DeviceReceived,,,AB29,L
26,,,0.0,,
26,,,0.0,,
26,,,,,L
26,,18.896723500902,,AB29,L
26,NoteHotline,18.896723705910162,0.0,,
26,Completed,18.896736664825678,0.0,AB29,L
27,,18.889130266199167,1.0,AB34,
27,,,1.0,,
27,,18.893221290001698,,AB34,L
27,,18.893484343370506,1.0,AB34,L
28,Creation,18.889133396054632,0.0,AB25,E
28,,18.889695115293815,,,
28,NoteHotline,18.89235395991221,,AB25,E
28,InDelivery,,0.0,,
28,,,,AB25,
29,Creation,18.88917395809529,,AB40,L
29,DeviceReceived,,0.0,AB40,L
29,,18.891873060179716,,,L
29,,18.894835881250938,0.0,,L
29,Completed,,,AB40,
30,,18.889182552279404,0.0,AB52,L
30,,,0.0,,L
30,DeviceReceived,,,,L
30,,,0.0,,
