CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796956003547187,0.0,AB52,E
1,,,,,
1,DeviceReceived,18.798809981807246,0.0,AB52,E
1,,,,,
1,InDelivery,18.8054778800616,0.0,AB52,E
1,,,,,
1,Completed,18.805712465077278,0.0,AB52,E
2,Creation,18.797007078261355,0.0,AB41,E
2,,,,,
2,Letter,18.80017156881444,0.0,AB41,E
2,,,,,
2,StatusRequest,18.80582196052975,0.0,AB41,E
2,,,,,
2,InDelivery,18.80606573586787,0.0,AB41,E
2,,,,,
2,Completed,18.80631645600607,0.0,AB41,E
3,Creation,18.805190712076673,0.0,AB47,G
3,,,,,
3,DeviceReceived,18.806963542327622,0.0,AB47,G
3,,,,,
3,InDelivery,18.81017107877432,0.0,AB47,G
3,,,,,
4,Creation,18.888665480354728,0.0,AB22,J
4,,,,,
4,DeviceReceived,18.890379783065235,0.0,AB22,J
4,,,,,
4,NoteWorkshop,18.89616082502376,0.0,AB22,J
4,,,,,
5,Creation,18.888678349978264,1.0,AB49,E
5,,,,,
5,DeviceReceived,18.891835079631434,1.0,AB49,E
5,,,,,
5,StockEntry,18.892682513086314,1.0,AB49,E
5,,,,,
5,NoteWorkshop,18.89286105874833,1.0,AB49,E
5,,,,,
6,Creation,18.88871774064338,0.0,AB62,L
6,,,,,
6,DeviceReceived,18.892447436837617,0.0,AB62,L
6,,,,,
6,Transmission,18.895568420547836,0.0,AB62,L
6,,,,,
6,NoteHotline,18.895620993014642,0.0,AB62,L
6,,,,,
7,Creation,18.888722005263002,0.0,AB62,L
7,,,,,
7,DeviceReceived,18.890206721640755,0.0,AB62,L
7,,,,,
7,InDelivery,18.908190382441646,0.0,AB62,L
7,,,,,
8,Creation,18.88874153085157,0.0,AB29,E
8,,,,,
8,DeviceReceived,18.89186707977487,0.0,AB29,E
8,,,,,
8,InDelivery,18.89859315368298,0.0,AB29,E
8,,,,,
8,Completed,18.89890286493671,0.0,AB29,E
9,Creation,18.888560325254556,1.0,AB63,G
9,,,,,
9,Letter,18.89160408763109,1.0,AB63,G
9,,,,,
9,DeviceReceived,18.891846834777756,1.0,AB63,G
9,,,,,
9,Completed,18.891864108286928,1.0,AB63,G
10,Creation,18.805196900385543,0.0,AB52,L
10,,,,,
10,Letter,18.80899984242867,0.0,AB52,L
10,,,,,
10,InDelivery,18.81367657946909,0.0,AB52,L
10,,,,,
10,NoteHotline,18.814064613568814,0.0,AB52,L
10,,,,,
11,Creation,18.888563024728647,1.0,AB20,G
11,,,,,
11,Letter,18.89106443846415,1.0,AB20,G
11,,,,,
11,DeviceReceived,18.8913837285921,1.0,AB20,G
11,,,,,
11,Completed,18.89141529975619,1.0,AB20,G
12,Creation,18.88861348664196,0.0,AB62,E
12,,,,,
12,DeviceReceived,18.893488151435825,0.0,AB62,E
12,,,,,
12,Approved,18.89994927736838,0.0,AB62,E
12,,,,,
12,NoteWorkshop,18.899965284495433,0.0,AB62,E
12,,,,,
12,InDelivery,18.907128560871456,0.0,AB62,E
12,,,,,
13,Creation,18.888631298331482,1.0,AB49,E
13,,,,,
13,DeviceReceived,18.891342643990335,1.0,AB49,E
13,,,,,
13,NoteWorkshop,18.89179222180715,1.0,AB49,E
13,,,,,
14,Creation,18.88855205767836,1.0,AB53,G
14,,,,,
14,InDelivery,18.888902924860847,1.0,AB53,G
14,,,,,
14,NoteWorkshop,18.889212477991627,1.0,AB53,G
14,,,,,
15,Creation,18.88876850158758,0.0,AB50,L
15,,,,,
15,DeviceReceived,18.88971216325513,0.0,AB50,L
15,,,,,
15,InDelivery,18.909781003788225,0.0,AB50,L
15,,,,,
16,Creation,18.88857475576923,0.0,AB50,L
16,,,,,
16,NoteWorkshop,18.889700026387704,0.0,AB50,L
16,,,,,
16,InDelivery,18.908190382441646,0.0,AB50,L
16,,,,,
17,Creation,18.88857475576923,0.0,AB44,L
17,,,,,
17,DeviceReceived,18.889713358165558,0.0,AB44,L
17,,,,,
17,Completed,18.892823464959136,0.0,AB44,L
18,Creation,18.888695045797796,0.0,AB45,E
18,,,,,
18,DeviceReceived,18.88971190049977,0.0,AB45,E
18,,,,,
18,InDelivery,18.89591082895293,0.0,AB45,E
18,,,,,
19,Letter,18.8048896784776,0.0,AB36,
19,,,,,
19,DeviceReceived,18.80516194172419,0.0,AB36,
19,,,,,
19,InDelivery,18.808413709430877,0.0,AB36,
19,,,,,
19,Completed,18.80875486162908,0.0,AB36,
20,Creation,18.889109089339744,0.0,AB61,E
20,,,,,
20,Transmission,18.897245141712446,0.0,AB61,E
20,,,,,
20,StockEntry,18.907128560871456,0.0,AB61,E
20,,,,,
20,Completed,18.907331414119447,0.0,AB61,E
21,Creation,18.889118735727127,0.0,AB52,L
21,,,,,
21,DeviceReceived,18.899860481150725,0.0,AB52,L
21,,,,,
21,InDelivery,18.90286996389656,0.0,AB52,L
21,,,,,
21,NoteHotline,18.903057046275308,0.0,AB52,L
21,,,,,
22,Creation,18.88912781864537,0.0,AB62,E
22,,,,,
22,Letter,18.910840014158016,0.0,AB62,E
22,,,,,
22,Transmission,18.911579467260587,0.0,AB62,E
22,,,,,
22,StockEntry,18.92502796007849,0.0,AB62,E
22,,,,,
22,Completed,18.925325354553262,0.0,AB62,E
23,Creation,18.889137734018103,1.0,AB16,E
23,,,,,
23,Letter,18.89106443846415,1.0,AB16,E
23,,,,,
23,StockEntry,18.89160408763109,1.0,AB16,E
23,,,,,
23,Completed,18.89178971208593,1.0,AB16,E
24,Creation,18.889157044925856,0.0,AB36,E
24,,,,,
24,StockEntry,18.89591082895293,0.0,AB36,E
24,,,,,
24,NoteWorkshop,18.896116200328024,0.0,AB36,E
24,,,,,
25,Creation,18.889171160118465,0.0,AB62,L
25,,,,,
25,Letter,18.893221290001698,0.0,AB62,L
25,,,,,
25,Approved,18.89627714818507,0.0,AB62,L
25,,,,,
25,InDelivery,18.896447869797015,0.0,AB62,L
25,,,,,
26,Creation,18.889108895284274,0.0,AB29,L
26,,,,,
26,Letter,18.894835881250938,0.0,AB29,L
26,,,,,
26,Transmission,18.8966386363379,0.0,AB29,L
26,,,,,
26,NoteHotline,18.896723705910162,0.0,AB29,L
26,,,,,
27,Creation,18.889130266199167,1.0,AB34,L
27,,,,,
27,InDelivery,18.893221290001698,1.0,AB34,L
27,,,,,
28,Creation,18.889133396054632,0.0,AB25,E
28,,,,,
28,NoteHotline,18.89235395991221,0.0,AB25,E
28,,,,,
28,Completed,18.893559747843415,0.0,AB25,E
29,Creation,18.88917395809529,0.0,AB40,L
29,,,,,
29,NoteWorkshop,18.891873060179716,0.0,AB40,L
29,,,,,
