CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796956003547187,0.0,AB52,E
1,,,,,
1,,,,,
1,StockEntry,18.8054778800616,0.0,AB52,E
1,,,,,
1,,,,,
1,Completed,18.805712465077278,0.0,AB52,E
2,Creation,18.797007078261355,0.0,AB41,E
2,,,,,
2,,,,,
2,DeviceReceived,18.80049908057197,0.0,AB41,E
2,,,,,
2,,,,,
2,InDelivery,18.80606573586787,0.0,AB41,E
2,,,,,
2,,,,,
3,Creation,18.805190712076673,0.0,AB47,G
3,,,,,
3,,,,,
3,NoteWorkshop,18.809813183886742,0.0,AB47,G
3,,,,,
3,,,,,
4,Creation,18.888665480354728,0.0,AB22,J
4,,,,,
4,,,,,
4,InDelivery,18.89591082895293,0.0,AB22,J
4,,,,,
4,,,,,
5,Creation,18.888678349978264,1.0,AB49,E
5,,,,,
5,,,,,
5,NoteHotline,18.891835678941227,1.0,AB49,E
5,,,,,
5,,,,,
5,NoteWorkshop,18.89286105874833,1.0,AB49,E
5,,,,,
6,Creation,18.88871774064338,0.0,AB62,L
6,,,,,
6,,,,,
6,InDelivery,18.895373499540998,0.0,AB62,L
6,,,,,
6,,,,,
6,NoteHotline,18.895620993014642,0.0,AB62,L
6,,,,,
7,Creation,18.888722005263002,0.0,AB62,L
7,,,,,
7,,,,,
7,NoteWorkshop,18.891286729245266,0.0,AB62,L
7,,,,,
7,,,,,
8,Creation,18.88874153085157,0.0,AB29,E
8,,,,,
8,,,,,
8,StockEntry,18.89859315368298,0.0,AB29,E
8,,,,,
8,,,,,
8,Completed,18.89890286493671,0.0,AB29,E
9,Creation,18.888560325254556,1.0,AB63,G
9,,,,,
9,,,,,
9,InDelivery,18.89160408763109,1.0,AB63,G
9,,,,,
9,,,,,
9,Completed,18.891864108286928,1.0,AB63,G
10,Creation,18.805196900385543,0.0,AB52,L
10,,,,,
10,,,,,
10,Transmission,18.81342931859425,0.0,AB52,L
10,,,,,
10,,,,,
10,NoteHotline,18.814064613568814,0.0,AB52,L
10,,,,,
11,Creation,18.888563024728647,1.0,AB20,G
11,,,,,
11,,,,,
11,InDelivery,18.89106443846415,1.0,AB20,G
11,,,,,
11,,,,,
11,Completed,18.89141529975619,1.0,AB20,G
12,Creation,18.88861348664196,0.0,AB62,E
12,,,,,
12,,,,,
12,Transmission,18.899399386905685,0.0,AB62,E
12,,,,,
12,,,,,
12,NoteWorkshop,18.899965284495433,0.0,AB62,E
12,,,,,
12,,,,,
12,Completed,18.907357513164783,0.0,AB62,E
13,Creation,18.888631298331482,1.0,AB49,E
13,,,,,
13,,,,,
13,InDelivery,18.89160408763109,1.0,AB49,E
13,,,,,
13,,,,,
14,Creation,18.88855205767836,1.0,AB53,G
14,,,,,
14,,,,,
14,DeviceReceived,18.8892116079616,1.0,AB53,G
14,,,,,
14,,,,,
15,Creation,18.88876850158758,0.0,AB50,L
15,,,,,
15,,,,,
15,NoteWorkshop,18.892427347086215,0.0,AB50,L
15,,,,,
15,,,,,
16,Creation,18.88857475576923,0.0,AB50,L
16,,,,,
16,,,,,
16,DeviceReceived,18.88970103988433,0.0,AB50,L
16,,,,,
16,,,,,
17,Creation,18.88857475576923,0.0,AB44,L
17,,,,,
17,,,,,
17,InDelivery,18.892682513086314,0.0,AB44,L
17,,,,,
18,Creation,18.888695045797796,0.0,AB45,E
18,,,,,
18,,,,,
18,StockEntry,18.89591082895293,0.0,AB45,E
18,,,,,
18,,,,,
19,Letter,18.8048896784776,0.0,AB36,
19,,,,,
19,,,,,
19,NoteHotline,18.805161962148304,0.0,AB36,
19,,,,,
19,,,,,
19,Completed,18.80875486162908,0.0,AB36,
20,Creation,18.889109089339744,0.0,AB61,E
20,,,,,
20,,,,,
20,NoteHotline,18.897245551514903,0.0,AB61,E
20,,,,,
20,,,,,
20,Completed,18.907331414119447,0.0,AB61,E
21,Creation,18.889118735727127,0.0,AB52,L
21,,,,,
21,,,,,
21,Transmission,18.902668698437925,0.0,AB52,L
21,,,,,
21,,,,,
21,NoteHotline,18.903057046275308,0.0,AB52,L
21,,,,,
22,Creation,18.88912781864537,0.0,AB62,E
22,,,,,
22,,,,,
22,NoteWorkshop,18.911087383953546,0.0,AB62,E
22,,,,,
22,,,,,
22,StockEntry,18.92502796007849,0.0,AB62,E
22,,,,,
22,,,,,
23,Creation,18.889137734018103,1.0,AB16,E
23,,,,,
23,,,,,
23,DeviceReceived,18.891349170921117,1.0,AB16,E
23,,,,,
23,,,,,
23,Completed,18.89178971208593,1.0,AB16,E
24,Creation,18.889157044925856,0.0,AB36,E
24,,,,,
24,,,,,
24,InDelivery,18.89591082895293,0.0,AB36,E
24,,,,,
24,,,,,
25,Creation,18.889171160118465,0.0,AB62,L
25,,,,,
25,,,,,
25,Transmission,18.895566299679334,0.0,AB62,L
25,,,,,
25,,,,,
25,InDelivery,18.896447869797015,0.0,AB62,L
25,,,,,
26,Creation,18.889108895284274,0.0,AB29,L
26,,,,,
26,,,,,
26,InDelivery,18.896447869797015,0.0,AB29,L
26,,,,,
26,,,,,
26,NoteHotline,18.896723705910162,0.0,AB29,L
26,,,,,
27,Creation,18.889130266199167,1.0,AB34,L
27,,,,,
27,,,,,
27,Completed,18.893484343370506,1.0,AB34,L
28,Creation,18.889133396054632,0.0,AB25,E
28,,,,,
28,,,,,
28,InDelivery,18.893221290001698,0.0,AB25,E
28,,,,,
29,Creation,18.88917395809529,0.0,AB40,L
29,,,,,
29,,,,,
29,InDelivery,18.894835881250938,0.0,AB40,L
29,,,,,
30,Creation,18.889182552279404,0.0,AB52,L
30,,,,,
30,,,,,
30,Transmission,18.895686572561914,0.0,AB52,L
30,,,,,
30,,,,,
30,NoteHotline,18.89718919589148,0.0,AB52,L
30,,,,,
31,Creation,18.889227155722256,0.0,AB62,E
31,,,,,
31,,,,,
31,Transmission,18.898944464519715,0.0,AB62,E
31,,,,,
31,,,,,
31,NoteWorkshop,18.89930500232033,0.0,AB62,E
31,,,,,
31,,,,,
31,Completed,18.907320140793118,0.0,AB62,E
32,Creation,18.889231687310705,1.0,AB8,E
32,,,,,
32,,,,,
32,InDelivery,18.89859315368298,1.0,AB8,E
32,,,,,
32,,,,,
32,Completed,18.898802221625008,1.0,AB8,E
33,Creation,18.8892337089934,1.0,AB41,E
33,,,,,
33,,,,,
33,StockEntry,18.89160408763109,1.0,AB41,E
33,,,,,
33,,,,,
33,Completed,18.89183134017992,1.0,AB41,E
34,Creation,18.805129303459932,0.0,AB61,L
34,,,,,
34,,,,,
34,InDelivery,18.81309318205916,0.0,AB61,L
34,,,,,
34,,,,,
