CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796956003547187,0,AB52,E
1,Letter,18.79839652280154,0,AB52,E
1,DeviceReceived,18.798809981807246,0,AB52,E
1,StockEntry,18.8054778800616,0,AB52,E
1,InDelivery,18.8054778800616,0,AB52,E
1,NoteWorkshop,18.80566460935699,0,AB52,E
1,Completed,18.805712465077278,0,AB52,E
2,Creation,18.797007078261355,0,AB41,E
2,NoteHotline,18.797007442041792,0,AB41,E
2,Letter,18.80017156881444,0,AB41,E
2,DeviceReceived,18.80049908057197,0,AB41,E
2,StatusRequest,18.80582196052975,0,AB41,E
2,StockEntry,18.80606573586787,0,AB41,E
2,InDelivery,18.80606573586787,0,AB41,E
2,NoteWorkshop,18.806316075195802,0,AB41,E
2,Completed,18.80631645600607,0,AB41,E
3,Creation,18.805190712076673,0,AB47,G
3,Letter,18.806653246302705,0,AB47,G
3,DeviceReceived,18.806963542327622,0,AB47,G
3,NoteWorkshop,18.809813183886742,0,AB47,G
3,InDelivery,18.81017107877432,0,AB47,G
3,Completed,18.810459718764925,0,AB47,G
4,Creation,18.888665480354728,0,AB22,J
4,NoteHotline,18.888666563789275,0,AB22,J
4,DeviceReceived,18.890379783065235,0,AB22,J
4,InDelivery,18.89591082895293,0,AB22,J
4,NoteWorkshop,18.89616082502376,0,AB22,J
4,Completed,18.896166400639775,0,AB22,J
5,Creation,18.888678349978264,1,AB49,E
5,Letter,18.89160408763109,1,AB49,E
5,DeviceReceived,18.891835079631434,1,AB49,E
5,NoteHotline,18.891835678941227,1,AB49,E
5,StockEntry,18.892682513086314,1,AB49,E
5,InDelivery,18.892682513086314,1,AB49,E
5,NoteWorkshop,18.89286105874833,1,AB49,E
5,Completed,18.892861376805218,1,AB49,E
6,Creation,18.88871774064338,0,AB62,L
6,Letter,18.89214344573388,0,AB62,L
6,DeviceReceived,18.892447436837617,0,AB62,L
6,InDelivery,18.895373499540998,0,AB62,L
6,Transmission,18.895568420547836,0,AB62,L
6,Approved,18.895620893507083,0,AB62,L
6,NoteHotline,18.895620993014642,0,AB62,L
6,Completed,18.895633953789627,0,AB62,L
7,Creation,18.888722005263002,0,AB62,L
7,NoteHotline,18.888727785327823,0,AB62,L
7,DeviceReceived,18.890206721640755,0,AB62,L
7,NoteWorkshop,18.891286729245266,0,AB62,L
7,InDelivery,18.908190382441646,0,AB62,L
7,Completed,18.908418778638357,0,AB62,L
8,Creation,18.88874153085157,0,AB29,E
8,NoteHotline,18.888746859930908,0,AB29,E
8,DeviceReceived,18.89186707977487,0,AB29,E
8,StockEntry,18.89859315368298,0,AB29,E
8,InDelivery,18.89859315368298,0,AB29,E
8,NoteWorkshop,18.898885495622388,0,AB29,E
8,Completed,18.89890286493671,0,AB29,E
9,Creation,18.888560325254556,1,AB63,G
9,NoteHotline,18.88858115673815,1,AB63,G
9,Letter,18.89160408763109,1,AB63,G
9,InDelivery,18.89160408763109,1,AB63,G
9,DeviceReceived,18.891846834777756,1,AB63,G
9,NoteWorkshop,18.891862241738515,1,AB63,G
9,Completed,18.891864108286928,1,AB63,G
10,Creation,18.805196900385543,0,AB52,L
10,DeviceReceived,18.806317673237913,0,AB52,L
10,Letter,18.80899984242867,0,AB52,L
10,Transmission,18.81342931859425,0,AB52,L
10,InDelivery,18.81367657946909,0,AB52,L
10,Approved,18.814064498857963,0,AB52,L
10,NoteHotline,18.814064613568814,0,AB52,L
10,Completed,18.814078911835992,0,AB52,L
11,Creation,18.888563024728647,1,AB20,G
11,NoteHotline,18.888563851480274,1,AB20,G
11,Letter,18.89106443846415,1,AB20,G
11,InDelivery,18.89106443846415,1,AB20,G
11,DeviceReceived,18.8913837285921,1,AB20,G
11,NoteWorkshop,18.891384696664367,1,AB20,G
11,Completed,18.89141529975619,1,AB20,G
12,Creation,18.88861348664196,0,AB62,E
12,Letter,18.893221290001698,0,AB62,E
12,DeviceReceived,18.893488151435825,0,AB62,E
12,Transmission,18.899399386905685,0,AB62,E
