CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,Activity A,1970-01-01 09:00:00,0.0
1,Activity D,,
1,Activity C,1970-01-01 10:00:00,3600.0
1,Activity B,1970-01-01 11:00:00,7200.0
1,Activity E,1970-01-01 12:00:00,10800.0
1,,1970-01-01 13:00:00,14400.0
1,Activity F,,
1,Activity J,,
2,,,
2,,,
2,Activity D,1970-01-01 10:00:00,3600.0
2,Activity B,1970-01-01 11:00:00,7200.0
2,,1970-01-01 12:00:00,10800.0
2,Activity I,,
2,,,
2,Activity J,,
3,,1970-01-01 09:00:00,0.0
3,Activity D,1970-01-01 10:00:00,3600.0
3,,1970-01-01 10:00:00,3600.0
3,Activity B,,
3,,1970-01-01 12:00:00,10800.0
3,Activity I,1970-01-01 13:00:00,14400.0
3,Activity F,1970-01-01 14:00:00,18000.0
3,Activity J,1970-01-01 15:00:00,21600.0
4,Activity A,1970-01-01 09:00:00,0.0
4,Activity D,1970-01-01 10:00:00,3600.0
4,Activity C,1970-01-01 10:00:00,3600.0
4,,1970-01-01 11:00:00,7200.0
4,Activity E,1970-01-01 12:00:00,10800.0
4,,,
4,,1970-01-01 14:00:00,18000.0
4,Activity J,1970-01-01 15:00:00,21600.0
5,Activity A,,
5,,1970-01-01 10:00:00,3600.0
5,,1970-01-01 10:00:00,3600.0
5,,1970-01-01 11:00:00,7200.0
5,,1970-01-01 12:00:00,10800.0
5,Activity H,1970-01-01 13:00:00,14400.0
5,,,
5,Activity J,1970-01-01 15:00:00,21600.0
6,Activity A,1970-01-01 09:00:00,0.0
6,,,
6,,1970-01-01 10:00:00,3600.0
6,Activity B,,
6,Activity E,,
6,Activity H,,
6,Activity F,1970-01-01 14:00:00,18000.0
6,Activity J,1970-01-01 15:00:00,21600.0
7,,1970-01-01 09:00:00,0.0
7,Activity C,1970-01-01 10:00:00,3600.0
7,,1970-01-01 10:00:00,3600.0
7,,,
7,Activity E,,
7,Activity H,,
7,,1970-01-01 14:00:00,18000.0
7,Activity J,,
8,Activity A,1970-01-01 09:00:00,0.0
8,Activity C,1970-01-01 10:00:00,3600.0
8,Activity D,1970-01-01 10:00:00,3600.0
8,,1970-01-01 11:00:00,7200.0
8,,,
8,Activity G,1970-01-01 13:00:00,14400.0
8,Activity F,1970-01-01 14:00:00,18000.0
8,,1970-01-01 15:00:00,21600.0
9,Activity A,1970-01-01 09:00:00,0.0
9,,1970-01-01 10:00:00,3600.0
9,Activity C,,
9,Activity B,1970-01-01 11:00:00,7200.0
9,,,
9,Activity G,1970-01-01 13:00:00,14400.0
9,,1970-01-01 14:00:00,18000.0
9,,1970-01-01 15:00:00,21600.0
10,Activity A,1970-01-01 09:00:00,0.0
10,Activity D,,
10,Activity C,1970-01-01 10:00:00,3600.0
10,,1970-01-01 11:00:00,7200.0
10,,1970-01-01 12:00:00,10800.0
10,Activity H,1970-01-01 13:00:00,14400.0
10,Activity F,1970-01-01 14:00:00,18000.0
10,Activity J,1970-01-01 15:00:00,21600.0
11,,1970-01-01 09:00:00,0.0
11,,1970-01-01 10:00:00,3600.0
11,Activity C,,
11,Activity B,1970-01-01 11:00:00,7200.0
11,Activity E,1970-01-01 12:00:00,10800.0
11,Activity G,1970-01-01 13:00:00,14400.0
11,Activity F,1970-01-01 14:00:00,18000.0
11,,1970-01-01 15:00:00,21600.0
12,Activity A,,
12,Activity C,1970-01-01 10:00:00,3600.0
12,Activity D,1970-01-01 10:00:00,3600.0
12,,,
12,Activity E,1970-01-01 12:00:00,10800.0
12,Activity H,,
12,Activity F,1970-01-01 14:00:00,18000.0
12,,1970-01-01 15:00:00,21600.0
13,,1970-01-01 09:00:00,0.0
13,Activity C,1970-01-01 10:00:00,3600.0
13,Activity D,,
13,Activity B,1970-01-01 11:00:00,7200.0
13,Activity E,,
13,Activity G,,
13,,,
13,Activity J,1970-01-01 15:00:00,21600.0
14,,1970-01-01 09:00:00,0.0
14,Activity C,1970-01-01 10:00:00,3600.0
14,Activity D,,
14,Activity B,1970-01-01 11:00:00,7200.0
14,Activity E,1970-01-01 12:00:00,10800.0
14,,,
14,Activity F,1970-01-01 14:00:00,18000.0
14,Activity J,1970-01-01 15:00:00,21600.0
15,Activity A,,
15,,,
15,Activity C,1970-01-01 10:00:00,3600.0
15,,1970-01-01 11:00:00,7200.0
15,Activity E,1970-01-01 12:00:00,10800.0
15,Activity G,1970-01-01 13:00:00,14400.0
15,,1970-01-01 14:00:00,18000.0
15,,,
16,,1970-01-01 09:00:00,0.0
16,Activity D,1970-01-01 10:00:00,3600.0
16,Activity C,1970-01-01 10:00:00,3600.0
16,Activity B,1970-01-01 11:00:00,7200.0
16,Activity E,1970-01-01 12:00:00,10800.0
16,,,
16,Activity F,,
16,,1970-01-01 15:00:00,21600.0
17,Activity A,1970-01-01 09:00:00,0.0
17,,1970-01-01 10:00:00,3600.0
17,Activity D,,
17,Activity B,1970-01-01 11:00:00,7200.0
17,Activity E,,
17,Activity G,1970-01-01 13:00:00,14400.0
17,Activity F,,
17,Activity J,1970-01-01 15:00:00,21600.0
18,Activity A,1970-01-01 09:00:00,0.0
18,Activity C,1970-01-01 10:00:00,3600.0
18,Activity D,1970-01-01 10:00:00,3600.0
18,Activity B,1970-01-01 11:00:00,7200.0
18,Activity E,1970-01-01 12:00:00,10800.0
