CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,,,
1,Activity D,1970-01-01 10:00:00,3600.0
1,,,
1,Activity B,1970-01-01 11:00:00,7200.0
1,,,
1,Activity H,1970-01-01 13:00:00,14400.0
1,,,
1,Activity J,1970-01-01 15:00:00,21600.0
2,,,
2,Activity C,1970-01-01 10:00:00,3600.0
2,,,
2,Activity B,1970-01-01 11:00:00,7200.0
2,,,
2,Activity I,1970-01-01 13:00:00,14400.0
2,,,
2,Activity J,1970-01-01 15:00:00,21600.0
3,,,
3,Activity D,1970-01-01 10:00:00,3600.0
3,,,
3,Activity B,1970-01-01 11:00:00,7200.0
3,,,
3,Activity I,1970-01-01 13:00:00,14400.0
3,,,
3,Activity J,1970-01-01 15:00:00,21600.0
4,,,
4,Activity D,1970-01-01 10:00:00,3600.0
4,,,
4,Activity B,1970-01-01 11:00:00,7200.0
4,,,
4,Activity G,1970-01-01 13:00:00,14400.0
4,,,
4,Activity J,1970-01-01 15:00:00,21600.0
5,,,
5,Activity D,1970-01-01 10:00:00,3600.0
5,,,
5,Activity B,1970-01-01 11:00:00,7200.0
5,,,
5,Activity H,1970-01-01 13:00:00,14400.0
5,,,
5,Activity J,1970-01-01 15:00:00,21600.0
6,,,
6,Activity C,1970-01-01 10:00:00,3600.0
6,,,
6,Activity B,1970-01-01 11:00:00,7200.0
6,,,
6,Activity H,1970-01-01 13:00:00,14400.0
6,,,
6,Activity J,1970-01-01 15:00:00,21600.0
7,,,
7,Activity C,1970-01-01 10:00:00,3600.0
7,,,
7,Activity B,1970-01-01 11:00:00,7200.0
7,,,
7,Activity H,1970-01-01 13:00:00,14400.0
7,,,
7,Activity J,1970-01-01 15:00:00,21600.0
8,,,
8,Activity C,1970-01-01 10:00:00,3600.0
8,,,
8,Activity B,1970-01-01 11:00:00,7200.0
8,,,
8,Activity G,1970-01-01 13:00:00,14400.0
8,,,
8,Activity J,1970-01-01 15:00:00,21600.0
9,,,
9,Activity D,1970-01-01 10:00:00,3600.0
9,,,
9,Activity B,1970-01-01 11:00:00,7200.0
9,,,
9,Activity G,1970-01-01 13:00:00,14400.0
9,,,
9,Activity J,1970-01-01 15:00:00,21600.0
10,,,
10,Activity D,1970-01-01 10:00:00,3600.0
10,,,
10,Activity B,1970-01-01 11:00:00,7200.0
10,,,
10,Activity H,1970-01-01 13:00:00,14400.0
10,,,
10,Activity J,1970-01-01 15:00:00,21600.0
11,,,
11,Activity D,1970-01-01 10:00:00,3600.0
11,,,
11,Activity B,1970-01-01 11:00:00,7200.0
11,,,
11,Activity G,1970-01-01 13:00:00,14400.0
11,,,
11,Activity J,1970-01-01 15:00:00,21600.0
12,,,
12,Activity C,1970-01-01 10:00:00,3600.0
12,,,
12,Activity B,1970-01-01 11:00:00,7200.0
12,,,
12,Activity H,1970-01-01 13:00:00,14400.0
12,,,
12,Activity J,1970-01-01 15:00:00,21600.0
13,,,
13,Activity C,1970-01-01 10:00:00,3600.0
13,,,
13,Activity B,1970-01-01 11:00:00,7200.0
13,,,
13,Activity G,1970-01-01 13:00:00,14400.0
13,,,
13,Activity J,1970-01-01 15:00:00,21600.0
14,,,
14,Activity C,1970-01-01 10:00:00,3600.0
14,,,
14,Activity B,1970-01-01 11:00:00,7200.0
14,,,
14,Activity H,1970-01-01 13:00:00,14400.0
14,,,
14,Activity J,1970-01-01 15:00:00,21600.0
15,,,
15,Activity D,1970-01-01 10:00:00,3600.0
15,,,
15,Activity B,1970-01-01 11:00:00,7200.0
15,,,
15,Activity G,1970-01-01 13:00:00,14400.0
15,,,
15,Activity J,1970-01-01 15:00:00,21600.0
16,,,
16,Activity D,1970-01-01 10:00:00,3600.0
16,,,
16,Activity B,1970-01-01 11:00:00,7200.0
16,,,
16,Activity I,1970-01-01 13:00:00,14400.0
16,,,
16,Activity J,1970-01-01 15:00:00,21600.0
17,,,
17,Activity C,1970-01-01 10:00:00,3600.0
17,,,
17,Activity B,1970-01-01 11:00:00,7200.0
17,,,
17,Activity G,1970-01-01 13:00:00,14400.0
17,,,
17,Activity J,1970-01-01 15:00:00,21600.0
18,,,
18,Activity C,1970-01-01 10:00:00,3600.0
18,,,
