CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,Activity A,1970-01-01 09:00:00,0.0
1,Activity D,1970-01-01 10:00:00,3600.0
1,Activity C,1970-01-01 10:00:00,3600.0
1,Activity B,1970-01-01 11:00:00,7200.0
1,,,
1,Activity H,1970-01-01 13:00:00,14400.0
1,,,
1,Activity J,1970-01-01 15:00:00,21600.0
2,Activity A,1970-01-01 09:00:00,0.0
2,Activity C,1970-01-01 10:00:00,3600.0
2,,,
2,Activity B,1970-01-01 11:00:00,7200.0
2,,,
2,Activity I,1970-01-01 13:00:00,14400.0
2,,,
2,Activity J,1970-01-01 15:00:00,21600.0
3,Activity A,1970-01-01 09:00:00,0.0
3,Activity D,1970-01-01 10:00:00,3600.0
3,,,
3,,,
3,Activity E,1970-01-01 12:00:00,10800.0
3,Activity I,1970-01-01 13:00:00,14400.0
3,,,
3,,,
4,,,
4,Activity D,1970-01-01 10:00:00,3600.0
4,,,
4,Activity B,1970-01-01 11:00:00,7200.0
4,,,
4,,,
4,Activity F,1970-01-01 14:00:00,18000.0
4,,,
5,,,
5,Activity D,1970-01-01 10:00:00,3600.0
5,Activity C,1970-01-01 10:00:00,3600.0
5,Activity B,1970-01-01 11:00:00,7200.0
5,,,
5,,,
5,Activity F,1970-01-01 14:00:00,18000.0
5,,,
6,,,
6,Activity C,1970-01-01 10:00:00,3600.0
6,Activity D,1970-01-01 10:00:00,3600.0
6,,,
6,Activity E,1970-01-01 12:00:00,10800.0
6,,,
6,Activity F,1970-01-01 14:00:00,18000.0
6,,,
7,Activity A,1970-01-01 09:00:00,0.0
7,Activity C,1970-01-01 10:00:00,3600.0
7,Activity D,1970-01-01 10:00:00,3600.0
7,,,
7,,,
7,Activity H,1970-01-01 13:00:00,14400.0
7,Activity F,1970-01-01 14:00:00,18000.0
7,Activity J,1970-01-01 15:00:00,21600.0
8,,,
8,,,
8,,,
8,,,
8,Activity E,1970-01-01 12:00:00,10800.0
8,,,
8,,,
8,,,
9,,,
9,,,
9,,,
9,,,
9,Activity E,1970-01-01 12:00:00,10800.0
9,,,
9,Activity F,1970-01-01 14:00:00,18000.0
9,Activity J,1970-01-01 15:00:00,21600.0
10,,,
10,,,
10,Activity C,1970-01-01 10:00:00,3600.0
10,,,
10,,,
10,,,
10,,,
10,Activity J,1970-01-01 15:00:00,21600.0
11,Activity A,1970-01-01 09:00:00,0.0
11,Activity D,1970-01-01 10:00:00,3600.0
11,,,
11,,,
11,Activity E,1970-01-01 12:00:00,10800.0
11,Activity G,1970-01-01 13:00:00,14400.0
11,Activity F,1970-01-01 14:00:00,18000.0
11,,,
12,Activity A,1970-01-01 09:00:00,0.0
12,,,
12,Activity D,1970-01-01 10:00:00,3600.0
12,Activity B,1970-01-01 11:00:00,7200.0
12,Activity E,1970-01-01 12:00:00,10800.0
12,Activity H,1970-01-01 13:00:00,14400.0
12,Activity F,1970-01-01 14:00:00,18000.0
12,Activity J,1970-01-01 15:00:00,21600.0
13,Activity A,1970-01-01 09:00:00,0.0
13,,,
13,Activity D,1970-01-01 10:00:00,3600.0
13,Activity B,1970-01-01 11:00:00,7200.0
13,Activity E,1970-01-01 12:00:00,10800.0
13,Activity G,1970-01-01 13:00:00,14400.0
13,Activity F,1970-01-01 14:00:00,18000.0
13,Activity J,1970-01-01 15:00:00,21600.0
14,,,
14,,,
14,,,
14,Activity B,1970-01-01 11:00:00,7200.0
14,,,
14,Activity H,1970-01-01 13:00:00,14400.0
14,Activity F,1970-01-01 14:00:00,18000.0
14,Activity J,1970-01-01 15:00:00,21600.0
15,,,
15,Activity D,1970-01-01 10:00:00,3600.0
15,,,
15,Activity B,1970-01-01 11:00:00,7200.0
15,,,
15,,,
15,,,
15,,,
16,Activity A,1970-01-01 09:00:00,0.0
16,Activity D,1970-01-01 10:00:00,3600.0
16,,,
16,,,
16,,,
16,Activity I,1970-01-01 13:00:00,14400.0
16,Activity F,1970-01-01 14:00:00,18000.0
16,Activity J,1970-01-01 15:00:00,21600.0
17,,,
17,Activity C,1970-01-01 10:00:00,3600.0
17,,,
17,Activity B,1970-01-01 11:00:00,7200.0
17,,,
17,Activity G,1970-01-01 13:00:00,14400.0
17,,,
17,,,
18,,,
18,,,
18,,,
18,Activity B,1970-01-01 11:00:00,7200.0
18,,,
18,,,
18,,,
18,Activity J,1970-01-01 15:00:00,21600.0
19,Activity A,1970-01-01 09:00:00,0.0
19,,,
19,,,
19,,,
19,Activity E,1970-01-01 12:00:00,10800.0
19,,,
19,,,
19,Activity J,1970-01-01 15:00:00,21600.0
20,,,
20,,,
20,,,
20,Activity B,1970-01-01 11:00:00,7200.0
20,,,
20,Activity G,1970-01-01 13:00:00,14400.0
20,Activity F,1970-01-01 14:00:00,18000.0
20,,,
21,,,
21,,,
21,,,
21,Activity B,1970-01-01 11:00:00,7200.0
21,Activity E,1970-01-01 12:00:00,10800.0
21,Activity G,1970-01-01 13:00:00,14400.0
21,Activity F,1970-01-01 14:00:00,18000.0
21,Activity J,1970-01-01 15:00:00,21600.0
22,,,
22,Activity C,1970-01-01 10:00:00,3600.0
22,,,
22,Activity B,1970-01-01 11:00:00,7200.0
22,,,
22,,,
22,,,
22,Activity J,1970-01-01 15:00:00,21600.0
23,Activity A,1970-01-01 09:00:00,0.0
23,,,
23,,,
23,,,
23,Activity E,1970-01-01 12:00:00,10800.0
23,Activity H,1970-01-01 13:00:00,14400.0
23,Activity F,1970-01-01 14:00:00,18000.0
23,Activity J,1970-01-01 15:00:00,21600.0
24,Activity A,1970-01-01 09:00:00,0.0
24,Activity D,1970-01-01 10:00:00,3600.0
24,Activity C,1970-01-01 10:00:00,3600.0
24,,,
24,Activity E,1970-01-01 12:00:00,10800.0
24,Activity H,1970-01-01 13:00:00,14400.0
24,,,
24,Activity J,1970-01-01 15:00:00,21600.0
25,,,
25,Activity D,1970-01-01 10:00:00,3600.0
25,Activity C,1970-01-01 10:00:00,3600.0
25,Activity B,1970-01-01 11:00:00,7200.0
25,,,
25,,,
25,,,
25,,,
26,,,
26,Activity D,1970-01-01 10:00:00,3600.0
26,Activity C,1970-01-01 10:00:00,3600.0
26,Activity B,1970-01-01 11:00:00,7200.0
26,,,
26,Activity H,1970-01-01 13:00:00,14400.0
26,,,
26,Activity J,1970-01-01 15:00:00,21600.0
27,Activity A,1970-01-01 09:00:00,0.0
27,Activity D,1970-01-01 10:00:00,3600.0
27,Activity C,1970-01-01 10:00:00,3600.0
27,Activity B,1970-01-01 11:00:00,7200.0
27,Activity E,1970-01-01 12:00:00,10800.0
27,,,
27,,,
27,,,
28,Activity A,1970-01-01 09:00:00,0.0
28,Activity C,1970-01-01 10:00:00,3600.0
28,Activity D,1970-01-01 10:00:00,3600.0
28,,,
28,,,
28,Activity G,1970-01-01 13:00:00,14400.0
28,,,
28,,,
29,Activity A,1970-01-01 09:00:00,0.0
29,,,
29,Activity C,1970-01-01 10:00:00,3600.0
29,,,
29,Activity E,1970-01-01 12:00:00,10800.0
29,,,
29,Activity F,1970-01-01 14:00:00,18000.0
29,,,
30,,,
30,Activity C,1970-01-01 10:00:00,3600.0
30,Activity D,1970-01-01 10:00:00,3600.0
30,Activity B,1970-01-01 11:00:00,7200.0
30,Activity E,1970-01-01 12:00:00,10800.0
30,,,
30,,,
30,,,
31,,,
31,Activity C,1970-01-01 10:00:00,3600.0
31,,,
31,Activity B,1970-01-01 11:00:00,7200.0
31,,,
31,Activity H,1970-01-01 13:00:00,14400.0
31,Activity F,1970-01-01 14:00:00,18000.0
31,Activity J,1970-01-01 15:00:00,21600.0
32,Activity A,1970-01-01 09:00:00,0.0
32,,,
32,Activity C,1970-01-01 10:00:00,3600.0
32,,,
32,,,
32,,,
32,Activity F,1970-01-01 14:00:00,18000.0
32,Activity J,1970-01-01 15:00:00,21600.0
33,Activity A,1970-01-01 09:00:00,0.0
33,Activity C,1970-01-01 10:00:00,3600.0
33,Activity D,1970-01-01 10:00:00,3600.0
33,Activity B,1970-01-01 11:00:00,7200.0
33,,,
33,Activity H,1970-01-01 13:00:00,14400.0
33,,,
33,Activity J,1970-01-01 15:00:00,21600.0
34,,,
34,Activity C,1970-01-01 10:00:00,3600.0
34,,,
34,,,
34,,,
34,Activity G,1970-01-01 13:00:00,14400.0
34,,,
34,,,
35,,,
35,Activity C,1970-01-01 10:00:00,3600.0
35,Activity D,1970-01-01 10:00:00,3600.0
