CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,Activity A,1970-01-01 09:00:00,0.0
1,,,
1,,,
1,Activity B,1970-01-01 11:00:00,7200.0
1,,,
1,,,
1,Activity F,1970-01-01 14:00:00,18000.0
1,,,
2,Activity A,1970-01-01 09:00:00,0.0
2,,,
2,,,
2,Activity B,1970-01-01 11:00:00,7200.0
2,,,
2,,,
2,Activity F,1970-01-01 14:00:00,18000.0
2,,,
3,Activity A,1970-01-01 09:00:00,0.0
3,,,
3,,,
3,Activity B,1970-01-01 11:00:00,7200.0
3,,,
3,,,
3,Activity F,1970-01-01 14:00:00,18000.0
3,,,
4,Activity A,1970-01-01 09:00:00,0.0
4,,,
4,,,
4,Activity B,1970-01-01 11:00:00,7200.0
4,,,
4,,,
4,Activity F,1970-01-01 14:00:00,18000.0
4,,,
5,Activity A,1970-01-01 09:00:00,0.0
5,,,
5,,,
5,Activity B,1970-01-01 11:00:00,7200.0
5,,,
5,,,
5,Activity F,1970-01-01 14:00:00,18000.0
5,,,
6,Activity A,1970-01-01 09:00:00,0.0
6,,,
6,,,
6,Activity B,1970-01-01 11:00:00,7200.0
6,,,
6,,,
6,Activity F,1970-01-01 14:00:00,18000.0
6,,,
7,Activity A,1970-01-01 09:00:00,0.0
7,,,
7,,,
7,Activity B,1970-01-01 11:00:00,7200.0
7,,,
7,,,
7,Activity F,1970-01-01 14:00:00,18000.0
7,,,
8,Activity A,1970-01-01 09:00:00,0.0
8,,,
8,,,
8,Activity B,1970-01-01 11:00:00,7200.0
8,,,
8,,,
8,Activity F,1970-01-01 14:00:00,18000.0
8,,,
9,Activity A,1970-01-01 09:00:00,0.0
9,,,
9,,,
9,Activity B,1970-01-01 11:00:00,7200.0
9,,,
9,,,
9,Activity F,1970-01-01 14:00:00,18000.0
9,,,
10,Activity A,1970-01-01 09:00:00,0.0
10,,,
10,,,
10,Activity B,1970-01-01 11:00:00,7200.0
10,,,
10,,,
10,Activity F,1970-01-01 14:00:00,18000.0
10,,,
11,Activity A,1970-01-01 09:00:00,0.0
11,,,
11,,,
11,Activity B,1970-01-01 11:00:00,7200.0
11,,,
11,,,
11,Activity F,1970-01-01 14:00:00,18000.0
11,,,
12,Activity A,1970-01-01 09:00:00,0.0
12,,,
12,,,
12,Activity B,1970-01-01 11:00:00,7200.0
12,,,
12,,,
12,Activity F,1970-01-01 14:00:00,18000.0
12,,,
13,Activity A,1970-01-01 09:00:00,0.0
13,,,
13,,,
13,Activity B,1970-01-01 11:00:00,7200.0
13,,,
13,,,
13,Activity F,1970-01-01 14:00:00,18000.0
13,,,
14,Activity A,1970-01-01 09:00:00,0.0
14,,,
14,,,
14,Activity B,1970-01-01 11:00:00,7200.0
14,,,
14,,,
14,Activity F,1970-01-01 14:00:00,18000.0
14,,,
15,Activity A,1970-01-01 09:00:00,0.0
15,,,
15,,,
15,Activity B,1970-01-01 11:00:00,7200.0
15,,,
15,,,
15,Activity F,1970-01-01 14:00:00,18000.0
15,,,
16,Activity A,1970-01-01 09:00:00,0.0
16,,,
16,,,
16,Activity B,1970-01-01 11:00:00,7200.0
16,,,
16,,,
16,Activity F,1970-01-01 14:00:00,18000.0
16,,,
17,Activity A,1970-01-01 09:00:00,0.0
17,,,
17,,,
17,Activity B,1970-01-01 11:00:00,7200.0
17,,,
17,,,
17,Activity F,1970-01-01 14:00:00,18000.0
17,,,
18,Activity A,1970-01-01 09:00:00,0.0
18,,,
18,,,
18,Activity B,1970-01-01 11:00:00,7200.0
18,,,
18,,,
18,Activity F,1970-01-01 14:00:00,18000.0
18,,,
19,Activity A,1970-01-01 09:00:00,0.0
19,,,
19,,,
19,Activity B,1970-01-01 11:00:00,7200.0
19,,,
19,,,
19,Activity F,1970-01-01 14:00:00,18000.0
19,,,
20,Activity A,1970-01-01 09:00:00,0.0
20,,,
20,,,
20,Activity B,1970-01-01 11:00:00,7200.0
20,,,
20,,,
20,Activity F,1970-01-01 14:00:00,18000.0
20,,,
21,Activity A,1970-01-01 09:00:00,0.0
21,,,
21,,,
21,Activity B,1970-01-01 11:00:00,7200.0
21,,,
21,,,
21,Activity F,1970-01-01 14:00:00,18000.0
21,,,
22,Activity A,1970-01-01 09:00:00,0.0
22,,,
22,,,
22,Activity B,1970-01-01 11:00:00,7200.0
22,,,
22,,,
22,Activity F,1970-01-01 14:00:00,18000.0
22,,,
23,Activity A,1970-01-01 09:00:00,0.0
23,,,
23,,,
23,Activity B,1970-01-01 11:00:00,7200.0
23,,,
23,,,
23,Activity F,1970-01-01 14:00:00,18000.0
23,,,
24,Activity A,1970-01-01 09:00:00,0.0
24,,,
24,,,
24,Activity B,1970-01-01 11:00:00,7200.0
24,,,
24,,,
24,Activity F,1970-01-01 14:00:00,18000.0
24,,,
25,Activity A,1970-01-01 09:00:00,0.0
25,,,
25,,,
25,Activity B,1970-01-01 11:00:00,7200.0
25,,,
25,,,
25,Activity F,1970-01-01 14:00:00,18000.0
25,,,
26,Activity A,1970-01-01 09:00:00,0.0
26,,,
26,,,
26,Activity B,1970-01-01 11:00:00,7200.0
26,,,
26,,,
26,Activity F,1970-01-01 14:00:00,18000.0
26,,,
27,Activity A,1970-01-01 09:00:00,0.0
27,,,
27,,,
27,Activity B,1970-01-01 11:00:00,7200.0
27,,,
27,,,
27,Activity F,1970-01-01 14:00:00,18000.0
27,,,
28,Activity A,1970-01-01 09:00:00,0.0
28,,,
28,,,
28,Activity B,1970-01-01 11:00:00,7200.0
28,,,
28,,,
28,Activity F,1970-01-01 14:00:00,18000.0
28,,,
29,Activity A,1970-01-01 09:00:00,0.0
29,,,
29,,,
29,Activity B,1970-01-01 11:00:00,7200.0
29,,,
29,,,
29,Activity F,1970-01-01 14:00:00,18000.0
29,,,
30,Activity A,1970-01-01 09:00:00,0.0
30,,,
30,,,
30,Activity B,1970-01-01 11:00:00,7200.0
30,,,
30,,,
30,Activity F,1970-01-01 14:00:00,18000.0
30,,,
31,Activity A,1970-01-01 09:00:00,0.0
31,,,
31,,,
31,Activity B,1970-01-01 11:00:00,7200.0
31,,,
31,,,
31,Activity F,1970-01-01 14:00:00,18000.0
31,,,
32,Activity A,1970-01-01 09:00:00,0.0
32,,,
32,,,
32,Activity B,1970-01-01 11:00:00,7200.0
32,,,
32,,,
32,Activity F,1970-01-01 14:00:00,18000.0
32,,,
33,Activity A,1970-01-01 09:00:00,0.0
33,,,
33,,,
33,Activity B,1970-01-01 11:00:00,7200.0
33,,,
33,,,
33,Activity F,1970-01-01 14:00:00,18000.0
33,,,
34,Activity A,1970-01-01 09:00:00,0.0
34,,,
34,,,
34,Activity B,1970-01-01 11:00:00,7200.0
34,,,
34,,,
34,Activity F,1970-01-01 14:00:00,18000.0
34,,,
35,Activity A,1970-01-01 09:00:00,0.0
35,,,
