CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,,,,
1,Activity D,1970-01-01 10:00:00,3600.0,0.0
1,,,,
1,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
1,,,,
1,Activity H,1970-01-01 13:00:00,14400.0,0.5999966666851851
1,,,,
1,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
2,,,,
2,Activity C,1970-01-01 10:00:00,3600.0,0.0
2,,,,
2,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
2,,,,
2,Activity I,1970-01-01 13:00:00,14400.0,0.5999966666851851
2,,,,
2,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
3,,,,
3,Activity D,1970-01-01 10:00:00,3600.0,0.0
3,,,,
3,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
3,,,,
3,Activity I,1970-01-01 13:00:00,14400.0,0.5999966666851851
3,,,,
3,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
4,,,,
4,Activity D,1970-01-01 10:00:00,3600.0,0.0
4,,,,
4,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
4,,,,
4,Activity G,1970-01-01 13:00:00,14400.0,0.5999966666851851
4,,,,
4,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
5,,,,
5,Activity D,1970-01-01 10:00:00,3600.0,0.0
5,,,,
5,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
5,,,,
5,Activity H,1970-01-01 13:00:00,14400.0,0.5999966666851851
5,,,,
5,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
6,,,,
6,Activity C,1970-01-01 10:00:00,3600.0,0.0
6,,,,
6,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
6,,,,
6,Activity H,1970-01-01 13:00:00,14400.0,0.5999966666851851
6,,,,
6,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
7,,,,
7,Activity C,1970-01-01 10:00:00,3600.0,0.0
7,,,,
7,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
7,,,,
7,Activity H,1970-01-01 13:00:00,14400.0,0.5999966666851851
7,,,,
7,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
8,,,,
8,Activity C,1970-01-01 10:00:00,3600.0,0.0
8,,,,
8,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
8,,,,
8,Activity G,1970-01-01 13:00:00,14400.0,0.5999966666851851
8,,,,
8,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
9,,,,
9,Activity D,1970-01-01 10:00:00,3600.0,0.0
9,,,,
9,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
9,,,,
9,Activity G,1970-01-01 13:00:00,14400.0,0.5999966666851851
9,,,,
9,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
10,,,,
10,Activity D,1970-01-01 10:00:00,3600.0,0.0
10,,,,
10,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
10,,,,
10,Activity H,1970-01-01 13:00:00,14400.0,0.5999966666851851
10,,,,
10,Activity J,1970-01-01 15:00:00,21600.0,0.9999944444753085
11,,,,
11,Activity D,1970-01-01 10:00:00,3600.0,0.0
11,,,,
11,Activity B,1970-01-01 11:00:00,7200.0,0.1999988888950617
11,,,,
11,Activity G,1970-01-01 13:00:00,14400.0,0.5999966666851851
11,,,,
