CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,Activity A,1970-01-01 09:00:00,0.0
1,Activity B,1970-01-01 10:00:00,3600.0
1,Activity C,1970-01-01 11:00:00,7200.0
1,Activity D,1970-01-01 12:00:00,10800.0
1,Activity E,1970-01-01 13:00:00,14400.0
1,Activity K,1970-01-01 14:00:00,18000.0
1,Activity G,1970-01-01 14:00:00,18000.0
1,Activity M,1970-01-01 14:00:00,18000.0
1,Activity L,1970-01-01 15:00:00,21600.0
1,Activity I,1970-01-01 15:00:00,21600.0
1,Activity J,1970-01-01 15:00:00,21600.0
1,Activity N,1970-01-01 15:00:00,21600.0
1,Activity H,1970-01-01 16:00:00,25200.0
1,Activity F,1970-01-01 17:00:00,28800.0
2,Activity A,1970-01-01 09:00:00,0.0
2,Activity B,1970-01-01 10:00:00,3600.0
2,Activity C,1970-01-01 11:00:00,7200.0
2,Activity D,1970-01-01 12:00:00,10800.0
2,Activity E,1970-01-01 13:00:00,14400.0
2,Activity M,1970-01-01 14:00:00,18000.0
2,Activity K,1970-01-01 14:00:00,18000.0
2,Activity G,1970-01-01 14:00:00,18000.0
2,Activity N,1970-01-01 15:00:00,21600.0
2,Activity L,1970-01-01 15:00:00,21600.0
2,Activity J,1970-01-01 15:00:00,21600.0
2,Activity I,1970-01-01 15:00:00,21600.0
2,Activity H,1970-01-01 16:00:00,25200.0
2,Activity F,1970-01-01 17:00:00,28800.0
3,Activity A,1970-01-01 09:00:00,0.0
3,Activity B,1970-01-01 10:00:00,3600.0
3,Activity C,1970-01-01 11:00:00,7200.0
3,Activity D,1970-01-01 12:00:00,10800.0
3,Activity E,1970-01-01 13:00:00,14400.0
3,Activity G,1970-01-01 14:00:00,18000.0
3,Activity M,1970-01-01 14:00:00,18000.0
3,Activity K,1970-01-01 14:00:00,18000.0
3,Activity J,1970-01-01 15:00:00,21600.0
3,Activity I,1970-01-01 15:00:00,21600.0
3,Activity N,1970-01-01 15:00:00,21600.0
3,Activity L,1970-01-01 15:00:00,21600.0
3,Activity H,1970-01-01 16:00:00,25200.0
3,Activity F,1970-01-01 17:00:00,28800.0
4,Activity A,1970-01-01 09:00:00,0.0
4,Activity B,1970-01-01 10:00:00,3600.0
4,Activity C,1970-01-01 11:00:00,7200.0
4,Activity D,1970-01-01 12:00:00,10800.0
4,Activity E,1970-01-01 13:00:00,14400.0
4,Activity G,1970-01-01 14:00:00,18000.0
4,Activity K,1970-01-01 14:00:00,18000.0
4,Activity M,1970-01-01 14:00:00,18000.0
4,Activity I,1970-01-01 15:00:00,21600.0
4,Activity J,1970-01-01 15:00:00,21600.0
4,Activity L,1970-01-01 15:00:00,21600.0
4,Activity N,1970-01-01 15:00:00,21600.0
4,Activity H,1970-01-01 16:00:00,25200.0
4,Activity F,1970-01-01 17:00:00,28800.0
5,Activity A,1970-01-01 09:00:00,0.0
5,Activity B,1970-01-01 10:00:00,3600.0
5,Activity C,1970-01-01 11:00:00,7200.0
5,Activity D,1970-01-01 12:00:00,10800.0
5,Activity E,1970-01-01 13:00:00,14400.0
5,Activity M,1970-01-01 14:00:00,18000.0
5,Activity K,1970-01-01 14:00:00,18000.0
5,Activity G,1970-01-01 14:00:00,18000.0
5,Activity N,1970-01-01 15:00:00,21600.0
5,Activity L,1970-01-01 15:00:00,21600.0
5,Activity I,1970-01-01 15:00:00,21600.0
5,Activity J,1970-01-01 15:00:00,21600.0
5,Activity H,1970-01-01 16:00:00,25200.0
5,Activity F,1970-01-01 17:00:00,28800.0
6,Activity A,1970-01-01 09:00:00,0.0
6,Activity B,1970-01-01 10:00:00,3600.0
