CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,Activity A,1970-01-01 09:00:00,0.0
1,,,
1,Activity C,1970-01-01 11:00:00,7200.0
1,,,
1,Activity E,1970-01-01 13:00:00,14400.0
1,,,
1,Activity G,1970-01-01 14:00:00,18000.0
1,,,
1,Activity L,1970-01-01 15:00:00,21600.0
1,,,
1,Activity J,1970-01-01 15:00:00,21600.0
1,,,
1,Activity H,1970-01-01 16:00:00,25200.0
1,,,
2,Activity A,1970-01-01 09:00:00,0.0
2,,,
2,Activity C,1970-01-01 11:00:00,7200.0
2,,,
2,Activity E,1970-01-01 13:00:00,14400.0
2,,,
2,Activity K,1970-01-01 14:00:00,18000.0
2,,,
2,Activity N,1970-01-01 15:00:00,21600.0
2,,,
2,Activity J,1970-01-01 15:00:00,21600.0
2,,,
2,Activity H,1970-01-01 16:00:00,25200.0
2,,,
3,Activity A,1970-01-01 09:00:00,0.0
3,,,
3,Activity C,1970-01-01 11:00:00,7200.0
3,,,
3,Activity E,1970-01-01 13:00:00,14400.0
3,,,
3,Activity M,1970-01-01 14:00:00,18000.0
3,,,
3,Activity J,1970-01-01 15:00:00,21600.0
3,,,
3,Activity N,1970-01-01 15:00:00,21600.0
3,,,
3,Activity H,1970-01-01 16:00:00,25200.0
3,,,
4,Activity A,1970-01-01 09:00:00,0.0
4,,,
4,Activity C,1970-01-01 11:00:00,7200.0
4,,,
4,Activity E,1970-01-01 13:00:00,14400.0
4,,,
4,Activity K,1970-01-01 14:00:00,18000.0
4,,,
4,Activity I,1970-01-01 15:00:00,21600.0
4,,,
4,Activity L,1970-01-01 15:00:00,21600.0
4,,,
4,Activity H,1970-01-01 16:00:00,25200.0
4,,,
5,Activity A,1970-01-01 09:00:00,0.0
5,,,
5,Activity C,1970-01-01 11:00:00,7200.0
5,,,
5,Activity E,1970-01-01 13:00:00,14400.0
5,,,
5,Activity K,1970-01-01 14:00:00,18000.0
5,,,
5,Activity N,1970-01-01 15:00:00,21600.0
5,,,
5,Activity I,1970-01-01 15:00:00,21600.0
5,,,
5,Activity H,1970-01-01 16:00:00,25200.0
5,,,
6,Activity A,1970-01-01 09:00:00,0.0
6,,,
6,Activity C,1970-01-01 11:00:00,7200.0
6,,,
6,Activity E,1970-01-01 13:00:00,14400.0
6,,,
6,Activity K,1970-01-01 14:00:00,18000.0
6,,,
6,Activity N,1970-01-01 15:00:00,21600.0
6,,,
6,Activity J,1970-01-01 15:00:00,21600.0
6,,,
6,Activity H,1970-01-01 16:00:00,25200.0
6,,,
7,Activity A,1970-01-01 09:00:00,0.0
7,,,
7,Activity C,1970-01-01 11:00:00,7200.0
7,,,
7,Activity E,1970-01-01 13:00:00,14400.0
7,,,
7,Activity M,1970-01-01 14:00:00,18000.0
7,,,
7,Activity J,1970-01-01 15:00:00,21600.0
7,,,
7,Activity N,1970-01-01 15:00:00,21600.0
7,,,
7,Activity H,1970-01-01 16:00:00,25200.0
7,,,
8,Activity A,1970-01-01 09:00:00,0.0
8,,,
8,Activity C,1970-01-01 11:00:00,7200.0
8,,,
8,Activity E,1970-01-01 13:00:00,14400.0
8,,,
8,Activity M,1970-01-01 14:00:00,18000.0
8,,,
8,Activity L,1970-01-01 15:00:00,21600.0
8,,,
8,Activity I,1970-01-01 15:00:00,21600.0
8,,,
8,Activity H,1970-01-01 16:00:00,25200.0
8,,,
9,Activity A,1970-01-01 09:00:00,0.0
9,,,
9,Activity C,1970-01-01 11:00:00,7200.0
9,,,
9,Activity E,1970-01-01 13:00:00,14400.0
9,,,
9,Activity K,1970-01-01 14:00:00,18000.0
9,,,
9,Activity N,1970-01-01 15:00:00,21600.0
9,,,
9,Activity J,1970-01-01 15:00:00,21600.0
9,,,
9,Activity H,1970-01-01 16:00:00,25200.0
9,,,
10,Activity A,1970-01-01 09:00:00,0.0
10,,,
10,Activity C,1970-01-01 11:00:00,7200.0
10,,,
10,Activity E,1970-01-01 13:00:00,14400.0
10,,,
10,Activity G,1970-01-01 14:00:00,18000.0
10,,,
10,Activity L,1970-01-01 15:00:00,21600.0
10,,,
10,Activity J,1970-01-01 15:00:00,21600.0
10,,,
10,Activity H,1970-01-01 16:00:00,25200.0
10,,,
11,Activity A,1970-01-01 09:00:00,0.0
11,,,
11,Activity C,1970-01-01 11:00:00,7200.0
11,,,
11,Activity E,1970-01-01 13:00:00,14400.0
11,,,
11,Activity M,1970-01-01 14:00:00,18000.0
11,,,
11,Activity L,1970-01-01 15:00:00,21600.0
11,,,
11,Activity I,1970-01-01 15:00:00,21600.0
11,,,
11,Activity H,1970-01-01 16:00:00,25200.0
11,,,
12,Activity A,1970-01-01 09:00:00,0.0
12,,,
12,Activity C,1970-01-01 11:00:00,7200.0
12,,,
12,Activity E,1970-01-01 13:00:00,14400.0
12,,,
12,Activity M,1970-01-01 14:00:00,18000.0
12,,,
12,Activity L,1970-01-01 15:00:00,21600.0
12,,,
12,Activity J,1970-01-01 15:00:00,21600.0
12,,,
12,Activity H,1970-01-01 16:00:00,25200.0
12,,,
13,Activity A,1970-01-01 09:00:00,0.0
13,,,
13,Activity C,1970-01-01 11:00:00,7200.0
13,,,
13,Activity E,1970-01-01 13:00:00,14400.0
13,,,
13,Activity K,1970-01-01 14:00:00,18000.0
13,,,
13,Activity J,1970-01-01 15:00:00,21600.0
13,,,
13,Activity L,1970-01-01 15:00:00,21600.0
13,,,
13,Activity H,1970-01-01 16:00:00,25200.0
13,,,
14,Activity A,1970-01-01 09:00:00,0.0
14,,,
14,Activity C,1970-01-01 11:00:00,7200.0
14,,,
14,Activity E,1970-01-01 13:00:00,14400.0
14,,,
14,Activity K,1970-01-01 14:00:00,18000.0
14,,,
14,Activity J,1970-01-01 15:00:00,21600.0
14,,,
14,Activity L,1970-01-01 15:00:00,21600.0
14,,,
14,Activity H,1970-01-01 16:00:00,25200.0
14,,,
15,Activity A,1970-01-01 09:00:00,0.0
15,,,
15,Activity C,1970-01-01 11:00:00,7200.0
15,,,
15,Activity E,1970-01-01 13:00:00,14400.0
15,,,
15,Activity G,1970-01-01 14:00:00,18000.0
15,,,
15,Activity L,1970-01-01 15:00:00,21600.0
15,,,
15,Activity J,1970-01-01 15:00:00,21600.0
15,,,
15,Activity H,1970-01-01 16:00:00,25200.0
15,,,
16,Activity A,1970-01-01 09:00:00,0.0
16,,,
16,Activity C,1970-01-01 11:00:00,7200.0
16,,,
16,Activity E,1970-01-01 13:00:00,14400.0
16,,,
16,Activity G,1970-01-01 14:00:00,18000.0
16,,,
16,Activity N,1970-01-01 15:00:00,21600.0
16,,,
16,Activity J,1970-01-01 15:00:00,21600.0
16,,,
16,Activity H,1970-01-01 16:00:00,25200.0
16,,,
17,Activity A,1970-01-01 09:00:00,0.0
17,,,
17,Activity C,1970-01-01 11:00:00,7200.0
