CaseID,Activity,CompleteTimestamp,CumTimeInterval
1,Activity A,1970-01-01 09:00:00,0.0
1,,,
1,,,
1,Activity D,1970-01-01 12:00:00,10800.0
1,,,
1,,,
1,Activity G,1970-01-01 14:00:00,18000.0
1,,,
1,,,
1,Activity I,1970-01-01 15:00:00,21600.0
1,,,
1,,,
1,Activity H,1970-01-01 16:00:00,25200.0
1,,,
2,Activity A,1970-01-01 09:00:00,0.0
2,,,
2,,,
2,Activity D,1970-01-01 12:00:00,10800.0
2,,,
2,,,
2,Activity K,1970-01-01 14:00:00,18000.0
2,,,
2,,,
2,Activity L,1970-01-01 15:00:00,21600.0
2,,,
2,,,
2,Activity H,1970-01-01 16:00:00,25200.0
2,,,
3,Activity A,1970-01-01 09:00:00,0.0
3,,,
3,,,
3,Activity D,1970-01-01 12:00:00,10800.0
3,,,
3,,,
3,Activity M,1970-01-01 14:00:00,18000.0
3,,,
3,,,
3,Activity I,1970-01-01 15:00:00,21600.0
3,,,
3,,,
3,Activity H,1970-01-01 16:00:00,25200.0
3,,,
4,Activity A,1970-01-01 09:00:00,0.0
4,,,
4,,,
4,Activity D,1970-01-01 12:00:00,10800.0
4,,,
4,,,
4,Activity K,1970-01-01 14:00:00,18000.0
4,,,
4,,,
4,Activity J,1970-01-01 15:00:00,21600.0
4,,,
4,,,
4,Activity H,1970-01-01 16:00:00,25200.0
4,,,
5,Activity A,1970-01-01 09:00:00,0.0
5,,,
5,,,
5,Activity D,1970-01-01 12:00:00,10800.0
5,,,
5,,,
5,Activity K,1970-01-01 14:00:00,18000.0
5,,,
5,,,
5,Activity L,1970-01-01 15:00:00,21600.0
5,,,
5,,,
5,Activity H,1970-01-01 16:00:00,25200.0
5,,,
6,Activity A,1970-01-01 09:00:00,0.0
6,,,
6,,,
6,Activity D,1970-01-01 12:00:00,10800.0
6,,,
6,,,
6,Activity K,1970-01-01 14:00:00,18000.0
6,,,
6,,,
6,Activity L,1970-01-01 15:00:00,21600.0
6,,,
6,,,
6,Activity H,1970-01-01 16:00:00,25200.0
6,,,
7,Activity A,1970-01-01 09:00:00,0.0
7,,,
7,,,
7,Activity D,1970-01-01 12:00:00,10800.0
7,,,
7,,,
7,Activity M,1970-01-01 14:00:00,18000.0
7,,,
7,,,
7,Activity I,1970-01-01 15:00:00,21600.0
7,,,
7,,,
7,Activity H,1970-01-01 16:00:00,25200.0
7,,,
8,Activity A,1970-01-01 09:00:00,0.0
8,,,
8,,,
8,Activity D,1970-01-01 12:00:00,10800.0
8,,,
8,,,
8,Activity M,1970-01-01 14:00:00,18000.0
8,,,
8,,,
8,Activity N,1970-01-01 15:00:00,21600.0
8,,,
8,,,
8,Activity H,1970-01-01 16:00:00,25200.0
8,,,
9,Activity A,1970-01-01 09:00:00,0.0
9,,,
9,,,
9,Activity D,1970-01-01 12:00:00,10800.0
9,,,
9,,,
9,Activity K,1970-01-01 14:00:00,18000.0
9,,,
9,,,
9,Activity L,1970-01-01 15:00:00,21600.0
9,,,
9,,,
9,Activity H,1970-01-01 16:00:00,25200.0
9,,,
10,Activity A,1970-01-01 09:00:00,0.0
10,,,
10,,,
10,Activity D,1970-01-01 12:00:00,10800.0
10,,,
10,,,
10,Activity G,1970-01-01 14:00:00,18000.0
10,,,
10,,,
10,Activity I,1970-01-01 15:00:00,21600.0
10,,,
10,,,
10,Activity H,1970-01-01 16:00:00,25200.0
10,,,
11,Activity A,1970-01-01 09:00:00,0.0
11,,,
11,,,
11,Activity D,1970-01-01 12:00:00,10800.0
11,,,
11,,,
11,Activity M,1970-01-01 14:00:00,18000.0
11,,,
11,,,
11,Activity N,1970-01-01 15:00:00,21600.0
11,,,
11,,,
11,Activity H,1970-01-01 16:00:00,25200.0
11,,,
12,Activity A,1970-01-01 09:00:00,0.0
12,,,
12,,,
12,Activity D,1970-01-01 12:00:00,10800.0
12,,,
12,,,
12,Activity M,1970-01-01 14:00:00,18000.0
12,,,
12,,,
12,Activity N,1970-01-01 15:00:00,21600.0
12,,,
12,,,
12,Activity H,1970-01-01 16:00:00,25200.0
12,,,
13,Activity A,1970-01-01 09:00:00,0.0
13,,,
13,,,
13,Activity D,1970-01-01 12:00:00,10800.0
13,,,
13,,,
13,Activity K,1970-01-01 14:00:00,18000.0
13,,,
13,,,
13,Activity I,1970-01-01 15:00:00,21600.0
13,,,
13,,,
13,Activity H,1970-01-01 16:00:00,25200.0
13,,,
14,Activity A,1970-01-01 09:00:00,0.0
14,,,
14,,,
14,Activity D,1970-01-01 12:00:00,10800.0
14,,,
14,,,
14,Activity K,1970-01-01 14:00:00,18000.0
14,,,
14,,,
14,Activity I,1970-01-01 15:00:00,21600.0
14,,,
14,,,
14,Activity H,1970-01-01 16:00:00,25200.0
14,,,
15,Activity A,1970-01-01 09:00:00,0.0
15,,,
15,,,
15,Activity D,1970-01-01 12:00:00,10800.0
15,,,
15,,,
15,Activity G,1970-01-01 14:00:00,18000.0
15,,,
15,,,
15,Activity I,1970-01-01 15:00:00,21600.0
15,,,
15,,,
15,Activity H,1970-01-01 16:00:00,25200.0
15,,,
16,Activity A,1970-01-01 09:00:00,0.0
16,,,
16,,,
16,Activity D,1970-01-01 12:00:00,10800.0
16,,,
16,,,
16,Activity G,1970-01-01 14:00:00,18000.0
16,,,
16,,,
16,Activity I,1970-01-01 15:00:00,21600.0
16,,,
16,,,
16,Activity H,1970-01-01 16:00:00,25200.0
16,,,
17,Activity A,1970-01-01 09:00:00,0.0
17,,,
17,,,
17,Activity D,1970-01-01 12:00:00,10800.0
17,,,
17,,,
17,Activity K,1970-01-01 14:00:00,18000.0
17,,,
17,,,
17,Activity I,1970-01-01 15:00:00,21600.0
17,,,
17,,,
17,Activity H,1970-01-01 16:00:00,25200.0
17,,,
18,Activity A,1970-01-01 09:00:00,0.0
18,,,
18,,,
18,Activity D,1970-01-01 12:00:00,10800.0
18,,,
18,,,
18,Activity M,1970-01-01 14:00:00,18000.0
18,,,
18,,,
18,Activity I,1970-01-01 15:00:00,21600.0
18,,,
18,,,
18,Activity H,1970-01-01 16:00:00,25200.0
18,,,
19,Activity A,1970-01-01 09:00:00,0.0
19,,,
19,,,
19,Activity D,1970-01-01 12:00:00,10800.0
19,,,
19,,,
19,Activity K,1970-01-01 14:00:00,18000.0
19,,,
19,,,
19,Activity L,1970-01-01 15:00:00,21600.0
19,,,
19,,,
19,Activity H,1970-01-01 16:00:00,25200.0
19,,,
20,Activity A,1970-01-01 09:00:00,0.0
20,,,
20,,,
20,Activity D,1970-01-01 12:00:00,10800.0
20,,,
20,,,
20,Activity M,1970-01-01 14:00:00,18000.0
20,,,
20,,,
20,Activity I,1970-01-01 15:00:00,21600.0
20,,,
20,,,
20,Activity H,1970-01-01 16:00:00,25200.0
20,,,
