CaseID,Activity,CompleteTimestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource,CumTimeInterval
1,,,,,,
1,Letter,2018-01-05 00:00:00,0.0,AB52,E,210013.0
1,,,,,,
1,StockEntry,2018-01-17 00:00:00,0.0,AB52,E,1246813.0
1,,,,,,
1,NoteWorkshop,2018-01-17 07:37:19,0.0,AB52,E,1274252.0
1,,,,,,
2,,,,,,
2,NoteHotline,2018-01-02 15:44:41,0.0,AB41,E,7494.0
2,,,,,,
2,DeviceReceived,2018-01-08 13:17:55,0.0,AB41,E,517088.0
2,,,,,,
2,StockEntry,2018-01-18 00:00:00,0.0,AB41,E,1333213.0
2,,,,,,
2,NoteWorkshop,2018-01-18 10:13:29,0.0,AB41,E,1370022.0
2,,,,,,
3,,,,,,
3,Letter,2018-01-19 00:00:00,0.0,AB47,G,1419613.0
3,,,,,,
3,NoteWorkshop,2018-01-24 09:19:36,0.0,AB47,G,1885189.0
3,,,,,,
3,Completed,2018-01-25 11:50:16,0.0,AB47,G,1980629.0
4,,,,,,
4,NoteHotline,2018-06-13 13:30:54,0.0,AB22,J,13996267.0
4,,,,,,
4,InDelivery,2018-06-27 00:00:00,0.0,AB22,J,15157213.0
4,,,,,,
4,Completed,2018-06-27 11:25:11,0.0,AB22,J,15198324.0
5,,,,,,
5,Letter,2018-06-19 00:00:00,1.0,AB49,E,14466013.0
5,,,,,,
5,NoteHotline,2018-06-19 10:18:13,1.0,AB49,E,14503106.0
5,,,,,,
5,InDelivery,2018-06-21 00:00:00,1.0,AB49,E,14638813.0
5,,,,,,
5,Completed,2018-06-21 07:57:58,1.0,AB49,E,14667491.0
6,,,,,,
6,Letter,2018-06-20 00:00:00,0.0,AB62,L,14552413.0
6,,,,,,
6,InDelivery,2018-06-26 00:00:00,0.0,AB62,L,15070813.0
6,,,,,,
6,Approved,2018-06-26 11:02:54,0.0,AB62,L,15110587.0
6,,,,,,
6,Completed,2018-06-26 11:37:54,0.0,AB62,L,15112687.0
7,,,,,,
7,NoteHotline,2018-06-13 16:13:50,0.0,AB62,L,14006043.0
7,,,,,,
7,NoteWorkshop,2018-06-18 09:53:04,0.0,AB62,L,14415197.0
7,,,,,,
7,Completed,2018-07-20 10:19:53,0.0,AB62,L,17181606.0
8,,,,,,
8,NoteHotline,2018-06-13 17:04:36,0.0,AB29,E,14009089.0
8,,,,,,
8,StockEntry,2018-07-02 00:00:00,0.0,AB29,E,15589213.0
8,,,,,,
8,NoteWorkshop,2018-07-02 13:05:53,0.0,AB29,E,15636366.0
8,,,,,,
9,,,,,,
9,NoteHotline,2018-06-13 09:43:37,1.0,AB63,G,13982630.0
9,,,,,,
9,InDelivery,2018-06-19 00:00:00,1.0,AB63,G,14466013.0
9,,,,,,
9,NoteWorkshop,2018-06-19 11:29:08,1.0,AB63,G,14507361.0
9,,,,,,
10,,,,,,
10,DeviceReceived,2018-01-18 10:17:24,0.0,AB52,L,1370257.0
10,,,,,,
10,Transmission,2018-01-30 13:49:35,0.0,AB52,L,2419788.0
10,,,,,,
10,Approved,2018-01-31 15:57:58,0.0,AB52,L,2513891.0
10,,,,,,
10,Completed,2018-01-31 16:33:34,0.0,AB52,L,2516027.0
11,,,,,,
11,NoteHotline,2018-06-13 08:57:34,1.0,AB20,G,13979867.0
11,,,,,,
11,InDelivery,2018-06-18 00:00:00,1.0,AB20,G,14379613.0
11,,,,,,
11,NoteWorkshop,2018-06-18 14:14:29,1.0,AB20,G,14430882.0
11,,,,,,
12,,,,,,
12,Letter,2018-06-22 00:00:00,0.0,AB62,E,14725213.0
12,,,,,,
12,Transmission,2018-07-03 12:07:54,0.0,AB62,E,15719287.0
12,,,,,,
12,NoteHotline,2018-07-04 12:48:04,0.0,AB62,E,15808097.0
12,,,,,,
12,StockEntry,2018-07-18 00:00:00,0.0,AB62,E,16971613.0
12,,,,,,
12,Completed,2018-07-18 10:20:44,0.0,AB62,E,17008857.0
13,,,,,,
