CaseID,Activity,CompleteTimestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource,CumTimeInterval
1,Creation,2018-01-02 13:39:47,0.0,AB52,E,0.0
1,,,,,,
1,DeviceReceived,2018-01-05 16:45:34,0.0,AB52,E,270347.0
1,,,,,,
1,InDelivery,2018-01-17 00:00:00,0.0,AB52,E,1246813.0
1,,,,,,
1,Completed,2018-01-17 09:34:32,0.0,AB52,E,1281285.0
2,Creation,2018-01-02 15:43:48,0.0,AB41,E,7441.0
2,,,,,,
2,Letter,2018-01-08 00:00:00,0.0,AB41,E,469213.0
2,,,,,,
2,StatusRequest,2018-01-17 14:02:45,0.0,AB41,E,1297378.0
2,,,,,,
2,InDelivery,2018-01-18 00:00:00,0.0,AB41,E,1333213.0
2,,,,,,
2,Completed,2018-01-18 10:14:25,0.0,AB41,E,1370078.0
3,Creation,2018-01-16 12:16:52,0.0,AB47,G,1204625.0
3,,,,,,
3,DeviceReceived,2018-01-19 12:40:53,0.0,AB47,G,1465266.0
3,,,,,,
3,InDelivery,2018-01-25 00:00:00,0.0,AB47,G,1938013.0
3,,,,,,
4,Creation,2018-06-13 13:28:01,0.0,AB22,J,13996094.0
4,,,,,,
4,DeviceReceived,2018-06-16 17:34:11,0.0,AB22,J,14270064.0
4,,,,,,
4,NoteWorkshop,2018-06-27 11:10:14,0.0,AB22,J,15197427.0
4,,,,,,
5,Creation,2018-06-13 14:02:16,1.0,AB49,E,13998149.0
5,,,,,,
5,DeviceReceived,2018-06-19 10:16:37,1.0,AB49,E,14503010.0
5,,,,,,
5,StockEntry,2018-06-21 00:00:00,1.0,AB49,E,14638813.0
5,,,,,,
5,NoteWorkshop,2018-06-21 07:57:07,1.0,AB49,E,14667440.0
5,,,,,,
6,Creation,2018-06-13 15:47:06,0.0,AB62,L,14004439.0
6,,,,,,
6,DeviceReceived,2018-06-20 13:31:57,0.0,AB62,L,14601130.0
6,,,,,,
6,Transmission,2018-06-26 08:42:17,0.0,AB62,L,15102150.0
6,,,,,,
6,NoteHotline,2018-06-26 11:03:10,0.0,AB62,L,15110603.0
6,,,,,,
7,Creation,2018-06-13 15:58:27,0.0,AB62,L,14005120.0
7,,,,,,
7,DeviceReceived,2018-06-16 09:52:52,0.0,AB62,L,14242385.0
7,,,,,,
7,InDelivery,2018-07-20 00:00:00,0.0,AB62,L,17144413.0
7,,,,,,
8,Creation,2018-06-13 16:50:25,0.0,AB29,E,14008238.0
8,,,,,,
8,DeviceReceived,2018-06-19 11:42:03,0.0,AB29,E,14508136.0
8,,,,,,
8,InDelivery,2018-07-02 00:00:00,0.0,AB29,E,15589213.0
8,,,,,,
8,Completed,2018-07-02 13:52:35,0.0,AB29,E,15639168.0
9,Creation,2018-06-13 08:48:11,1.0,AB63,G,13979304.0
9,,,,,,
9,Letter,2018-06-19 00:00:00,1.0,AB63,G,14466013.0
9,,,,,,
9,DeviceReceived,2018-06-19 10:48:00,1.0,AB63,G,14504893.0
9,,,,,,
9,Completed,2018-06-19 11:34:07,1.0,AB63,G,14507660.0
10,Creation,2018-01-16 12:32:01,0.0,AB52,L,1205534.0
10,,,,,,
10,Letter,2018-01-23 00:00:00,0.0,AB52,L,1765213.0
10,,,,,,
10,InDelivery,2018-01-31 00:00:00,0.0,AB52,L,2456413.0
10,,,,,,
10,NoteHotline,2018-01-31 15:58:15,0.0,AB52,L,2513908.0
10,,,,,,
11,Creation,2018-06-13 08:55:22,1.0,AB20,G,13979735.0
11,,,,,,
11,Letter,2018-06-18 00:00:00,1.0,AB20,G,14379613.0
11,,,,,,
