CaseID,Activity,CompleteTimestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource,CumTimeInterval
1,Creation,2018-01-02 13:39:47,0.0,AB52,E,0.0
1,,,,,,
1,,,,,,
1,StockEntry,2018-01-17 00:00:00,0.0,AB52,E,1246813.0
1,,,,,,
1,,,,,,
1,Completed,2018-01-17 09:34:32,0.0,AB52,E,1281285.0
2,Creation,2018-01-02 15:43:48,0.0,AB41,E,7441.0
2,,,,,,
2,,,,,,
2,DeviceReceived,2018-01-08 13:17:55,0.0,AB41,E,517088.0
2,,,,,,
2,,,,,,
2,InDelivery,2018-01-18 00:00:00,0.0,AB41,E,1333213.0
2,,,,,,
2,,,,,,
3,Creation,2018-01-16 12:16:52,0.0,AB47,G,1204625.0
3,,,,,,
3,,,,,,
3,NoteWorkshop,2018-01-24 09:19:36,0.0,AB47,G,1885189.0
3,,,,,,
3,,,,,,
4,Creation,2018-06-13 13:28:01,0.0,AB22,J,13996094.0
4,,,,,,
4,,,,,,
4,InDelivery,2018-06-27 00:00:00,0.0,AB22,J,15157213.0
4,,,,,,
4,,,,,,
5,Creation,2018-06-13 14:02:16,1.0,AB49,E,13998149.0
5,,,,,,
5,,,,,,
5,NoteHotline,2018-06-19 10:18:13,1.0,AB49,E,14503106.0
5,,,,,,
5,,,,,,
5,NoteWorkshop,2018-06-21 07:57:07,1.0,AB49,E,14667440.0
5,,,,,,
6,Creation,2018-06-13 15:47:06,0.0,AB62,L,14004439.0
6,,,,,,
6,,,,,,
6,InDelivery,2018-06-26 00:00:00,0.0,AB62,L,15070813.0
6,,,,,,
6,,,,,,
6,NoteHotline,2018-06-26 11:03:10,0.0,AB62,L,15110603.0
6,,,,,,
7,Creation,2018-06-13 15:58:27,0.0,AB62,L,14005120.0
7,,,,,,
7,,,,,,
7,NoteWorkshop,2018-06-18 09:53:04,0.0,AB62,L,14415197.0
7,,,,,,
7,,,,,,
8,Creation,2018-06-13 16:50:25,0.0,AB29,E,14008238.0
8,,,,,,
8,,,,,,
8,StockEntry,2018-07-02 00:00:00,0.0,AB29,E,15589213.0
8,,,,,,
8,,,,,,
8,Completed,2018-07-02 13:52:35,0.0,AB29,E,15639168.0
9,Creation,2018-06-13 08:48:11,1.0,AB63,G,13979304.0
9,,,,,,
9,,,,,,
9,InDelivery,2018-06-19 00:00:00,1.0,AB63,G,14466013.0
9,,,,,,
9,,,,,,
9,Completed,2018-06-19 11:34:07,1.0,AB63,G,14507660.0
10,Creation,2018-01-16 12:32:01,0.0,AB52,L,1205534.0
10,,,,,,
10,,,,,,
10,Transmission,2018-01-30 13:49:35,0.0,AB52,L,2419788.0
10,,,,,,
10,,,,,,
10,NoteHotline,2018-01-31 15:58:15,0.0,AB52,L,2513908.0
10,,,,,,
11,Creation,2018-06-13 08:55:22,1.0,AB20,G,13979735.0
11,,,,,,
11,,,,,,
11,InDelivery,2018-06-18 00:00:00,1.0,AB20,G,14379613.0
11,,,,,,
11,,,,,,
11,Completed,2018-06-18 15:36:09,1.0,AB20,G,14435782.0
12,Creation,2018-06-13 11:09:39,0.0,AB62,E,13987792.0
12,,,,,,
12,,,,,,
12,Transmission,2018-07-03 12:07:54,0.0,AB62,E,15719287.0
12,,,,,,
12,,,,,,
12,NoteWorkshop,2018-07-04 13:30:36,0.0,AB62,E,15810649.0
12,,,,,,
12,,,,,,
12,Completed,2018-07-18 10:20:44,0.0,AB62,E,17008857.0
13,Creation,2018-06-13 11:57:03,1.0,AB49,E,13990636.0
13,,,,,,
13,,,,,,
13,InDelivery,2018-06-19 00:00:00,1.0,AB49,E,14466013.0
13,,,,,,
13,,,,,,
