,mean,std
org:resource_acc,0.9991342425346375,0.00012419611455557287
Activity_acc,0.9691678822040558,0.001062328921540869
org:role_acc,0.9897787690162658,0.0007875007707864927
case:Project_acc,0.8971380710601806,0.01993302109335089
case:Task_acc,0.7549061954021454,0.001801353974830386
case:OrganizationalEntity_acc,0.9233766436576843,0.007729500180077179
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.08713254191997376,0.05949789057310353
case:RequestedAmount_mae,0.07739602242681112,0.04191973074065899
AVG_total_loss,11.500086057380857,0.09960188465437225
MAE_time:timestamp,0.08716124203056097,0.05950856356889113
MAE_case:RequestedAmount,0.07757294066250324,0.04194273956748721
