,mean,std
org:resource_acc,0.998972225189209,0.00029203912580976144
Activity_acc,0.9714026927947998,0.012017097615968973
org:role_acc,0.9900242209434509,0.0004726394561924047
case:Project_acc,0.8911427140235901,0.021633195768962526
case:Task_acc,0.7511789619922637,0.0019142881488513083
case:OrganizationalEntity_acc,0.9174425840377808,0.007941264196917876
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.0892172912474383,0.05078971921113909
case:RequestedAmount_mae,0.07788727396929805,0.04146043545627919
AVG_total_loss,11.782853067086332,0.0912541080264618
MAE_time:timestamp,0.08925404660403728,0.05073367451264601
MAE_case:RequestedAmount,0.07803936786949635,0.04148291699506243
