,mean,std
org:resource_acc,0.8293214440345764,0.008971860513916937
Activity_acc,0.6903876900672913,0.02970142863951129
org:role_acc,0.7469035685062408,0.01695024638134573
case:Project_acc,0.7616854786872864,0.015487339377360151
case:Task_acc,0.7526116907596588,0.0006192225351627299
case:OrganizationalEntity_acc,0.7897145509719848,0.010829729572003182
case:Activity_acc,0.9607969164848328,0.027757191207168828
case:RfpNumber_acc,0.03957996517419815,0.0
time:timestamp_mae,0.18283322805708105,0.13914216068157398
case:RequestedAmount_mae,0.2795222772793336,0.05624962124641649
AVG_total_loss,14.763231498307803,0.2640822250079774
MAE_time:timestamp,0.18286488801240922,0.13937912354665113
MAE_case:RequestedAmount,0.27915013283491136,0.05660812031588672
