,mean,std
org:resource_acc,0.9619948625564575,0.05830910850732284
Activity_acc,0.9487452030181884,0.01451949150963772
org:role_acc,0.9668013572692871,0.0031005690621874475
case:Project_acc,0.8901318490505219,0.01573005761018895
case:Task_acc,0.7529136419296265,0.0005380408162001357
case:OrganizationalEntity_acc,0.9151850163936615,0.008231893265851786
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.12095193851061843,0.08069203117109709
case:RequestedAmount_mae,0.09660011753439904,0.04803248862211928
AVG_total_loss,12.140536809128456,0.18095299612359117
MAE_time:timestamp,0.12075148448348046,0.08073577097365195
MAE_case:RequestedAmount,0.09682349450886249,0.048102763163840295
