,trial_index,arm_name,trial_status,generation_method,(case) AMOUNT_REQ_mae,AVG_total_loss,Activity_acc,MAE_(case) AMOUNT_REQ,MAE_time:timestamp,concept:name_acc,lifecycle:transition_acc,org:resource_acc,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
14,14,14_0,COMPLETED,BoTorch,0.09014480847229318,4.043944257061656,0.7584720253944397,0.0889623761177063,0.07864628732204437,0.7848131060600281,0.9103412628173828,0.6262420415878296,0.07880733075846987,0.008515891071668757,128,0.01,128,2,max
12,12,12_0,COMPLETED,BoTorch,0.05270553498369891,4.104409483602134,0.7682430744171143,0.05250580236315727,0.05446423962712288,0.7834727168083191,0.9111959934234619,0.5851763486862183,0.05471403369816338,0.0040406935533037185,128,0.01,128,2,max
10,10,10_0,COMPLETED,BoTorch,0.07035312915175426,4.141438171494661,0.7719630599021912,0.07015427201986313,0.07281464338302612,0.794593870639801,0.914750874042511,0.5929660201072693,0.07307154412676649,0.004260204531897093,128,0.01,128,2,max
8,8,8_0,COMPLETED,BoTorch,0.051584676544113854,4.308274754391211,0.7108307480812073,0.05126272886991501,0.08943667262792587,0.7805103659629822,0.913216233253479,0.5846713185310364,0.08988446160787489,0.003436376498003894,256,0.01,128,2,max
11,11,11_0,COMPLETED,BoTorch,0.10427642531874703,4.388481576177405,0.6995444893836975,0.10379375517368317,0.09999309480190277,0.7809280157089233,0.9165962934494019,0.5773187279701233,0.10054006736452986,0.004392106283827459,128,0.01,128,2,max
2,2,2_0,COMPLETED,Sobol,0.07140935007937071,4.4204379287889095,0.6949600577354431,0.0708446204662323,0.11514561623334885,0.7801898121833801,0.9127208590507507,0.594393789768219,0.11587381680927626,0.007958031792637701,512,0.010989974805367909,128,2,max
9,9,9_0,COMPLETED,BoTorch,0.15780107658810733,4.5079274505558535,0.696222722530365,0.1575942486524582,0.09011486917734146,0.7911069989204407,0.9159843921661377,0.5759977698326111,0.09033918226274049,0.003910605986953273,512,0.01,128,2,max
7,7,7_0,COMPLETED,BoTorch,0.3698341014181695,4.8001213219107655,0.6735919117927551,0.37014684081077576,0.21057967841625214,0.7667472958564758,0.9065046906471252,0.6314383745193481,0.2119663303218237,0.1,512,0.01,128,2,max
13,13,13_0,COMPLETED,BoTorch,0.2895142853986926,4.837562302808936,0.6895597577095032,0.2896372079849243,0.16277597844600677,0.7925444841384888,0.911293089389801,0.542896568775177,0.1633021875125606,0.002877992431280659,512,0.01,128,2,max
6,6,6_0,COMPLETED,BoTorch,0.056441473661036023,4.909445623344764,0.6717173457145691,0.05569508671760559,0.07436368614435196,0.7543538212776184,0.9110891222953796,0.4768204391002655,0.07489738281725383,0.0001,512,0.01,128,2,max
5,5,5_0,COMPLETED,Sobol,0.0890666643475614,6.051245769712983,0.6009985208511353,0.08831196278333664,0.11790116131305695,0.7081403136253357,0.8940140604972839,0.27445438504219055,0.11819249636879782,0.0039125900358181875,128,0.01989166717729456,128,2,max
0,0,0_0,COMPLETED,Sobol,0.02581306922862806,6.524308288912857,0.5774644017219543,0.025791127234697342,0.05502598360180855,0.6772827506065369,0.8811057209968567,0.22922192513942719,0.055273394759108384,0.0001865322718407359,256,0.025570763316014895,128,2,max
4,4,4_0,COMPLETED,Sobol,0.05599728578747046,7.69231690527735,0.494099497795105,0.05557453632354736,0.14767128229141235,0.5254329442977905,0.8398263454437256,0.18073564767837524,0.14837507830887306,0.0010138939569658027,512,0.0339721947881449,128,2,max
1,1,1_0,COMPLETED,Sobol,0.11271088752077847,8.203892441693602,0.4236234724521637,0.11070267111063004,0.1466531753540039,0.49935412406921387,0.8382626175880432,0.18042483925819397,0.1479106073881068,0.020423111474986877,128,0.043671306299421474,128,2,max
3,3,3_0,COMPLETED,Sobol,0.0981261980061124,8.764285288569404,0.4132016599178314,0.09721369296312332,0.14094309508800507,0.48594075441360474,0.8310557007789612,0.18167778849601746,0.14136932363233914,0.0020553520010210082,256,0.05724837272239779,128,2,max
