,mean,std
Activity_acc,0.6480769395828248,0.018695812055239104
org:resource_acc,0.2896634742617607,0.04304980770737951
impact_acc,1.0,0.0
concept:name_acc,0.6947115600109101,0.024566850669948164
lifecycle:transition_acc,0.6507211685180664,0.025340026226949267
org:group_acc,0.9641827285289765,0.0044541547381355875
org:role_acc,0.8786058008670807,0.021055589638605973
organization country_acc,0.9853365659713745,0.008361782663262258
organization involved_acc,0.540384641289711,0.06088478810727864
product_acc,0.6420673310756684,0.04336483835708221
resource country_acc,0.8872596442699432,0.007639536928970221
time:timestamp_mae,0.4997658461332321,0.4598845612623904
AVG_total_loss,16.377699692894417,0.7042933243801149
