,mean,std
Activity_acc,0.5529585897922515,0.033774775915987376
org:resource_acc,0.3011834383010864,0.04625236085033582
impact_acc,1.0,0.0
concept:name_acc,0.6159763514995575,0.05251515329833112
lifecycle:transition_acc,0.4639053285121918,0.0188566780059362
org:group_acc,0.9627219080924988,0.0052555911549722585
org:role_acc,0.8860946893692017,0.02027100387593204
organization country_acc,0.986982262134552,0.006860953128830796
organization involved_acc,0.5352071106433869,0.06340003409383815
product_acc,0.6334319531917572,0.046244996068816366
resource country_acc,0.8905325531959534,0.008483564045401572
time:timestamp_mae,0.4868164806161076,0.4648478170650497
AVG_total_loss,17.500826498196187,0.5480969332384709
