,mean,std
Activity_acc,0.5344647616147995,0.03017521411464947
org:resource_acc,0.18093995228409768,0.027550883164018106
impact_acc,0.9268929362297058,0.0
concept:name_acc,0.6874673724174499,0.023994703735510835
lifecycle:transition_acc,0.5921671092510223,0.023572709596108892
org:group_acc,0.8496083676815033,0.034158342022225494
org:role_acc,0.7524804294109344,0.02010424469338906
organization country_acc,0.9049608409404755,0.0382387473099401
organization involved_acc,0.3906005322933197,0.054018891844943275
product_acc,0.5101827770471573,0.03574047183717457
resource country_acc,0.8020887970924377,0.04637764231475691
time:timestamp_mae,0.4392568565905094,0.2847289624329192
AVG_total_loss,22.82254223898053,0.6029510462903356
