,mean,std
Activity_acc,0.595633202791214,0.037926786954665254
org:resource_acc,0.25698690563440324,0.04605382696131511
impact_acc,1.0,0.0
concept:name_acc,0.7355895340442657,0.04000197018741961
lifecycle:transition_acc,0.6567685663700104,0.03197031576056374
org:group_acc,0.9593886733055115,0.010755725944838928
org:role_acc,0.8432314574718476,0.024826486151381725
organization country_acc,0.9866812288761139,0.007594973574267117
organization involved_acc,0.49235808849334717,0.060053597118077784
product_acc,0.613318783044815,0.04617328498580925
resource country_acc,0.8528384506702423,0.014993425859754255
time:timestamp_mae,0.4031076723709702,0.3095941331615749
AVG_total_loss,17.82369798009604,0.8161444432649874
