,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
34,34,34_0,COMPLETED,BoTorch,1.0117580015212297,0.6112852692604065,0.020487742498517036,0.020771845057606698,0.0020598387952093836,16,0.018717586773016194,128,2,max
54,54,54_0,COMPLETED,BoTorch,1.036199053004384,0.5899686813354492,0.023765746504068375,0.023939450457692146,0.00017637570898836673,16,0.01,128,2,max
47,47,47_0,COMPLETED,BoTorch,1.0371268935501576,0.60313481092453,0.02687925100326538,0.02733174040913582,0.00016008134390819607,16,0.01,128,2,max
56,56,56_0,COMPLETED,BoTorch,1.038329903781414,0.6050156950950623,0.03251779079437256,0.032776562869548796,0.00017888903641761957,16,0.01,128,2,max
43,43,43_0,COMPLETED,BoTorch,1.0404890492558478,0.6081504821777344,0.029573647305369377,0.030025883018970488,0.0014827109077956238,16,0.018318152259285323,128,2,max
15,15,15_0,COMPLETED,BoTorch,1.042063381895423,0.6043887138366699,0.021867167204618454,0.02209428809583187,0.0001,16,0.01,128,2,max
48,48,48_0,COMPLETED,BoTorch,1.042277679219842,0.6000000238418579,0.01983851008117199,0.020296332612633704,0.00017210505958859855,16,0.01,128,2,max
41,41,41_0,COMPLETED,BoTorch,1.0456081978976726,0.6087774634361267,0.03960445895791054,0.039657484740018845,0.0015451223122540493,16,0.01835841109656416,128,2,max
59,59,59_0,COMPLETED,BoTorch,1.048861315101385,0.6144200563430786,0.017349619418382645,0.017671503871679307,0.0001495057499699394,16,0.010892689743913086,128,2,max
22,22,22_0,COMPLETED,BoTorch,1.0499271858483552,0.6012539267539978,0.01753189042210579,0.017786632850766183,0.0001,64,0.01,128,2,max
32,32,32_0,COMPLETED,BoTorch,1.0526135817170144,0.6000000238418579,0.02740234136581421,0.02781541496515274,0.00016405744993227945,16,0.010640425409053286,128,2,max
28,28,28_0,COMPLETED,BoTorch,1.0535349871963262,0.6025078296661377,0.02829624153673649,0.02824353240430355,0.0002426825869608198,128,0.01,128,2,max
31,31,31_0,COMPLETED,BoTorch,1.054041936248541,0.6012539267539978,0.02406701073050499,0.024042095988988876,0.00012424827428203676,128,0.01,128,2,max
23,23,23_0,COMPLETED,BoTorch,1.054420006275177,0.6050156950950623,0.02203512005507946,0.022090160846710206,0.00015914782376214576,16,0.01,128,2,max
27,27,27_0,COMPLETED,BoTorch,1.0549438707530499,0.6037617921829224,0.05547584593296051,0.05655468627810478,0.0021983511467755013,16,0.01858265543727209,128,2,max
40,40,40_0,COMPLETED,BoTorch,1.055938458442688,0.6000000238418579,0.04099750146269798,0.04162354469299316,0.0014621017201059904,16,0.01839701489926653,128,2,max
42,42,15_0,COMPLETED,BoTorch,1.0560714654624461,0.6012539267539978,0.0223851315677166,0.02285224720835686,0.0001,16,0.01,128,2,max
20,20,20_0,COMPLETED,BoTorch,1.0586905324831606,0.6012539267539978,0.015133697539567947,0.015659555234014987,0.0001,16,0.010783061453887239,128,2,max
