,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
13,13,13_0,COMPLETED,BoTorch,0.652671781388369,0.7968856692314148,0.2215423285961151,0.22113964920665355,0.0001,128,0.01,128,2,max
9,9,9_0,COMPLETED,BoTorch,0.6547649960885656,0.7886396646499634,0.21374328434467316,0.21330945019392258,0.0009432154470844273,256,0.01,128,2,max
7,7,7_0,COMPLETED,BoTorch,0.6769874406621811,0.7891489267349243,0.21285073459148407,0.21241186083631314,0.0038452068405328637,128,0.012815530059934088,128,2,max
2,2,2_0,COMPLETED,Sobol,0.6814220790216263,0.7891097664833069,0.2400968074798584,0.23964569368895064,0.007958031792637701,512,0.010989974805367909,128,2,max
12,12,12_0,COMPLETED,BoTorch,0.691455696491485,0.7868573069572449,0.24456697702407837,0.24413865138875676,0.0066729710053004005,256,0.010141493127851087,128,2,max
5,5,5_0,COMPLETED,Sobol,0.7552582759489405,0.7779061794281006,0.22727735340595245,0.22689132693600148,0.0039125900358181875,128,0.01989166717729456,128,2,max
6,6,6_0,COMPLETED,BoTorch,0.7650114366031707,0.7884438037872314,0.28205248713493347,0.28159395510211904,0.03591350615739693,128,0.014238923744055745,128,2,max
14,14,14_0,COMPLETED,BoTorch,0.8479035614018745,0.7860934138298035,0.36545974016189575,0.3650364143417237,0.1,128,0.01,128,2,max
10,10,10_0,COMPLETED,BoTorch,1.0110389469785894,0.7875819802284241,0.5441569685935974,0.5437505872959786,0.1,512,0.01,128,2,max
11,11,11_0,COMPLETED,BoTorch,1.237826407906857,0.7872881889343262,0.7784557938575745,0.7781134000483979,0.0010887385151093565,512,0.01,128,2,max
8,8,8_0,COMPLETED,BoTorch,1.2732657197308033,0.7828420400619507,0.7835525870323181,0.7832100074341957,0.0062119270133820376,512,0.014542217184670846,128,2,max
0,0,0_0,COMPLETED,Sobol,1.3485154287612184,0.7793359756469727,0.7651234269142151,0.7647669664088715,0.0001865322718407359,256,0.025570763316014895,128,2,max
4,4,4_0,COMPLETED,Sobol,1.4406305342278583,0.7694838643074036,0.7933876514434814,0.793041540587202,0.0010138939569658027,512,0.0339721947881449,128,2,max
1,1,1_0,COMPLETED,Sobol,1.5852302610874176,0.7046518325805664,0.783747136592865,0.7833809091689738,0.020423111474986877,128,0.043671306299421474,128,2,max
3,3,3_0,COMPLETED,Sobol,1.9512795901044886,0.7084320783615112,0.9935250878334045,0.9926413798585851,0.0020553520010210082,256,0.05724837272239779,128,2,max
