,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,lr,batch_size,weight_decay,hid,layers,aggregation
26,26,26_0,COMPLETED,BoTorch,0.6032053386935821,0.7703660130500793,0.15802256762981415,0.16011069543086565,0.0038439138651136227,128,0.001,128,2,max
25,25,25_0,COMPLETED,BoTorch,0.624626065676029,0.7735345363616943,0.16554054617881775,0.16761760986768282,0.003979577588802561,64,0.001,128,2,max
13,13,13_0,COMPLETED,BoTorch,0.6263018273390256,0.7592762112617493,0.15685509145259857,0.15892949012609628,0.0037539629480725168,64,0.001866483665253235,128,2,max
17,17,17_0,COMPLETED,BoTorch,0.6280920390899365,0.7696155905723572,0.1787641942501068,0.1803832077063047,0.0012759922862661235,128,0.001,128,2,max
29,29,29_0,COMPLETED,BoTorch,0.6308357222722127,0.7737013101577759,0.15592557191848755,0.1580466777086258,0.0011630958359637796,16,0.0023419627288139722,128,2,max
11,11,11_0,COMPLETED,BoTorch,0.6351877817740808,0.7702826857566833,0.1741374135017395,0.17615355436618513,0.004378860582619363,16,0.0018672529889159075,128,2,max
15,15,15_0,COMPLETED,BoTorch,0.6409270883752749,0.7742016315460205,0.16192029416561127,0.16407311936983696,0.010103900657750733,16,0.0023365940212606837,128,2,max
2,2,2_0,COMPLETED,Sobol,0.6418836128253204,0.7772867679595947,0.18477694690227509,0.1868507185807595,0.007958031792637701,128,0.0012077954622262143,128,2,max
20,20,20_0,COMPLETED,BoTorch,0.6426495084395776,0.7742016315460205,0.18052473664283752,0.18206115410878107,0.0015336960253457845,128,0.0014171582923554378,128,2,max
22,22,22_0,COMPLETED,BoTorch,0.6453725798771932,0.776369571685791,0.17864058911800385,0.18029992282390594,0.0007577972559927846,64,0.0013489082629336464,128,2,max
28,28,28_0,COMPLETED,BoTorch,0.6545993651335056,0.7692821025848389,0.19368907809257507,0.19583807197900918,0.002643456890256387,128,0.0012064682148142415,128,2,max
9,9,9_0,COMPLETED,BoTorch,0.6551363789118253,0.7715333700180054,0.1655551642179489,0.16730438745938814,0.0009289314652062507,64,0.003142004749382806,128,2,max
19,19,19_0,COMPLETED,BoTorch,0.657803515975292,0.7726173400878906,0.16836343705654144,0.16997581834976488,0.00038233205591427005,16,0.002576234121057161,128,2,max
6,6,6_0,COMPLETED,BoTorch,0.6622983400638287,0.7705327868461609,0.17805834114551544,0.17973196964997512,0.0005698705592821651,128,0.0019311230905758564,128,2,max
5,5,5_0,COMPLETED,Sobol,0.6640940526357064,0.7706995606422424,0.15733474493026733,0.15950248218499696,0.0039125900358181875,16,0.003956784230922577,128,2,max
24,24,24_0,COMPLETED,BoTorch,0.6683469598109906,0.7755357027053833,0.17125621438026428,0.17282986411681542,0.0004479397531857326,64,0.002610694185700617,128,2,max
12,12,12_0,COMPLETED,BoTorch,0.6697967442182394,0.7712832689285278,0.19896815717220306,0.20112194235508257,0.005232269778607284,128,0.002358804322455189,128,2,max
21,21,21_0,COMPLETED,BoTorch,0.6780161720055801,0.7649462223052979,0.19992059469223022,0.20211824774742126,0.014197975999168626,64,0.0013864196006760333,128,2,max
23,23,23_0,COMPLETED,BoTorch,0.6829657973005221,0.7768698334693909,0.15276049077510834,0.15482820971654013,0.0003571650359863007,16,0.00571483832488651,128,2,max
14,14,14_0,COMPLETED,BoTorch,0.6882221217338855,0.7639456391334534,0.17456360161304474,0.17698461275834304,0.054963094193495765,16,0.001,128,2,max
27,27,27_0,COMPLETED,BoTorch,0.7011013730214193,0.7710331082344055,0.2040911167860031,0.20643172011925623,0.1,128,0.001,128,2,max
10,10,10_0,COMPLETED,BoTorch,0.7128609017683909,0.7647794485092163,0.16123048961162567,0.16301912183944994,0.00011874541128269013,16,0.004799881748118797,128,2,max
0,0,0_0,COMPLETED,Sobol,0.7459342995515237,0.7641124129295349,0.17358359694480896,0.17513413727283478,0.0001865322718407359,64,0.00653863936563653,128,2,max
18,18,18_0,COMPLETED,BoTorch,0.8035654528782918,0.7591928839683533,0.16661089658737183,0.16829370649961325,0.0001,16,0.011233697933337504,128,2,max
7,7,7_0,COMPLETED,BoTorch,0.8064894080162048,0.7573584318161011,0.22809511423110962,0.2302574790441073,0.1,64,0.0028828133045882913,128,2,max
8,8,8_0,COMPLETED,BoTorch,0.8940030267605414,0.7636120915412903,0.39253750443458557,0.39461209223820615,0.0001,64,0.001,128,2,max
1,1,1_0,COMPLETED,Sobol,1.0611070027718177,0.7389310598373413,0.21458838880062103,0.21664745532549345,0.020423111474986877,16,0.0190718299389789,128,2,max
16,16,16_0,COMPLETED,BoTorch,1.0729597829855406,0.7466855645179749,0.44269049167633057,0.44469790963026196,0.0001,128,0.003207216263175201,128,2,max
4,4,4_0,COMPLETED,Sobol,1.1253177913335652,0.7548570036888123,0.4822925925254822,0.4842691673682286,0.0010138939569658027,128,0.011541100187236596,128,2,max
3,3,3_0,COMPLETED,Sobol,1.6638369927039514,0.6398732662200928,0.49492618441581726,0.4967546371313242,0.0020553520010210082,64,0.0327737617936258,128,2,max
