,mean,std
org:resource_acc,0.991328877210617,0.003461248801946082
Activity_acc,0.9194554150104522,0.008417549875173229
org:role_acc,0.9674443662166595,0.005367801080643621
case:Project_acc,0.8119194805622101,0.023466430501765265
case:Task_acc,0.7585068643093109,0.0018817895621868076
case:OrganizationalEntity_acc,0.8329946637153626,0.030448738768097103
case:Activity_acc,0.9702151238918304,0.010057713086888848
case:RfpNumber_acc,0.037987102195620535,0.001309955822310041
time:timestamp_mae,0.007768679854714057,0.0012637244622515254
case:RequestedAmount_mae,0.2952402724461122,0.04340064537146474
AVG_total_loss,12.886928918877278,0.28292880545326804
MAE_time:timestamp,0.0076215843670070175,0.0012900545444116407
MAE_case:RequestedAmount,0.2948265507817268,0.04334661729555779
