,mean,std
org:resource_acc,0.9997835457324982,0.00023916487195834064
Activity_acc,0.9666907370090485,0.003219172928898023
org:role_acc,0.992304015159607,0.0014023499991967984
case:Project_acc,0.9364117503166198,0.00747160210735502
case:Task_acc,0.7556036651134491,0.0015202285266025185
case:OrganizationalEntity_acc,0.9463684737682343,0.013041326692337252
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.006991476313719018,0.0010366176040468179
case:RequestedAmount_mae,0.07630515802990305,0.022147820881689238
AVG_total_loss,11.193622235626785,0.20680940422761815
MAE_time:timestamp,0.006795138958841563,0.0010236521262601162
MAE_case:RequestedAmount,0.07635019235312938,0.022109097234454533
