,mean,std
org:resource_acc,0.9993954300880432,0.0
Activity_acc,0.9662636339664459,0.015577498742588635
org:role_acc,0.9865780174732208,0.011779009789114602
case:Project_acc,0.93328298330307,0.006134398567478128
case:Task_acc,0.7522067785263061,0.0022847468022084774
case:OrganizationalEntity_acc,0.9422612190246582,0.013733032142437386
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.007259844505990093,0.001080176845584619
case:RequestedAmount_mae,0.06294337341731246,0.02138384137707205
AVG_total_loss,11.457124667261748,0.2322722463988093
MAE_time:timestamp,0.007111790683120489,0.0010380904060311369
MAE_case:RequestedAmount,0.06287004947662353,0.0213812599821406
