,mean,std
org:resource_acc,0.9177705645561218,0.023186290553761542
Activity_acc,0.8138125658035278,0.021358446755812905
org:role_acc,0.8790791094303131,0.014722061881284753
case:Project_acc,0.8345180034637452,0.022090735685365348
case:Task_acc,0.7539746403694153,0.0009420557386801125
case:OrganizationalEntity_acc,0.8479267179965972,0.01944368609344655
case:Activity_acc,0.9780828773975372,0.00908671689112968
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.007806723459031095,0.0005853442778142397
case:RequestedAmount_mae,0.26715112274343317,0.039714718451454745
AVG_total_loss,13.193921526805076,0.1828005724817109
MAE_time:timestamp,0.0076033673249185085,0.0005911987949044545
MAE_case:RequestedAmount,0.2671826109290123,0.03975132860265176
