,mean,std
org:resource_acc,0.9983198583126068,0.0011754034480244897
Activity_acc,0.9507018148899078,0.01614709755632596
org:role_acc,0.990854948759079,0.0022237879190828516
case:Project_acc,0.9261803388595581,0.01375792547394787
case:Task_acc,0.7538919448852539,0.0013368334514425844
case:OrganizationalEntity_acc,0.9376860857009888,0.012887120800328923
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.007690593016079881,0.0013840476727931328
case:RequestedAmount_mae,0.10717094692994249,0.029299684657071882
AVG_total_loss,11.5369584802263,0.1846008363591254
MAE_time:timestamp,0.007469515781849623,0.0013568609972175957
MAE_case:RequestedAmount,0.10737459398806096,0.02939778447519141
