,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
39,39,39_0,COMPLETED,BoTorch,0.15883079061232921,0.9573861956596375,0.006192266475409269,0.006072586199648127,4,0.002809110374040105,256,0.01,sum,128
35,35,35_0,COMPLETED,BoTorch,0.15960654280907302,0.9633358716964722,0.006567671895027161,0.006452760650534873,4,0.002260493574901501,128,0.01,sum,128
19,19,19_0,COMPLETED,BoTorch,0.1606316269521981,0.9592677354812622,0.006070054601877928,0.005998411427114021,4,0.0001,32,0.01,sum,128
24,24,18_0,COMPLETED,BoTorch,0.16152686398924776,0.959369421005249,0.005328884813934565,0.0052565165226244265,4,0.0001,64,0.01,sum,128
20,20,19_0,COMPLETED,BoTorch,0.16212291581366486,0.9568777084350586,0.00545510882511735,0.005385751529872694,4,0.0001,32,0.01,sum,128
26,26,19_0,COMPLETED,BoTorch,0.1629209156251616,0.9595728516578674,0.007269104942679405,0.0071839773682532485,4,0.0001,32,0.01,sum,128
33,33,33_0,COMPLETED,BoTorch,0.16376062711545578,0.9553012847900391,0.006360295694321394,0.006238855365491299,4,0.006275007537714685,32,0.01,sum,128
27,27,19_0,COMPLETED,BoTorch,0.16438317124697346,0.9595219492912292,0.006740120705217123,0.006645714639927502,4,0.0001,32,0.01,sum,128
38,38,38_0,COMPLETED,BoTorch,0.1643993643940323,0.9579455852508545,0.0067450739443302155,0.006651833153295296,4,0.0001992672078946622,32,0.01,sum,128
37,37,37_0,COMPLETED,BoTorch,0.16546722546788967,0.9586066603660583,0.005842733662575483,0.00572472104061119,4,0.0038821040556978525,512,0.01,sum,128
31,31,19_0,COMPLETED,BoTorch,0.16616222629737523,0.9559623599052429,0.005477502476423979,0.005406804813968914,4,0.0001,32,0.01,sum,128
28,28,19_0,COMPLETED,BoTorch,0.16620468044291353,0.9580472707748413,0.005464253015816212,0.005392828262066124,4,0.0001,32,0.01,sum,128
18,18,18_0,COMPLETED,BoTorch,0.16753206511580007,0.9564708471298218,0.007020058576017618,0.0069805502253412095,4,0.0001,64,0.01,sum,128
