,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
37,37,37_0,COMPLETED,BoTorch,0.41689143404907103,0.8746289014816284,0.010491755791008472,0.010362655602540205,4,0.0006322256264334947,128,0.01,sum,128
34,34,34_0,COMPLETED,BoTorch,0.42495220678053724,0.8660225868225098,0.011622791178524494,0.011452451881780786,4,0.00043126265329361795,32,0.010105778293244185,sum,128
24,24,24_0,COMPLETED,BoTorch,0.4296710127964616,0.8664714097976685,0.010189864784479141,0.010121091901894334,4,0.0004457539128307837,512,0.01,sum,128
25,25,25_0,COMPLETED,BoTorch,0.44308795382549027,0.8599122762680054,0.009722823277115822,0.0095876066185968,4,0.0003652127347778244,32,0.01229286715385007,sum,128
32,32,32_0,COMPLETED,BoTorch,0.44595699089588325,0.8649674654006958,0.01126188412308693,0.01106649150312381,4,0.0003750315008554993,32,0.010180123895289613,sum,128
36,36,36_0,COMPLETED,BoTorch,0.44793522583085643,0.8610461354255676,0.012847946025431156,0.012647025730207708,4,0.0003904212284934078,32,0.01,sum,128
28,28,28_0,COMPLETED,BoTorch,0.4534855740895332,0.8673926591873169,0.008977334015071392,0.008895650781799578,4,0.00021809534125336543,32,0.01,sum,128
35,35,35_0,COMPLETED,BoTorch,0.4556623116786619,0.8654398918151855,0.012345432303845882,0.012179180943560831,4,0.0004525236278075752,32,0.01,sum,128
22,22,22_0,COMPLETED,BoTorch,0.45573416034899,0.866384744644165,0.01702464185655117,0.01666309996462852,4,0.0006802941744331097,32,0.01,sum,128
26,26,26_0,COMPLETED,BoTorch,0.456108757416781,0.8666446208953857,0.011406579986214638,0.011226896345796227,4,0.0020945759661615063,512,0.01,sum,128
33,33,33_0,COMPLETED,BoTorch,0.45633891957260453,0.864439845085144,0.012882010079920292,0.012750154650471742,4,0.0005788961735180983,32,0.010156539185876114,sum,128
31,31,31_0,COMPLETED,BoTorch,0.4571928115950409,0.8621957898139954,0.011190253309905529,0.011075946335111138,4,0.0003786162209302586,32,0.010526801450320448,sum,128
27,27,27_0,COMPLETED,BoTorch,0.4687908852780328,0.8592429757118225,0.015207704156637192,0.0149257396827045,4,0.0015241082403194403,512,0.01,sum,128
29,29,29_0,COMPLETED,BoTorch,0.4689131406162983,0.8598335385322571,0.013234719634056091,0.013102569147148758,4,0.0008490436538821164,512,0.01,sum,128
38,38,38_0,COMPLETED,BoTorch,0.4724842951388903,0.8609437942504883,0.019365064799785614,0.019403872758294773,4,0.0006353684303421078,128,0.01,sum,128
20,20,20_0,COMPLETED,BoTorch,0.473570690060812,0.8650776743888855,0.008483916521072388,0.008345771250902738,4,0.0001,64,0.010353088501678012,sum,128
30,30,30_0,COMPLETED,BoTorch,0.48676361319003175,0.8608177900314331,0.011224505491554737,0.011062647984589188,4,0.0007887306687753038,256,0.010204289347483027,sum,128
17,17,17_0,COMPLETED,BoTorch,0.4887098043668762,0.8521484136581421,0.008487069979310036,0.008421931316334647,4,0.0001,512,0.010395585882280267,sum,128
16,16,15_0,COMPLETED,BoTorch,0.5134565120526743,0.8471247553825378,0.010708400048315525,0.01062771959176052,4,0.0001,512,0.01,sum,128
15,15,15_0,COMPLETED,BoTorch,0.516565280604782,0.846794068813324,0.010086777620017529,0.010036078733798949,4,0.0001,512,0.01,sum,128
18,18,18_0,COMPLETED,BoTorch,0.5182114707721958,0.8424161076545715,0.010294191539287567,0.010209484713025463,4,0.0001,512,0.011173611879937404,sum,128
14,14,14_0,COMPLETED,BoTorch,0.5309978297604158,0.8433216214179993,0.010107126086950302,0.009999226249790596,4,0.0001,32,0.016501781225909107,sum,128
13,13,13_0,COMPLETED,BoTorch,0.5477046863745573,0.8396759033203125,0.010583164170384407,0.010417486125042716,4,0.0001,32,0.017395926097825625,sum,128
12,12,12_0,COMPLETED,BoTorch,0.5498664585909653,0.8436680436134338,0.01086461078375578,0.010753634331512798,4,0.0001,32,0.018042005323309428,sum,128
11,11,11_0,COMPLETED,BoTorch,0.5516681851077716,0.8354554176330566,0.010316023603081703,0.010195509376890451,4,0.0001,32,0.018295986004243075,sum,128
10,10,10_0,COMPLETED,BoTorch,0.5696488446465612,0.8355420231819153,0.010247722268104553,0.010142127409107188,4,0.0001,32,0.019058221320305564,sum,128
9,9,9_0,COMPLETED,Sobol,0.5762001529462564,0.8305734395980835,0.013516147620975971,0.013290190752776503,4,0.002248672749330768,64,0.020688945020275244,sum,128
23,23,23_0,COMPLETED,BoTorch,0.6124507694152518,0.8319829106330872,0.005403350107371807,0.005320857640681336,4,0.0005180490007557453,32,0.01,max,128
19,19,19_0,COMPLETED,BoTorch,0.6265634685320761,0.8280222415924072,0.0064745801500976086,0.0064135522952357546,4,0.00013542559700336992,256,0.01,max,128
6,6,6_0,COMPLETED,Sobol,0.6724374414674793,0.8154001235961914,0.007131870370358229,0.007014691716656812,4,0.007858287818250697,128,0.011746187649060522,max,128
5,5,5_0,COMPLETED,Sobol,0.7521889920174641,0.7942503690719604,0.012026836164295673,0.011848918885643621,4,0.0008914404220466969,64,0.03452938543005234,sum,128
1,1,1_0,COMPLETED,Sobol,0.8481783965914464,0.7774785757064819,0.00554488692432642,0.0054952416103333235,4,0.00029556780288134837,512,0.01620975110911805,max,128
4,4,4_0,COMPLETED,Sobol,1.32647703390894,0.6715879440307617,0.015510805882513523,0.015051015860681395,2,0.06148169810227145,512,0.01809463317306379,max,128
2,2,2_0,COMPLETED,Sobol,2.3719114566095247,0.23613572120666504,0.0677436888217926,0.06569848509812817,4,0.034467925599219865,32,0.04764342585781035,max,128
7,7,7_0,COMPLETED,Sobol,2.4070565723497603,0.3635304272174835,0.014254497364163399,0.01415347588221425,2,0.0002206905808383614,32,0.07092181520253302,sum,128
21,21,21_0,COMPLETED,BoTorch,2.4135175165042138,0.37590059638023376,0.14038237929344177,0.14165232800742955,4,0.1,32,0.01,sum,128
0,0,0_0,COMPLETED,Sobol,3.2116413293406367,0.11350482702255249,0.015373011119663715,0.014931844610684706,2,0.005537727881833665,128,0.09787123410578823,sum,128
3,3,3_0,COMPLETED,Sobol,3.2275914604621896,0.1084732934832573,0.015639157965779305,0.015429102372631285,2,0.0015026229482668638,256,0.0249671076946802,mean,128
8,8,8_0,COMPLETED,Sobol,3.2821194163152896,0.07182733714580536,0.044897474348545074,0.04474866835093035,2,0.02717510078728349,128,0.0395913018888495,mean,128
39,39,39_0,COMPLETED,BoTorch,3.4856132930415926,0.07091394066810608,0.04082207381725311,0.04031632728513005,4,0.1,512,0.1,mean,128
