,mean,std
Activity_acc,0.7535897672176362,0.0317840708419709
org:resource_acc,0.10427350476384163,0.03042495561287542
impact_acc,0.913178312778473,0.020714866057537237
concept:name_acc,0.9005390644073487,0.01920505585267253
lifecycle:transition_acc,0.8183510303497314,0.008869682608141206
org:group_acc,0.8744565427303315,0.02740840768620686
org:role_acc,0.5913669168949127,0.0331749085198308
organization country_acc,0.8906666517257691,0.014767327752788724
organization involved_acc,0.2729946538805962,0.018967418747178555
product_acc,0.359199994802475,0.050659649366896674
resource country_acc,0.7726342737674713,0.011079421422286937
time:timestamp_mae,0.024239767389371992,0.009977247119750255
AVG_total_loss,20.911022554384544,0.8517153530667279
MAE_time:timestamp,0.02060797465965152,0.007392738437205758
