,mean,std
Activity_acc,0.6877404153347015,0.027183422804257687
org:resource_acc,0.16191645711660385,0.026219537671510598
impact_acc,1.0,0.0
concept:name_acc,0.7451923310756683,0.013455803607923644
lifecycle:transition_acc,0.704807710647583,0.00933072298492854
org:group_acc,0.947836571931839,0.008483761786017943
org:role_acc,0.7629385948181152,0.027026035510289446
organization country_acc,0.9699519574642181,0.008795869206196794
organization involved_acc,0.41529126465320587,0.033051917587984446
product_acc,0.43557694256305696,0.06007799439470803
resource country_acc,0.8687500417232513,0.012423746547408434
time:timestamp_mae,0.023201370239257814,0.009352937833792725
AVG_total_loss,18.07410176723497,0.5999899016706406
MAE_time:timestamp,0.019702790956944227,0.0073819838716207365
